Code_Substance;code_Nom_Substance;Nom_Substance;Flag_Substance;Langue_nom_substance;Date_Crea_Nom_Substance;Date_Modif_Nom_Substance
00521;00521;gaïacol;ANS nom préféré;français;08/07/1997;27/04/2009
00523;00523;gélatine ;ANS nom préféré;français;08/07/1997;16/01/2012
00525;00525;gentamicine (sulfate de);ANS nom préféré;français;08/07/1997;28/04/2009
00527;00527;gliclazide;ANS nom préféré;français;08/07/1997;
00532;00532;glycérol;ANS nom préféré;français;08/07/1997;04/05/2009
00533;00533;citrulline (malate de);ANS nom préféré;français;08/07/1997;21/10/2008
00535;00535;trétinoïne;ANS nom préféré;français;08/07/1997;30/11/2009
00536;00536;phosphate monocalcique monohydraté;ANS nom préféré;français;08/07/1997;17/05/1999
00537;00537;glutathion;ANS nom préféré;français;08/07/1997;07/05/2010
00538;00538;ménotropine ;ANS nom préféré;français;08/07/1997;04/10/2011
00539;00539;calcium (hydrogénophosphate de) anhydre;ANS autre nom;français;08/07/1997;03/10/2019
00541;00541;hespéridine méthylchalcone;ANS autre nom;français;08/07/1997;07/05/2009
00544;00544;histidine;ANS nom préféré;français;08/07/1997;21/11/2012
00545;00545;hydrocortisone (acétate d');ANS nom préféré;français;08/07/1997;11/05/2009
00547;00547;valpromide;ANS nom préféré;français;08/07/1997;
00549;00549;iode;ANS nom préféré;français;08/07/1997;12/03/2008
00550;00550;isoleucine;ANS nom préféré;français;08/07/1997;12/11/1998
00555;00555;leucine;ANS nom préféré;français;08/07/1997;21/08/2012
00557;00557;médroxyprogestérone (acétate de);ANS nom préféré;français;08/07/1997;24/06/2009
00561;00561;lorazépam;ANS nom préféré;français;08/07/1997;12/11/1998
00563;00563;lysine;ANS nom préféré;français;08/07/1997;13/11/1998
00568;00568;lévomenthol;ANS nom préféré;français;08/07/1997;08/06/2009
00569;00569;bumétanide;ANS nom préféré;français;08/07/1997;12/11/1998
00582;00582;mitomycine C;ANS autre nom;français;08/07/1997;29/07/2009
00585;00585;morphine (chlorhydrate de);ANS nom préféré;français;08/07/1997;28/01/2011
00587;00587;cimétidine;ANS nom préféré;français;08/07/1997;12/11/1998
00588;00588;promestriène;ANS nom préféré;français;08/07/1997;
00589;00589;myrtécaïne;ANS nom préféré;français;08/07/1997;04/08/2009
00594;00594;flurbiprofène;ANS nom préféré;français;08/07/1997;
00597;00597;riboflavine (phosphate sodique de) dihydraté;ANS nom préféré;français;08/07/1997;18/04/2000
00602;00602;miansérine (chlorhydrate de);ANS nom préféré;français;08/07/1997;27/07/2009
00604;00604;disopyramide (phosphate de);ANS nom préféré;français;08/07/1997;03/03/2023
00608;00608;phénol;ANS nom préféré;français;08/07/1997;03/09/2009
00610;00610;phénylalanine;ANS nom préféré;français;08/07/1997;12/11/1998
00614;00614;clobétasol (propionate de);ANS nom préféré;français;08/07/1997;23/10/2008
00616;00616;quinine;ANS nom préféré;français;08/07/1997;26/04/2013
00617;00617;sulfadiazine argentique;ANS nom préféré;français;08/07/1997;09/11/2009
00618;00618;quinine (chlorhydrate de);ANS nom préféré;français;08/07/1997;05/10/2009
00620;00620;quinidine;ANS nom préféré;français;08/07/1997;23/04/2013
00622;00622;rétinol;ANS nom préféré;français;08/07/1997;12/03/2008
00626;00626;salbutamol;ANS nom préféré;français;08/07/1997;02/07/2013
00628;00628;cétylpyridinium (chlorure de);ANS nom préféré;français;08/07/1997;12/11/1998
00629;00629;sérine;ANS nom préféré;français;08/07/1997;12/11/1998
00630;00630;piribédil (mésilate de);ANS nom préféré;français;08/07/1997;15/09/2009
00637;00637;sodium (benzoate de);ANS nom préféré;français;08/07/1997;20/10/2009
00640;00640;sorbitol;ANS nom préféré;français;08/07/1997;04/11/2009
00641;00641;tixocortol (pivalate de);ANS nom préféré;français;08/07/1997;26/11/2009
00651;00651;terpine;ANS nom préféré;français;08/07/1997;18/11/2009
00655;00655;théophylline monohydratée;ANS nom préféré;français;08/07/1997;20/11/2009
00658;00658;thréonine;ANS nom préféré;français;08/07/1997;12/11/1998
00659;00659;thymol;ANS nom préféré;français;08/07/1997;23/11/2009
00663;00663;titane (dioxyde de);ANS nom préféré;français;08/07/1997;26/11/2009
00670;00670;trimébutine;ANS nom préféré;français;08/07/1997;13/11/1998
00675;00675;valine;ANS nom préféré;français;08/07/1997;12/11/1998
00676;00676;vaseline;ANS nom préféré;français;08/07/1997;17/09/2012
00677;00677;ledum palustre pour préparations homéopathiques;ANS autre nom;français;08/07/1997;01/08/2013
00678;00678;warfarine sodique;ANS nom préféré;français;08/07/1997;24/08/2010
00682;00682;mesna;ANS nom préféré;français;08/07/1997;
00688;00688;lactique (acide);ANS nom préféré;français;08/07/1997;02/06/2009
00690;00690;salicylique (acide);ANS nom préféré;français;08/07/1997;14/10/2009
00702;00702;stanneux (fluorure);ANS nom préféré;français;08/07/1997;05/07/2013
00706;00706;clotrimazole;ANS nom préféré;français;08/07/1997;12/11/1998
00712;00712;aprotinine ;ANS nom préféré;français;08/07/1997;28/06/2001
00713;00713;étoposide;ANS nom préféré;français;08/07/1997;12/11/1998
00726;00726;métoclopramide (chlorhydrate de);ANS nom préféré;français;08/07/1997;24/07/2009
00731;00731;almitrine (mésilate d');ANS nom préféré;français;08/07/1997;17/07/2008
00738;00738;dobutamine (chlorhydrate de);ANS nom préféré;français;08/07/1997;17/02/2023
88597;00743;cinchonine;ANS nom préféré;français;08/07/1997;02/04/2013
00751;00751;virus de la fièvre jaune, souche 17D-204 (vivant, atténué) ;ANS nom préféré;français;08/07/1997;11/05/2009
00756;00756;colophane;ANS nom préféré;français;08/07/1997;12/03/2008
00760;00760;créosote officinale;ANS nom préféré;français;08/07/1997;16/02/2023
00762;00762;aténolol;ANS nom préféré;français;08/07/1997;12/11/1998
00763;00763;cuprum metallicum pour préparations homéopathiques;ANS autre nom;français;08/07/1997;19/10/2018
00764;00764;cuprum aceticum pour préparations homéopathiques;ANS autre nom;français;08/07/1997;01/08/2013
00767;00767;cholique (acide);ANS nom préféré;français;08/07/1997;01/06/2012
00769;00769;diosmine;ANS nom préféré;français;08/07/1997;
00772;00772;céfoxitine sodique;ANS nom préféré;français;08/07/1997;12/11/1998
00773;00773;hydrocortisone (butyrate d');ANS nom préféré;français;08/07/1997;13/11/1998
00783;00783;ticlopidine (chlorhydrate de);ANS nom préféré;français;08/07/1997;24/11/2009
00788;00788;amitriptyline (chlorhydrate d');ANS nom préféré;français;08/07/1997;13/06/2008
00812;00812;baclofène;ANS nom préféré;français;08/07/1997;12/11/1998
00817;00817;diflucortolone (valérate de);ANS nom préféré;français;08/07/1997;17/02/2009
00819;00819;indapamide;ANS nom préféré;français;08/07/1997;12/11/1998
00823;00823;kétoprofène;ANS nom préféré;français;08/07/1997;12/11/1998
00829;00829;loxapine (succinate de);ANS nom préféré;français;08/07/1997;09/11/2011
00831;00831;manganèse (sulfate de) monohydraté;ANS nom préféré;français;08/07/1997;03/03/2023
00832;00832;isoconazole (nitrate d');ANS nom préféré;français;08/07/1997;26/05/2009
00836;00836;dantrolène sodique;ANS nom préféré;français;08/07/1997;13/11/1998
00842;00842;nifédipine;ANS nom préféré;français;08/07/1997;12/11/1998
00855;00855;potassium (citrate de);ANS autre nom;français;08/07/1997;18/09/2009
00857;00857;vératrole;ANS nom préféré;français;08/07/1997;11/12/2009
00859;00859;prazosine (chlorhydrate de);ANS nom préféré;français;08/07/1997;23/09/2009
00861;00861;naloxone (chlorhydrate de) anhydre;ANS nom préféré;français;08/07/1997;06/08/2009
00862;00862;Lactobacillus casei;ANS nom préféré;français;08/07/1997;
00872;00872;amoxicilline sodique;ANS nom préféré;français;08/07/1997;12/11/1998
00873;00873;cisplatine;ANS nom préféré;français;08/07/1997;02/10/2008
00876;00876;fosfomycine sodique;ANS nom préféré;français;08/07/1997;22/04/2009
00877;00877;amoxapine;ANS nom préféré;français;08/07/1997;
00882;00882;vindésine (sulfate de);ANS nom préféré;français;08/07/1997;23/08/2010
00889;00889;benzoyle (peroxyde de);ANS nom préféré;français;08/07/1997;07/11/2007
00892;00892;phytolacca decandra pour préparations homéopathiques;ANS autre nom;français;08/07/1997;01/08/2013
00893;00893;plantago major pour préparations homéopathiques;ANS autre nom;français;08/07/1997;01/08/2013
00899;00899;sodium (bicarbonate de);ANS autre nom;français;08/07/1997;20/10/2009
00900;00900;borax;ANS nom préféré;français;08/07/1997;08/04/2015
00901;00901;sodium (chlorure de);ANS nom préféré;français;08/07/1997;20/10/2009
00905;00905;sodium (sulfate de) anhydre;ANS nom préféré;français;08/07/1997;23/10/2009
00907;00907;bromazépam;ANS nom préféré;français;08/07/1997;12/11/1998
00908;00908;cantharis pour préparations homéopathiques;ANS autre nom;français;08/07/1997;01/08/2013
00910;00910;colchicum autumnale pour préparations homéopathiques;ANS autre nom;français;08/07/1997;01/08/2013
00911;00911;céfuroxime sodique;ANS nom préféré;français;08/07/1997;12/11/1998
00912;00912;clidinium (bromure de);ANS nom préféré;français;08/07/1997;01/07/2008
00915;00915;diltiazem (chlorhydrate de);ANS nom préféré;français;08/07/1997;24/03/2009
00917;00917;clindamycine (phosphate de);ANS nom préféré;français;08/07/1997;22/10/2008
00919;00919;baume de tolu (teinture de);ANS nom préféré;français;08/07/1997;09/03/2023
00923;00923;alpha-tocophérol;ANS autre nom;français;08/07/1997;07/09/2011
00924;00924;mexilétine (chlorhydrate de);ANS nom préféré;français;08/07/1997;27/07/2009
00928;00928;zinc (chlorure de);ANS nom préféré;français;08/07/1997;15/12/2009
00929;00929;zinc (oxyde de);ANS nom préféré;français;08/07/1997;16/12/2009
00930;00930;zinc (peroxyde de);ANS nom préféré;français;08/07/1997;22/09/2010
00933;00933;métoprolol (tartrate de);ANS nom préféré;français;08/07/1997;27/07/2009
00934;00934;étifoxine (chlorhydrate d');ANS nom préféré;français;08/07/1997;13/11/1998
00935;00935;josamycine (propionate de);ANS nom préféré;français;08/07/1997;28/05/2009
00941;00941;josamycine;ANS nom préféré;français;08/07/1997;28/05/2009
00942;00942;rutoside;ANS nom préféré;français;08/07/1997;13/10/2009
00943;00943;picloxydine (dichlorhydrate de);ANS nom préféré;français;08/07/1997;13/11/1998
00945;00945;danazol;ANS nom préféré;français;08/07/1997;
00946;00946;labétalol (chlorhydrate de);ANS nom préféré;français;08/07/1997;02/06/2009
00947;00947;sulfasalazine;ANS nom préféré;français;08/07/1997;12/11/1998
00949;00949;salicylamide;ANS nom préféré;français;08/07/1997;13/11/1998
00951;00951;salol;ANS nom préféré;français;08/07/1997;14/10/2009
00959;00959;estramustine (phosphate disodique d') monohydraté;ANS nom préféré;français;08/07/1997;24/10/2007
00960;00960;somatotropine ;ANS autre nom;français;08/07/1997;21/03/2023
00968;00968;bétahistine (mésilate de);ANS nom préféré;français;08/07/1997;27/06/2008
00970;00970;sotalol (chlorhydrate de);ANS nom préféré;français;08/07/1997;04/11/2009
00971;00971;somatostatine;ANS nom préféré;français;08/07/1997;12/11/1998
00974;00974;ornidazole;ANS nom préféré;français;08/07/1997;
00975;00975;spiramycine;ANS nom préféré;français;08/07/1997;12/11/1998
00977;00977;spironolactone;ANS nom préféré;français;08/07/1997;12/11/1998
00981;00981;ursodésoxycholique (acide);ANS autre nom;français;08/07/1997;07/12/2009
00982;00982;céfotaxime sodique;ANS nom préféré;français;08/07/1997;12/11/1998
00984;00984;dompéridone;ANS nom préféré;français;08/07/1997;12/11/1998
00987;00987;cyprotérone (acétate de);ANS nom préféré;français;08/07/1997;26/11/2008
00988;00988;alfacalcidol;ANS nom préféré;français;08/07/1997;06/06/2008
00991;00991;flubendazole;ANS nom préféré;français;08/07/1997;
00998;00998;acénocoumarol;ANS nom préféré;français;08/07/1997;
01006;01006;acétazolamide;ANS nom préféré;français;08/07/1997;12/11/1998
01014;01014;acétylcystéine;ANS nom préféré;français;08/07/1997;20/02/2012
01021;01021;glycine;ANS nom préféré;français;08/07/1997;04/05/2009
01023;01023;ascorbique (acide);ANS nom préféré;français;08/07/1997;01/10/2008
01040;01040;folique (acide);ANS nom préféré;français;08/07/1997;20/04/2009
01041;01041;éthyle (loflazépate d');ANS autre nom;français;08/07/1997;12/06/2009
01044;01044;glutamique (acide);ANS nom préféré;français;08/07/1997;13/01/2012
01062;01062;niflumique (acide);ANS nom préféré;français;08/07/1997;06/11/2007
01068;01068;tranexamique (acide);ANS nom préféré;français;08/07/1997;12/11/1998
01080;01080;adrénaline;ANS autre nom;français;08/07/1997;21/12/2022
01083;01083;calcium (hydrogénophosphate de) dihydraté;ANS autre nom;français;08/07/1997;22/04/2011
01090;01090;alimémazine;ANS nom préféré;français;08/07/1997;09/06/2008
01095;01095;allium cepa pour préparations homéopathiques;ANS autre nom;français;08/07/1997;01/08/2013
01097;01097;allopurinol;ANS nom préféré;français;08/07/1997;12/11/1998
01099;01099;morphine (sulfate de);ANS nom préféré;français;08/07/1997;03/08/2009
01106;01106;altizide;ANS nom préféré;français;08/07/1997;
01110;01110;ambénonium (chlorure d');ANS nom préféré;français;08/07/1997;24/09/2008
01119;01119;zinc (sulfate de) monohydraté;ANS nom préféré;français;08/07/1997;16/12/2009
01121;01121;calcarea acetica pour préparations homéopathiques;ANS autre nom;français;08/07/1997;01/08/2013
01123;01123;sodium (amidotrizoate de);ANS autre nom;français;08/07/1997;11/06/2008
01137;01137;lupulinum pour préparations homéopathiques;ANS autre nom;français;08/07/1997;09/02/2023
03193;01139;chlorphéniramine (maléate de);ANS autre nom;français;08/07/1997;23/09/2008
01140;01140;amitriptyline;ANS nom préféré;français;08/07/1997;
01150;01150;amphotéricine B;ANS nom préféré;français;08/07/1997;
01810;01168;éthoforme;ANS autre nom;français;08/07/1997;24/06/2008
01178;01178;arginine;ANS nom préféré;français;08/07/1997;13/01/2012
01182;01182;sodium (ascorbate de);ANS autre nom;français;08/07/1997;19/06/2008
01188;01188;métronidazole (benzoate de);ANS nom préféré;français;08/07/1997;27/07/2009
01200;01200;azathioprine;ANS nom préféré;français;08/07/1997;12/11/1998
01205;01205;bacitracine;ANS nom préféré;français;08/07/1997;12/11/1998
01206;01206;ambra grisea pour préparations homéopathiques;ANS autre nom;français;08/07/1997;09/02/2023
01215;01215;bendrofluméthiazide;ANS nom préféré;français;08/07/1997;23/06/2008
01257;01257;bétahistine (dichlorhydrate de);ANS nom préféré;français;08/07/1997;27/06/2008
01261;01261;bétaméthasone;ANS nom préféré;français;08/07/1997;12/11/1998
01270;01270;biclotymol;ANS nom préféré;français;08/07/1997;
01274;01274;bipéridène (chlorhydrate de);ANS nom préféré;français;08/07/1997;30/06/2008
04548;01283;vitamine A (acétate de);ANS autre nom;français;08/07/1997;17/02/2023
01295;01295;bromélaïnes;ANS nom préféré;français;08/07/1997;
06427;01303;glonoinum pour préparations homéopathiques;ANS autre nom;français;08/07/1997;01/08/2013
01317;01317;busulfan;ANS nom préféré;français;08/07/1997;03/07/2008
01318;01318;butacaïne;ANS nom préféré;français;08/07/1997;13/11/1998
01328;01328;molsidomine;ANS nom préféré;français;08/07/1997;
01339;01339;ergocalciférol;ANS nom préféré;français;08/07/1997;19/03/2009
01343;01343;méglumine (benzoate de);ANS nom préféré;français;08/07/1997;13/10/2011
01351;01351;carbamazépine;ANS nom préféré;français;08/07/1997;20/02/2013
01354;01354;buspirone (chlorhydrate de);ANS nom préféré;français;08/07/1997;03/07/2008
01356;01356;abeille (venin d');ANS nom préféré;français;08/07/1997;11/07/2019
01358;01358;carbimazole;ANS nom préféré;français;08/07/1997;13/11/1998
01362;01362;cloxacilline sodique monohydratée;ANS nom préféré;français;08/07/1997;25/07/2007
01378;01378;D-phénothrine;ANS nom préféré;français;08/07/1997;16/02/2023
01379;01379;céthexonium (bromure de);ANS nom préféré;français;08/07/1997;01/07/2008
01393;01393;chlorambucil;ANS nom préféré;français;08/07/1997;12/11/1998
01823;01396;vitamine B1;ANS autre nom;français;08/07/1997;18/10/2010
01400;01400;chlordiazépoxide;ANS nom préféré;français;08/07/1997;12/11/1998
01411;01411;chlorocrésol;ANS nom préféré;français;08/07/1997;22/09/2008
01430;01430;chlorpromazine;ANS nom préféré;français;08/07/1997;
01433;01433;chlorquinaldol;ANS nom préféré;français;08/07/1997;
01434;01434;chlortalidone;ANS nom préféré;français;08/07/1997;12/11/1998
01473;01473;zinc;ANS nom préféré;français;08/07/1997;17/01/2011
01493;01493;clomipramine (chlorhydrate de);ANS nom préféré;français;08/07/1997;23/10/2008
01507;01507;clorazépate dipotassique;ANS nom préféré;français;08/07/1997;12/11/1998
01522;01522;éthylmorphine;ANS nom préféré;français;08/07/1997;
01525;01525;cholécalciférol;ANS autre nom;français;08/07/1997;25/09/2008
01526;01526;colestyramine;ANS nom préféré;français;08/07/1997;29/10/2008
01533;01533;crotamiton;ANS nom préféré;français;08/07/1997;17/11/2008
01539;01539;cyanocobalamine;ANS nom préféré;français;08/07/1997;24/11/2008
79576;01563;polyéthylèneglycol 3350;ANS autre nom;français;08/07/1997;17/06/2009
01574;01574;cytarabine;ANS nom préféré;français;08/07/1997;12/11/1998
01578;01578;daunorubicine (chlorhydrate de);ANS nom préféré;français;08/07/1997;15/04/2013
01584;01584;déféroxamine (mésilate de);ANS nom préféré;français;08/07/1997;02/12/2008
01588;01588;phosphoricum acidum pour préparations homéopathiques;ANS autre nom;français;08/07/1997;01/08/2013
01591;01591;alprostadil;ANS nom préféré;français;08/07/1997;
01593;01593;déméclocycline (chlorhydrate de);ANS nom préféré;français;08/07/1997;03/03/2023
01595;01595;curcuma pour préparations homéopathiques;ANS autre nom;français;08/07/1997;14/02/2023
01603;01603;taurine;ANS nom préféré;français;08/07/1997;
01608;01608;dexaméthasone;ANS nom préféré;français;08/07/1997;12/11/1998
01615;01615;podophyllotoxine;ANS nom préféré;français;08/07/1997;16/09/2009
01623;01623;kreosotum pour préparations homéopathiques;ANS autre nom;français;08/07/1997;01/08/2013
05009;01632;lactate de sodium, solution de;ANS autre nom;français;08/07/1997;17/02/2023
