Code_Substance;code_Nom_Substance;Nom_Substance;Flag_Substance
53745;53745    ;albutrépénonacog alfa ;ANS nom préféré
09172;21081;alchemilla vulgaris ((Homéopathie));ANS nom préféré
50326;50326    ;alcools de graisse de laine;ANS nom préféré
17295;17295    ;aldesleukine ;ANS nom préféré
86542;86542    ;alectinib;ANS nom préféré
92808;92808    ;alectinib (chlorhydrate d');ANS nom préféré
34817;34817    ;alemtuzumab ;ANS nom préféré
43912;50307    ;alendronate de sodium anhydre;ANS nom préféré
24982;56247    ;alendronate de sodium trihydraté;ANS nom préféré
17270;17270    ;alendronate monosodique monohydraté;ANS nom préféré
38315;38315    ;alfa-amylase ;ANS nom préféré
00988;00988    ;alfacalcidol;ANS nom préféré
05922;05922    ;alfentanil;ANS nom préféré
06166;06166    ;alfentanil (chlorhydrate d');ANS nom préféré
60310;60310    ;alfuzosine (chlorhydrate d');ANS nom préféré
05356;77006    ;alginate de sodium;ANS nom préféré
99961;99961    ;alglucosidase alfa ;ANS nom préféré
01090;01090    ;alimémazine;ANS nom préféré
05762;79417    ;alimémazine (hémitartrate d');ANS nom préféré
74929;74929    ;alirocumab ;ANS nom préféré
62086;62086    ;alitrétinoïne;ANS nom préféré
32273;32273    ;alizapride;ANS nom préféré
16458;16458    ;alizapride (chlorhydrate d');ANS nom préféré
04134;04134    ;allantoïne;ANS nom préféré
01095;39251;allium cepa ((Homéopathie));ANS nom préféré
01097;01097    ;allopurinol;ANS nom préféré
20863;20863    ;alminoprofène;ANS nom préféré
00731;00731    ;almitrine (mésilate d');ANS nom préféré
64860;18354    ;almotriptan;ANS nom préféré
50149;64222    ;almotriptan (malate d');ANS nom préféré
00113;81250;aloe ((Homéopathie));ANS nom préféré
34064;34064    ;aloès (extrait sec titré d');ANS nom préféré
54696;54696    ;alpélisib;ANS nom préféré
11572;69142;alpha-amylcinnamaldéhyde;ANS nom préféré
05229;05229    ;alpha-terpinéol;ANS nom préféré
13112;13112    ;alprazolam;ANS nom préféré
01591;01591    ;alprostadil;ANS nom préféré
56894;69779    ;altéplase ;ANS nom préféré
01106;01106    ;altizide;ANS nom préféré
00868;00868    ;altrétamine;ANS nom préféré
18884;53917;alumen ((Homéopathie));ANS nom préféré
00204;28410    ;aluminium (hydroxyde d') et magnésium (carbonate de) codesséchés, gel d';ANS nom préféré
04713;04713    ;aluminium (oxyde d');ANS nom préféré
02940;02940    ;aluminium (oxyde d') hydraté;ANS nom préféré
72288;72288    ;aluminium (phosphate d');ANS nom préféré
04661;04661    ;aluminium (phosphate d'), gel de;ANS nom préféré
03377;03377    ;alun de chrome;ANS nom préféré
04028;04028    ;alvérine (citrate d');ANS nom préféré
00042;00042    ;amantadine (chlorhydrate d');ANS nom préféré
01110;01110    ;ambénonium (chlorure d');ANS nom préféré
01206;99253;ambra grisea ((Homéopathie));ANS nom préféré
95484;95484    ;ambrisentan;ANS nom préféré
35072;73207;ambrosia artemisiaefolia ((Homéopathie));ANS nom préféré
86070;83348    ;ambroxol;ANS nom préféré
24245;24245    ;ambroxol (chlorhydrate d');ANS nom préféré
93297;80049    ;amidon hydroxyéthylé 130 000;ANS nom préféré
03146;96626    ;amidotrizoate de méglumine;ANS nom préféré
01123;28479    ;amidotrizoate de sodium;ANS nom préféré
72087;72087    ;amifampridine;ANS nom préféré
52114;52114    ;amifampridine (phosphate d');ANS nom préféré
73916;51116    ;amifostine;ANS nom préféré
22273;22273    ;amikacine;ANS nom préféré
00280;00280    ;amikacine (sulfate d');ANS nom préféré
96013;83898    ;amiloride (chlorhydrate d') anhydre;ANS nom préféré
03149;46204    ;amiloride (chlorhydrate d') dihydraté;ANS nom préféré
01130;01130    ;aminophylline;ANS nom préféré
03484;86128    ;aminosalicylate de sodium dihydraté;ANS nom préféré
05386;05386    ;amiodarone (chlorhydrate d');ANS nom préféré
09231;09231    ;amisulpride;ANS nom préféré
01140;01140    ;amitriptyline;ANS nom préféré
00788;00788    ;amitriptyline (chlorhydrate d');ANS nom préféré
97615;97615    ;amivantamab ;ANS nom préféré
39727;39727    ;amlodipine;ANS nom préféré
93748;93748    ;amlodipine (bésilate d');ANS nom préféré
26590;24537    ;amorolfine;ANS nom préféré
53732;53732    ;amorolfine (chlorhydrate d');ANS nom préféré
00877;00877    ;amoxapine;ANS nom préféré
05248;24968    ;amoxicilline;ANS nom préféré
00872;00872    ;amoxicilline sodique;ANS nom préféré
28165;28165    ;amoxicilline trihydratée;ANS nom préféré
01150;01150    ;amphotéricine B;ANS nom préféré
84525;75791    ;ampicilline;ANS nom préféré
03158;03158    ;ampicilline sodique;ANS nom préféré
16948;16948    ;amsacrine;ANS nom préféré
04689;04689    ;amylase fongique;ANS nom préféré
03151;03151    ;amylmétacrésol;ANS nom préféré
69478;69478    ;anagrélide;ANS nom préféré
45102;45102    ;anagrélide (chlorhydrate d') monohydraté;ANS nom préféré
65595;65595    ;anakinra ;ANS nom préféré
42215;42215    ;anastrozole;ANS nom préféré
05715;05715    ;anatoxine diphtérique ;ANS nom préféré
05717;05717    ;anatoxine tétanique ;ANS nom préféré
00050;00050    ;androstanolone;ANS nom préféré
03748;03748    ;anétholtrithione;ANS nom préféré
65940;65940    ;anidulafungine;ANS nom préféré
67668;67668    ;anifrolumab ;ANS nom préféré
09692;47154    ;antigène  de surface de l'hépatite B recombinant  ;ANS nom préféré
37596;68340    ;antigène coquelucheux : pertactine  ;ANS nom préféré
27665;48695    ;antigène de surface de l'hépatite B ;ANS nom préféré
95887;68388    ;antigène pertussique : anatoxine pertussique ;ANS nom préféré
62411;67732    ;antigène pertussique : hémagglutinine filamenteuse ;ANS nom préféré
53161;35651    ;antigènes pertussiques : fimbriae type 2 et 3 ;ANS nom préféré
98428;98428    ;antimoine;ANS nom préféré
08541;25733;antimonium metallicum ((Homéopathie));ANS nom préféré
28664;64379    ;antithrombine III humaine ;ANS nom préféré
71667;71667    ;apalutamide;ANS nom préféré
26713;74848;apis mellifica ((Homéopathie));ANS nom préféré
61321;61321    ;apixaban;ANS nom préféré
14365;15321;apocynum cannabinum ((Homéopathie));ANS nom préféré
00052;96448    ;apomorphine (chlorhydrate d') hémihydraté;ANS nom préféré
36528;92250    ;apraclonidine;ANS nom préféré
05988;05988    ;apraclonidine (chlorhydrate d');ANS nom préféré
41238;41238    ;aprémilast;ANS nom préféré
84452;84452    ;aprépitant;ANS nom préféré
00712;00712    ;aprotinine ;ANS nom préféré
61676;61676    ;argatroban monohydraté;ANS nom préféré
08477;08477    ;argent;ANS nom préféré
04697;04697    ;argent (gluconate d');ANS nom préféré
00053;00053    ;argent (nitrate d');ANS nom préféré
20038;56324;argentum metallicum ((Homéopathie));ANS nom préféré
01851;83850;argentum nitricum ((Homéopathie));ANS nom préféré
01178;01178    ;arginine;ANS nom préféré
04148;04148    ;arginine (chlorhydrate d');ANS nom préféré
04149;04149    ;arginine (glutamate d');ANS nom préféré
35068;35068    ;argipressine;ANS nom préféré
69045;69045    ;argipressine (acétate d');ANS nom préféré
96835;96835    ;aripiprazole;ANS nom préféré
02161;02161    ;arnica (teinture d');ANS nom préféré
04587;75434;arnica montana ((Homéopathie));ANS nom préféré
08014;88070;arsenicum album ((Homéopathie));ANS nom préféré
09430;99066;arsenicum iodatum ((Homéopathie));ANS nom préféré
39567;39567    ;artéméther;ANS nom préféré
84578;84578    ;arténimol;ANS nom préféré
76288;22511    ;articaïne;ANS nom préféré
23926;23926    ;artichaut (extrait sec d');ANS nom préféré
24044;97994;arundo donax ((Homéopathie));ANS nom préféré
03147;43072;asa foetida ((Homéopathie));ANS nom préféré
56520;27126;asclepias vincetoxicum ((Homéopathie));ANS nom préféré
03641;19405    ;ascorbate de calcium;ANS nom préféré
01182;28614    ;ascorbate de sodium;ANS nom préféré
01023;01023    ;ascorbique (acide);ANS nom préféré
83313;83313    ;asfotase alfa ;ANS nom préféré
00057;00057    ;asparaginase;ANS nom préféré
69781;47552    ;asparaginase ;ANS nom préféré
03752;80108    ;aspartate d'arginine;ANS nom préféré
00006;00006    ;aspartique (acide);ANS nom préféré
09898;77212;aspidium filix mas ((Homéopathie));ANS nom préféré
26023;26023    ;ataluren;ANS nom préféré
27570;27570    ;atazanavir;ANS nom préféré
87658;87658    ;atazanavir (sulfate d');ANS nom préféré
00762;00762    ;aténolol;ANS nom préféré
72639;72639    ;atézolizumab ;ANS nom préféré
84495;84495    ;atidarsagène autotemcel ;ANS nom préféré
19809;19809    ;atorvastatine;ANS nom préféré
50091;50091    ;atorvastatine calcique;ANS nom préféré
92464;92464    ;atorvastatine calcique trihydratée;ANS nom préféré
47834;27101    ;atosiban;ANS nom préféré
80301;80301    ;atosiban (acétate d');ANS nom préféré
03009;03009    ;atovaquone;ANS nom préféré
06492;06492    ;atracurium (bésilate d');ANS nom préféré
10321;10321    ;atropine;ANS nom préféré
04150;04150    ;atropine (sulfate d');ANS nom préféré
06984;48958;atropinum sulfuricum ((Homéopathie));ANS nom préféré
60284;84292    ;attapulgite;ANS nom préféré
67402;67402    ;aubépine (feuille et fleur d'), extrait sec de;ANS nom préféré
04589;04589    ;aubépine (teinture d');ANS nom préféré
70766;70766    ;aurotiosulfate de sodium;ANS nom préféré
07504;79535;aurum metallicum ((Homéopathie));ANS nom préféré
05809;33137;aurum muriaticum ((Homéopathie));ANS nom préféré
14116;85524;aurum muriaticum natronatum ((Homéopathie));ANS nom préféré
96771;96771    ;avalglucosidase alfa ;ANS nom préféré
92375;92375    ;avanafil;ANS nom préféré
54300;54300    ;avapritinib;ANS nom préféré
65853;65853    ;avélumab ;ANS nom préféré
04119;50481;avena sativa ((Homéopathie));ANS nom préféré
44580;44580    ;avibactam;ANS nom préféré
18224;18224    ;avibactam sodique;ANS nom préféré
28231;28231    ;avizafone (chlorhydrate d');ANS nom préféré
55952;55952    ;axicabtagène ciloleucel ;ANS nom préféré
46333;46333    ;axitinib;ANS nom préféré
88044;88044    ;azacitidine;ANS nom préféré
01200;01200    ;azathioprine;ANS nom préféré
44571;44571    ;azélaïque (acide);ANS nom préféré
75817;75817    ;azélastine;ANS nom préféré
25329;25329    ;azélastine (chlorhydrate d');ANS nom préféré
96035;76699    ;azithromycine;ANS nom préféré
48539;48539    ;azithromycine dihydratée;ANS nom préféré
43303;43303    ;azithromycine monohydratée;ANS nom préféré
48940;90002    ;azote (monoxyde d');ANS nom préféré
79481;79481    ;aztréonam;ANS nom préféré
65045;74738    ;aztréonam de lysine;ANS nom préféré
01205;01205    ;bacitracine;ANS nom préféré
00812;00812    ;baclofène;ANS nom préféré
55261;79980;badiaga ((Homéopathie));ANS nom préféré
50858;50858    ;bambutérol (chlorhydrate de);ANS nom préféré
27201;27201    ;baricitinib;ANS nom préféré
19473;18514;baryta carbonica ((Homéopathie));ANS nom préféré
00063;00063    ;baryum (sulfate de);ANS nom préféré
48651;48651    ;basiliximab ;ANS nom préféré
00919;00919    ;baume de tolu (teinture de);ANS nom préféré
00127;00127    ;baume du Pérou;ANS nom préféré
21658;29028    ;BCG atténué - souche Connaught ;ANS nom préféré
59885;32121    ;béclométasone;ANS nom préféré
04179;04179    ;béclométasone (dipropionate de);ANS nom préféré
42794;42794    ;béclométasone (dipropionate de) monohydraté;ANS nom préféré
66638;66638    ;bédaquiline;ANS nom préféré
33387;33387    ;bédaquiline (fumarate de);ANS nom préféré
44487;44487    ;bélantamab mafodotine ;ANS nom préféré
92394;92394    ;bélatacept ;ANS nom préféré
38434;38434    ;bélimumab ;ANS nom préféré
28206;73798;bellis perennis ((Homéopathie));ANS nom préféré
14049;14049    ;bénazépril (chlorhydrate de);ANS nom préféré
94401;94401    ;bendamustine (chlorhydrate de);ANS nom préféré
36836;36836    ;bendamustine (chlorhydrate de) monohydraté;ANS nom préféré
01215;01215    ;bendrofluméthiazide;ANS nom préféré
00129;95893    ;benjoin du Laos;ANS nom préféré
04594;61583    ;benjoin du Laos (teinture de);ANS nom préféré
80958;80958    ;benralizumab ;ANS nom préféré
95926;97705    ;bensérazide;ANS nom préféré
05093;05093    ;bensérazide (chlorhydrate de);ANS nom préféré
04766;04766    ;benzalkonium (bromure de);ANS nom préféré
04771;04771    ;benzalkonium (chlorure de);ANS nom préféré
24735;24735    ;benzalkonium (chlorure de), solution de;ANS nom préféré
05033;05033    ;benzathine benzylpénicilline;ANS nom préféré
01810;01810    ;benzocaïne;ANS nom préféré
04361;71978    ;benzododécinium (bromure de);ANS nom préféré
35812;35812    ;benzododécinium (bromure de) anhydre;ANS nom préféré
71938;71938    ;benzododécinium (bromure de) hydraté;ANS nom préféré
06742;92938;benzoicum acidum ((Homéopathie));ANS nom préféré
00889;00889    ;benzoyle (peroxyde de);ANS nom préféré
90720;90720    ;benzydamine;ANS nom préféré
04734;04734    ;benzydamine (chlorhydrate de);ANS nom préféré
05371;05371    ;benzyle (benzoate de);ANS nom préféré
00033;76636    ;benzylique (alcool);ANS nom préféré
05331;05331    ;benzylpénicilline sodique;ANS nom préféré
04167;04167    ;benzylthiouracile;ANS nom préféré
91754;77441;berberis aquifolium ((Homéopathie));ANS nom préféré
04006;94687;berberis vulgaris ((Homéopathie));ANS nom préféré
24942;24942    ;bérotralstat;ANS nom préféré
58961;58961    ;bérotralstat (dichlorhydrate de);ANS nom préféré
88366;88366    ;besilésomab ;ANS nom préféré
54247;39388    ;bêta-aescine;ANS nom préféré
03661;03661    ;bétacarotène;ANS nom préféré
01257;01257    ;bétahistine (dichlorhydrate de);ANS nom préféré
00968;00968    ;bétahistine (mésilate de);ANS nom préféré
00069;00069    ;bétaïne;ANS nom préféré
29205;15502    ;bétaïne (citrate de) anhydre;ANS nom préféré
04752;04752    ;bétaïne (citrate de) monohydraté;ANS nom préféré
01261;01261    ;bétaméthasone;ANS nom préféré
00445;00445    ;bétaméthasone (acétate de);ANS nom préféré
04730;04730    ;bétaméthasone (dipropionate de);ANS nom préféré
04509;78436    ;bétaméthasone (phosphate sodique de);ANS nom préféré
04184;04184    ;bétaméthasone (valérate de);ANS nom préféré
22466;22466    ;bétaxolol (chlorhydrate de);ANS nom préféré
80429;80429    ;bétiatide;ANS nom préféré
70202;70202    ;bévacizumab ;ANS nom préféré
48410;48410    ;bexarotène;ANS nom préféré
10803;10803    ;bézafibrate;ANS nom préféré
81266;81266    ;bezlotoxumab ;ANS nom préféré
17637;17637    ;bicalutamide;ANS nom préféré
04468;60461    ;bicarbonate de potassium;ANS nom préféré
00899;06585    ;bicarbonate de sodium;ANS nom préféré
01270;01270    ;biclotymol;ANS nom préféré
97242;97242    ;bictégravir;ANS nom préféré
99145;99145    ;bictégravir sodique;ANS nom préféré
28021;28021    ;bifonazole;ANS nom préféré
51827;51827    ;bilastine;ANS nom préféré
57000;57000    ;bilastine monohydratée;ANS nom préféré
81904;81904    ;bimatoprost;ANS nom préféré
78306;78306    ;bimékizumab ;ANS nom préféré
62178;62178    ;binimétinib;ANS nom préféré
00072;00072    ;biotine;ANS nom préféré
01274;01274    ;bipéridène (chlorhydrate de);ANS nom préféré
00073;00073    ;bisacodyl;ANS nom préféré
04171;04171    ;bismuth (oxyde de);ANS nom préféré
00414;00414    ;bismuth (sous-succinate de);ANS nom préféré
78337;78337    ;bismuth potassique (sous-citrate de);ANS nom préféré
56283;16846;bismuthum ((Homéopathie));ANS nom préféré
97658;97658    ;bisoprolol;ANS nom préféré
07436;80504    ;bisoprolol (fumarate de);ANS nom préféré
35143;35143    ;bivalirudine;ANS nom préféré
55004;55004    ;bléomycine;ANS nom préféré
02952;02952    ;bléomycine (sulfate de);ANS nom préféré
04768;04768    ;bleu patenté V sodique;ANS nom préféré
24567;24567    ;blinatumomab ;ANS nom préféré
04180;04180    ;boldine;ANS nom préféré
00132;19857    ;boldo (feuille de);ANS nom préféré
03131;03131    ;boldo (teinture de);ANS nom préféré
00900;00900    ;borax;ANS nom préféré
00008;00008    ;borique (acide);ANS nom préféré
98525;98525    ;bortézomib;ANS nom préféré
39357;38975    ;bosentan;ANS nom préféré
74217;74217    ;bosentan monohydraté;ANS nom préféré
36680;36680    ;bosutinib;ANS nom préféré
87288;87288    ;bosutinib monohydraté;ANS nom préféré
76742;76742    ;bouleau;ANS nom préféré
00134;21160    ;bourdaine (écorce de);ANS nom préféré
94576;94576    ;brentuximab védotine ;ANS nom préféré
74372;74372    ;brigatinib;ANS nom préféré
38467;38467    ;brimonidine;ANS nom préféré
60394;60394    ;brimonidine (tartrate de);ANS nom préféré
59860;59860    ;brinzolamide;ANS nom préféré
66079;66079    ;brivaracétam;ANS nom préféré
27023;27023    ;brodalumab ;ANS nom préféré
00907;00907    ;bromazépam;ANS nom préféré
01295;01295    ;bromélaïnes;ANS nom préféré
87921;87921    ;bromfénac;ANS nom préféré
73790;73790    ;bromfénac sodique sesquihydraté;ANS nom préféré
04729;04729    ;bromhexine (chlorhydrate de);ANS nom préféré
92297;16712    ;bromocriptine;ANS nom préféré
00328;00328    ;bromocriptine (mésilate de);ANS nom préféré
04187;32858    ;bromolactobionate de calcium;ANS nom préféré
03178;03178    ;bromphéniramine (maléate de);ANS nom préféré
12123;48079;bromum ((Homéopathie));ANS nom préféré
12351;12351    ;bronopol;ANS nom préféré
05791;05791    ;bryone (teinture de);ANS nom préféré
24381;24381    ;budésonide;ANS nom préféré
49006;49006    ;bulévirtide;ANS nom préféré
91322;91322    ;bulévirtide (acétate de);ANS nom préféré
00569;00569    ;bumétanide;ANS nom préféré
00034;70379    ;bupivacaïne (chlorhydrate de) monohydraté;ANS nom préféré
54459;54459    ;buprénorphine;ANS nom préféré
21888;21888    ;buprénorphine (chlorhydrate de);ANS nom préféré
17194;46195    ;bupropione (chlorhydrate de);ANS nom préféré
77470;77470    ;burosumab ;ANS nom préféré
01354;01354    ;buspirone (chlorhydrate de);ANS nom préféré
01317;01317    ;busulfan;ANS nom préféré
01318;01318    ;butacaïne;ANS nom préféré
44892;44892    ;butédronate tétrasodique;ANS nom préféré
97952;97952    ;cabazitaxel;ANS nom préféré
81299;81299    ;cabazitaxel (acétate d'éthyle de);ANS nom préféré
32131;32131    ;cabergoline;ANS nom préféré
96285;96285    ;cabotégravir;ANS nom préféré
63092;63092    ;cabotégravir sodique;ANS nom préféré
97435;97435    ;cabozantinib;ANS nom préféré
98546;98546    ;cabozantinib ((S)-malate de);ANS nom préféré
04595;87605;cactus grandiflorus ((Homéopathie));ANS nom préféré
04196;04196    ;caféine (citrate de);ANS nom préféré
03093;03093    ;caféine monohydratée;ANS nom préféré
04603;04603    ;calamine;ANS nom préféré
01121;92434;calcarea acetica ((Homéopathie));ANS nom préféré
07847;95774;calcarea fluorica ((Homéopathie));ANS nom préféré
04191;36358;calcarea iodata ((Homéopathie));ANS nom préféré
09364;74420;calcarea phosphorica ((Homéopathie));ANS nom préféré
54648;54648    ;calcifédiol anhydre;ANS nom préféré
00421;00421    ;calcifédiol monohydraté;ANS nom préféré
13013;13013    ;calcipotriol;ANS nom préféré
21973;21973    ;calcipotriol monohydraté;ANS nom préféré
00359;51647    ;calcitonine de saumon;ANS nom préféré
08112;08112    ;calcitriol;ANS nom préféré
04186;04186    ;calcium (acétate de);ANS nom préféré
00430;55239    ;calcium (chlorure de) dihydraté;ANS nom préféré
09706;43524    ;calcium (chlorure de) hexahydraté;ANS nom préféré
00432;00432    ;calcium (gluconate de);ANS nom préféré
04788;04788    ;calcium (gluconolactate de);ANS nom préféré
05392;05392    ;calcium (glycérophosphate de);ANS nom préféré
00459;07476    ;calcium édétate de sodium;ANS nom préféré
04100;56762;calendula officinalis ((Homéopathie));ANS nom préféré
00436;00436    ;camphre racémique;ANS nom préféré
36098;36098    ;canakinumab ;ANS nom préféré
73594;73594    ;candésartan cilexétil;ANS nom préféré
54502;54502    ;cangrélor;ANS nom préféré
26772;26772    ;cangrélor tétrasodique;ANS nom préféré
03102;66124    ;canrénoate de potassium;ANS nom préféré
00908;78439;cantharis ((Homéopathie));ANS nom préféré
91877;91877    ;capécitabine;ANS nom préféré
39145;39145    ;caplacizumab ;ANS nom préféré
19933;64616;capsicum annuum ((Homéopathie));ANS nom préféré
21053;21053    ;captopril;ANS nom préféré
05378;68988    ;carbachol;ANS nom préféré
01351;01351    ;carbamazépine;ANS nom préféré
99686;99686    ;carbétocine;ANS nom préféré
04090;04090    ;carbidopa anhydre;ANS nom préféré
11448;11448    ;carbidopa monohydratée;ANS nom préféré
01938;58571;carbo vegetabilis ((Homéopathie));ANS nom préféré
03044;03044    ;carbocistéine;ANS nom préféré
52310;52310    ;carbomère 974P;ANS nom préféré
49729;49729    ;carbomère 980;ANS nom préféré
00428;29011    ;carbonate de calcium;ANS nom préféré
05865;05865    ;carboplatine;ANS nom préféré
05487;43777;carduus marianus ((Homéopathie));ANS nom préféré
92790;92790    ;carfilzomib;ANS nom préféré
85578;36334    ;carglumique (acide);ANS nom préféré
00440;00440    ;carmellose sodique;ANS nom préféré
08011;08011    ;carmustine;ANS nom préféré
21178;79553    ;carraghénanes;ANS nom préféré
18380;18380    ;cartéolol (chlorhydrate de);ANS nom préféré
27222;27222    ;carvédilol;ANS nom préféré
49212;49212    ;cascara (extrait sec de);ANS nom préféré
47372;84334    ;caspofungine;ANS nom préféré
78279;78279    ;caspofungine (acétate de) ;ANS nom préféré
70544;70544    ;caspofungine (acétate de) ;ANS nom préféré
24360;96910;castor equi ((Homéopathie));ANS nom préféré
13002;76695;causticum ((Homéopathie));ANS nom préféré
65875;65875    ;céfaclor anhydre;ANS nom préféré
73957;73957    ;céfadroxil monohydraté;ANS nom préféré
00312;00312    ;céfalexine monohydratée;ANS nom préféré
63303;63303    ;céfalotine;ANS nom préféré
00503;00503    ;céfalotine sodique;ANS nom préféré
00837;17215    ;céfamandole (nafate de);ANS nom préféré
19757;53340    ;céfazoline;ANS nom préféré
04726;04726    ;céfazoline sodique;ANS nom préféré
49595;49595    ;céfépime;ANS nom préféré
77311;77311    ;céfépime (dichlorhydrate de) monohydraté;ANS nom préféré
42402;42402    ;céfidérocol;ANS nom préféré
83705;83705    ;céfidérocol (sulfate de) (tosilate de);ANS nom préféré
33617;33617    ;céfixime anhydre;ANS nom préféré
85516;98828    ;céfotaxime;ANS nom préféré
00982;00982    ;céfotaxime sodique;ANS nom préféré
91811;91811    ;céfotiam;ANS nom préféré
30227;30227    ;céfotiam hexétil (chlorhydrate de);ANS nom préféré
69050;69050    ;céfoxitine;ANS nom préféré
00772;00772    ;céfoxitine sodique;ANS nom préféré
17061;17061    ;cefpodoxime;ANS nom préféré
99303;99303    ;cefpodoxime proxétil;ANS nom préféré
56345;56345    ;ceftaroline fosamil;ANS nom préféré
37583;37583    ;ceftaroline fosamil (acétate de) monohydraté;ANS nom préféré
49416;49416    ;ceftazidime anhydre;ANS nom préféré
28630;28630    ;ceftobiprole;ANS nom préféré
57457;57457    ;ceftobiprole médocaril sodique;ANS nom préféré
66112;66112    ;ceftolozane;ANS nom préféré
19039;19039    ;ceftolozane (sulfate de);ANS nom préféré
35232;34213    ;ceftriaxone;ANS nom préféré
30925;32292    ;ceftriaxone sodique;ANS nom préféré
19091;19091    ;ceftriaxone sodique anhydre;ANS nom préféré
82384;82384    ;céfuroxime;ANS nom préféré
79600;79600    ;céfuroxime axétil;ANS nom préféré
00911;00911    ;céfuroxime sodique;ANS nom préféré
63854;63854    ;célécoxib;ANS nom préféré
78429;78429    ;céliprolol;ANS nom préféré
07958;07958    ;céliprolol (chlorhydrate de);ANS nom préféré
26138;26138    ;cellules autologues CD3+ transduites anti-CD19 ;ANS nom préféré
23318;23318    ;cellulose microcristalline;ANS nom préféré
50049;50049    ;cémiplimab ;ANS nom préféré
72513;72513    ;cénobamate;ANS nom préféré
58842;58842    ;céritinib;ANS nom préféré
44935;44935    ;cérium (nitrate de) hexahydraté;ANS nom préféré
77804;77804    ;certolizumab pégol ;ANS nom préféré
22114;22114    ;cétalkonium (chlorure de);ANS nom préféré
