Code CIS;numElement;Forme pharmaceutique Elmt;Nom Element;Nom Nature;Référence dosage;Code substance;numOrdreEdit;Dosage;Nom du composant
60014894;1;comprimé;comprimé;Substances actives.;pour un comprimé;00258;6;5 mg (4 DH) pour un comprimé;nux vomica pour préparations homéopathiques
60014894;1;comprimé;comprimé;Substances actives.;pour un comprimé;01851;3;5 mg (6 DH) pour un comprimé;argentum nitricum pour préparations homéopathiques
60014894;1;comprimé;comprimé;Substances actives.;pour un comprimé;08172;4;5 mg (6 DH) pour un comprimé;sepia officinalis pour préparations homéopathiques
60014894;1;comprimé;comprimé;Substances actives.;pour un comprimé;25643;1;5 mg (8 DH) pour un comprimé;cocculus indicus pour préparations homéopathiques
60014894;1;comprimé;comprimé;Substances actives.;pour un comprimé;07987;2;5 mg (8 DH) pour un comprimé;tabacum pour préparations homéopathiques
60016308;1;comprimé;comprimé;Substances actives.;pour un comprimé;27222;1;25 mg pour un comprimé;carvédilol
60016589;1;solution;solution;Substances actives.;pour une ampoule;08152;1;1000 mg pour une ampoule;lévocarnitine
60018088;1;gélule;gélule;Substances actives.;pour une gélule;39422;26;300 mg pour une gélule;prégabaline
60018444;1;comprimé;comprimé;Fractions thérapeutiques.;pour un comprimé;76589;1;1 mg pour un comprimé;entécavir
60018444;1;comprimé;comprimé;Substances actives.;pour un comprimé;68776;1;;entécavir monohydraté
60018896;1;comprimé;comprimé;Fractions thérapeutiques.;pour un comprimé;52431;1;6,816 mg;périndopril
60018896;1;comprimé;comprimé;Substances actives.;pour un comprimé;46744;1;10 mg pour un comprimé;périndopril (tosilate de)
60019101;1;collyre;collyre;Substances actives.;pour 100 ml;00473;1;2 g pour 100 ml;sodium (cromoglicate de)
60019329;1;comprimé;comprimé;Substances actives.;pour un comprimé;03225;1;15 mg pour un comprimé;doxylamine (hydrogénosuccinate de)
60019350;1;gel;gel;Substances actives.;pour 100 g de gel;04587;1;7 g (Teinture mère) pour 100 g de gel;arnica montana pour préparations homéopathiques
60019813;1;gélule;gélule;Substances actives.;pour une gélule;64391;1;2,5 mg pour une gélule;lénalidomide
60019927;1;comprimé;comprimé;Substances actives.;pour un comprimé;09231;1;100 mg pour un comprimé;amisulpride
60021127;1;comprimé;comprimé;Substances actives.;pour un comprimé;00977;1;75,00 mg pour un comprimé;spironolactone
60021216;1;comprimé;comprimé;Substances actives.;pour un comprimé;01743;1;75 mg pour un comprimé;dipyridamole
60021312;1;mousse;mousse;Substances actives.;pour 1 g de mousse;00614;1;500 microgrammes pour 1 g de mousse;clobétasol (propionate de)
60021771;1;solution;solution;Substances actives.;pour 1 ml de solution injectable;05558;1;30 mg pour 1 ml de solution injectable;tétradécyl sulfate de sodium
60021928;1;gélule;gélule;Substances actives.;pour une gélule;50540;1;8 mg pour une gélule;silodosine
60022275;1;dispositif;dispositif;Substances actives.;pour un dispositif;04458;1;15,70 mg pour un dispositif;trinitrine
60023270;1;collyre;collyre;Fractions thérapeutiques.;pour 1 mL de collyre;51528;1;20 mg;dorzolamide
60023270;1;collyre;collyre;Substances actives.;pour 1 mL de collyre;83176;1;22,26 mg pour 1 mL de collyre;dorzolamide (chlorhydrate de)
60025054;1;comprimé;comprimé;Substances actives.;pour un comprimé;82922;1;1,50 mg pour un comprimé;riociguat
60025314;1;poudre;poudre;Substances actives.;pour un sachet;79576;1;8,5 g pour un sachet;macrogol 3350
60025403;1;comprimé;comprimé;Substances actives.;pour un comprimé;02202;1;1000 mg pour un comprimé;paracétamol
60026957;1;comprimé;comprimé;Substances actives.;pour un comprimé;01976;1;5 mg pour un comprimé;glibenclamide
60027685;1;gélule;gélule;Substances actives.;pour une gélule;04000;1;100 mg pour une gélule;pentosane polysulfate sodique
60028050;1;gélule;gélule;Substances actives.;pour une gélule;16849;1;400 mg pour une gélule;gabapentine
60028495;1;comprimé;comprimé jour;Substances actives.;pour un comprimé;02278;7;30 mg pour un comprimé;pseudoéphédrine (chlorhydrate de)
60028495;1;comprimé;comprimé jour;Substances actives.;pour un comprimé;02202;5;500 mg pour un comprimé;paracétamol
60028495;2;comprimé;comprimé nuit;Substances actives.;pour un comprimé;03225;9;7,5 mg pour un comprimé;doxylamine (hydrogénosuccinate de)
60028495;2;comprimé;comprimé nuit;Substances actives.;pour un comprimé;02202;8;500 mg pour un comprimé;paracétamol
60028552;1;solution;solution;Substances actives.;pour une ampoule;06492;1;25 mg pour une ampoule;bésilate d'atracurium
60029394;1;comprimé;comprimé;Substances actives.;pour un comprimé;98159;1;10 mg pour un comprrimé;tadalafil
60030699;1;poudre;poudre;Substances actives.;pour un flacon;00376;1;100 000 U.I. pour un flacon;urokinase (MAMMIFERE/HUMAIN/URINE)
60030980;1;mélange de plantes;mélange de plantes;Substances actives.;pour un sachet-dose de 1,8 g;00213;1;0,72 g pour un sachet-dose de 1,8 g;séné (feuille de)
60031071;1;comprimé;comprimé;Substances actives.;pour un comprimé;96835;1;10 mg pour un comprimé;aripiprazole
60033510;1;poudre;poudre;Substances actives.;pour un flacon;10157;1;125 mg pour un flacon;vancomycine (chlorhydrate de)
60034085;1;solution;solution;Fractions thérapeutiques.;pour 2 ml de solution;02667;1;10 mg pour 2 ml de solution;midazolam
60034085;1;solution;solution;Substances actives.;pour 2 ml de solution;51868;1;;midazolam (chlorhydrate de)
60034644;1;suspension;suspension;Substances actives.;pour 1 ml de suspension injectable I.M.;01836;2;1,00 mg pour 1 ml de suspension injectable I.M.;tétracosactide
60034644;1;suspension;suspension;Substances actives.;pour 1 ml de suspension injectable I.M.;00928;3;2,50 mg pour 1 ml de suspension injectable I.M.;zinc (chlorure de)
60034936;1;gel;gel;Substances actives.;pour un sachet-dose 6 g;22692;1;120 mg pour un sachet-dose 6 g;kétoconazole
60035461;1;pastille;pastille;Substances actives.;pour une pastille;24245;1;20 mg pour une pastille;ambroxol (chlorhydrate d')
60035714;1;solution;solution;Substances actives.;pour une seringue préremplie;16648;1;50 mg pour une seringue préremplie;golimumab ((MAMMIFERE/SOURIS/CELLULES Sp2/0))
60035924;1;solution;solution;Substances actives.;pour 100 ml de solution buvable;02543;1;0,033 g pour 100 ml de solution buvable;oxomémazine
60037327;1;solution;solution;Substances actives.;pour 1 ml de solution injectable;03437;1;1 000 Unités Antihéparine pour 1 ml de solution injectable;protamine (sulfate de)
60037380;1;comprimé;comprimé;Fractions thérapeutiques.;pour un comprimé;39727;2;5 mg pour un comprimé;amlodipine
60037380;1;comprimé;comprimé;Substances actives.;pour un comprimé;15734;1;160 mg pour un comprimé;valsartan
60037380;1;comprimé;comprimé;Substances actives.;pour un comprimé;93748;2;;amlodipine (bésilate d')
60038468;1;comprimé;comprimé;Substances actives.;pour un comprimé;37011;1;200 mg pour un comprimé;lamotrigine
60040145;1;pommade;pommade;Substances actives.;pour 100 g de pommade;03777;2;1,00 g pour 100 g de pommade;cholestéryle (benzoate de)
60040145;1;pommade;pommade;Substances actives.;pour 100 g de pommade;00929;1;5,00 g pour 100 g de pommade;zinc (oxyde de)
60040469;1;collyre;collyre;Substances actives.;pour un récipient unidose;01379;1;0,1 mg pour un récipient unidose;bromure de céthexonium
60040572;1;solution;solution;Substances actives.;pour 1 mL de solution;51742;1;200 mg pour 1 mL de solution;albumine humaine ((MAMMIFERE/HUMAIN/PLASMA))
60041560;1;comprimé;comprimé;Substances actives.;pour un comprimé;86571;1;150 mg pour un comprimé;tramadol (chlorhydrate de)
60043038;1;gaz;gaz;Substances actives.;pour une bouteille;75712;1;50 % mole/mole pour une bouteille;azote (protoxyde d')
60043038;1;gaz;gaz;Substances actives.;pour une bouteille;44570;2;50 % mole/mole pour une bouteille;oxygène
60043077;1;comprimé;comprimé;Substances actives.;pour un comprimé;62004;1;300 mg pour un comprimé;oxcarbazépine
60043248;1;poudre;poudre;Substances actives.;pour une dose de 0,5 ml de vaccin reconstitué;85085;1;pas moins de 3,0 log  DICC50 pour une dose de 0,5 ml de vaccin reconstitué;virus de la rougeole, souche Schwartz, vivant, atténué ((OISEAU/POULET/CELLULES EMBRYONNAIRES))
60044492;1;comprimé;comprimé;Substances actives.;pour un comprimé;33803;1;5 mg pour un comprimé;donépézil (chlorhydrate de)
60044784;1;comprimé;comprimé;Substances actives.;pour un comprimé;95609;1;250 mg pour un comprimé;lévétiracétam
60044841;1;gélule;gélule;Substances actives.;pour une gélule;00981;1;250 mg pour une gélule;acide ursodéoxycholique
60044987;1;comprimé;comprimé;Substances actives.;pour un comprimé;91877;1;500 mg pour un comprimé;capécitabine
60045217;1;solution;solution;Substances actives.;pour 1 ml de solution à diluer pour perfusion;85821;6;2,5 mg pour 1 ml de solution à diluer pour perfusion;lévosimendan
60046529;1;sirop;sirop;Substances actives.;pour 100 ml de sirop;92419;1;131 mg pour 100 ml de sirop;pholcodine monohydratée
60047143;1;lyophilisat;lyophilisat;Substances actives.;pour un flacon;00731;1;0,015 g pour un flacon;almitrine (mésilate d')
60047182;1;comprimé;comprimé;Substances actives.;pour un comprimé;05407;1;54 mg pour un comprimé;méthylphénidate (chlorhydrate de)
60047225;1;solution;solution;Substances actives.;pour un flacon de 15 mL;50681;1;1 800 mg pour un flacon de 15 mL;daratumumab ((MAMMIFERE/HAMSTER/CELLULES CHO))
60047271;1;collyre;collyre;Substances actives.;pour 1 ml;33474;1;50 microgrammes pour 1 ml;latanoprost
60048672;1;comprimé;comprimé;Substances actives.;pour un comprimé;01257;1;24 mg pour un comprimé;bétahistine (dichlorhydrate de)
60049895;1;comprimé;comprimé;Substances actives.;pour un comprimé;11532;1;10 mg pour un comprimé;ramipril
60051234;1;capsule;capsule;Substances actives.;pour une capsule;36065;1;0,5 mg pour une capsule;dutastéride
60051316;1;comprimé;comprimé;Substances actives.;pour un comprimé;95609;1;250 mg pour un comprimé;lévétiracétam
60052254;1;granulés;granulés;Substances actives.;pour 1 g de granulés;03048;1;940 mg pour 1 g de granulés;sodium (phénylbutyrate de)
60053064;1;comprimé;comprimé;Fractions thérapeutiques.;pour un comprimé;51332;1;0,029 mg;cobalt
60053064;1;comprimé;comprimé;Substances actives.;pour un comprimé;04813;1;0,240 mg pour un comprimé;cobalt (gluconate de)
60053694;1;comprimé;comprimé;Fractions thérapeutiques.;pour un comprimé;52431;1;6,79 mg;périndopril
60053694;1;comprimé;comprimé;Substances actives.;pour un comprimé;69916;1;10 mg pour un comprimé;périndopril arginine
60054312;1;gélule;gélule;Substances actives.;pour une gélule;50540;1;4 mg pour une gélule;silodosine
60054376;1;poudre;poudre;Substances actives.;pour un flacon;00141;1;1000 mg pour un flacon;dacarbazine
60056815;1;comprimé;comprimé;Substances actives.;pour un comprimé;00769;1;600 mg pour un comprimé;diosmine
60058008;1;comprimé;comprimé;Fractions thérapeutiques.;pour un comprimé;39727;1;10 mg pour un comprimé;amlodipine
60058008;1;comprimé;comprimé;Substances actives.;pour un comprimé;15734;2;160 mg pour un comprimé;valsartan
60058008;1;comprimé;comprimé;Substances actives.;pour un comprimé;93748;1;;amlodipine (bésilate d')
60058378;1;comprimé;comprimé;Substances actives.;pour un comprimé;00977;1;75 mg pour un comprimé;spironolactone
60058517;1;comprimé;comprimé;Fractions thérapeutiques.;pour un comprimé;83209;1;10 mg pour un comprimé;tiagabine anhydre
60058517;1;comprimé;comprimé;Substances actives.;pour un comprimé;40435;1;;tiagabine (chlorhydrate de) monohydraté
60058620;1;comprimé;comprimé;Substances actives.;pour un comprimé;35487;1;150 mg pour un comprimé;olaparib
60059081;1;comprimé;comprimé;Substances actives.;pour un comprimé;05407;1;10 mg pour un comprimé;méthylphénidate (chlorhydrate de)
60061171;1;gélule;gélule;Substances actives.;pour une gélule;02742;1;226 mg pour une gélule;lymécycline
60061449;1;gaz;gaz;Substances actives.; ;44570;1;q.s. (sous une pression de 10 à 12 bar, à -150 °C);oxygène
60061602;1;gélule;gélule;Substances actives.;pour une gélule;39422;1;200 mg pour une gélule;prégabaline
60061709;1;comprimé;comprimé;Substances actives.;pour un comprimé;73242;1;10 mg pour un comprimé;ézétimibe
60061709;1;comprimé;comprimé;Substances actives.;pour un comprimé;10171;2;20 mg pour un comprimé;simvastatine
60064527;1;comprimé;comprimé;Substances actives.;pour un comprimé;33609;1;500 mg dont 450 mg de diosmine et 50 mg de flavonoïdes exprimés en hespéridine pour un comprimé;flavonoïdes
60064872;1;gélule;gélule;Fractions thérapeutiques.;pour une gélule;32833;1;8 mg pour une gélule;galantamine
60064872;1;gélule;gélule;Substances actives.;pour une gélule;28886;1;;galantamine (bromhydrate de)
60065198;1;comprimé;comprimé;Substances actives.;pour un comprimé;07958;1;200 mg pour un comprimé;céliprolol (chlorhydrate de)
60065294;1;comprimé;comprimé;Fractions thérapeutiques.;pour un comprimé;38524;1;20 mg;pantoprazole
60065294;1;comprimé;comprimé;Substances actives.;pour un comprimé;67373;1;22,56 mg pour un comprimé;pantoprazole sodique sesquihydraté
60067562;1;solution;solution;Fractions thérapeutiques.;pour 100 ml;15401;2;0,02 g;ketotifène
60067562;1;solution;solution;Substances actives.;pour 100 ml;00952;2;0,0276 g pour 100 ml;kétotifène (hydrogénofumarate de)
60068002;1;comprimé;comprimé;Fractions thérapeutiques.;pour un comprimé;89971;1;10 mg pour un comprimé;escitalopram
60068002;1;comprimé;comprimé;Substances actives.;pour un comprimé;78924;1;;escitalopram (oxalate d')
60068034;1;gélule;gélule;Fractions thérapeutiques.;pour une gélule;46403;1;21,77 mg;milnacipran
60068034;1;gélule;gélule;Substances actives.;pour une gélule;75210;1;25 mg pour une gélule;milnacipran (chlorhydrate de)
60068251;1;comprimé;comprimé;Fractions thérapeutiques.;pour un comprimé;52431;1;6,79 mg pour un comprimé;périndopril
60068251;1;comprimé;comprimé;Fractions thérapeutiques.;pour un comprimé;39727;2;10 mg pour un comprimé;amlodipine
60068251;1;comprimé;comprimé;Substances actives.;pour un comprimé;69916;1;10 mg pour un comprimé;périndopril arginine
60068251;1;comprimé;comprimé;Substances actives.;pour un comprimé;93748;2;13,87 mg pour un comprimé;amlodipine (bésilate d')
60068333;1;comprimé;comprimé;Fractions thérapeutiques.;pour un comprimé;52431;1;3,395 mg pour un comprimé;périndopril
60068333;1;comprimé;comprimé;Fractions thérapeutiques.;pour un comprimé;39727;2;5 mg pour un comprimé;amlodipine
60068333;1;comprimé;comprimé;Substances actives.;pour un comprimé;69916;1;5 mg pour un comprimé;périndopril arginine
60068333;1;comprimé;comprimé;Substances actives.;pour un comprimé;93748;2;6,935 mg pour un comprimé;amlodipine (bésilate d')
60069307;1;gélule;gélule;Substances actives.;pour une gélule;70638;1;20 mg pour une gélule;nitisinone
60069339;1;granulés;granulés;Fractions thérapeutiques.;pour un sachet-dose;80102;1;4 mg pour un sachet-dose;montélukast
60069339;1;granulés;granulés;Substances actives.;pour un sachet-dose;86162;1;;montélukast sodique
60070359;1;capsule;capsule;Substances actives.;pour un capsule;00706;1;500 mg pour une capsule;clotrimazole
60070665;1;solution;solution;Substances actives.;pour une seringue préremplie;29076;1;200 microgrammes pour une seringue préremplie;méthoxy polyéthylène glycol-époétine bêta ((MAMMIFERE/HAMSTER/CHO))
60071190;1;comprimé;comprimé;Substances actives.;pour un comprimé;10171;1;10,0 mg pour un comprimé;simvastatine
60071233;1;comprimé;comprimé;Fractions thérapeutiques.;pour un comprimé;28847;1;600 mg pour un comprimé;darunavir
60071233;1;comprimé;comprimé;Substances actives.;pour un comprimé;34781;1;;darunavir propylèneglycol
60071379;1;comprimé;comprimé;Fractions thérapeutiques.;pour un comprimé;01786;1;2,00 mg;estradiol
60071379;1;comprimé;comprimé;Substances actives.;pour un comprimé;71064;1;2,06 mg pour un comprimé;estradiol hémihydraté
60071952;1;comprimé;comprimé;Fractions thérapeutiques.;pour un comprimé;38524;1;40,00 mg pour un comprimé;pantoprazole
60071952;1;comprimé;comprimé;Substances actives.;pour un comprimé;67373;1;;pantoprazole sodique sesquihydraté
60072506;1;solution;solution;Fractions thérapeutiques.;pour un flacon de 12,5 ml;50405;1;25 mg;mitoxantrone
60072506;1;solution;solution;Substances actives.;pour un flacon de 12,5 ml;18851;1;29,10 mg pour un flacon de 12,5 ml;mitoxantrone (chlorhydrate de)
60073451;1;comprimé;comprimé;Substances actives.;pour un comprimé;02423;1;30,00 mg pour un comprimé;naftazone
60073608;1;comprimé;comprimé;Substances actives.;pour un comprimé;37849;1;5 mg pour un comprimé;lévocétirizine (dichlorhydrate de)
60073907;1;comprimé;comprimé;Fractions thérapeutiques.;pour un comprimé;70320;1;9,12 mg;donépézil
60073907;1;comprimé;comprimé;Substances actives.;pour un comprimé;33803;1;10 mg pour un comprimé;donépézil (chlorhydrate de)
60073914;1;comprimé;comprimé;Substances actives.;pour un comprimé;02092;1;400 mg pour un comprimé;ibuprofène
60073960;1;ovule;ovule;Substances actives.;pour une ovule;24140;1;6,5 mg pour une ovule;prastérone
60074432;1;gélule;gélule;Substances actives.;pour une gélule;24519;1;160 mg pour une gélule;palmier de Floride (extrait de)
60074795;1;solution;solution;Substances actives.;pour 1 ml de solution;15614;1;45 - 70 mg pour 1 ml de solution;protéines plasmatiques humaines ((MAMMIFERE/HUMAIN/PLASMA))
60074934;1;solution;solution;Substances actives.;pour une ampoule de 10 ml;01802;1;1000 mg pour une ampoule de 10 ml;éthambutol (chlorhydrate d')
60075064;1;pâte;pâte;Substances actives.;pour 100 g de pâte pour application cutanée;00663;3;0,20 g pour 100 g de pâte pour application cutanée;titane (dioxyde de)
60075064;1;pâte;pâte;Substances actives.;pour 100 g de pâte pour application cutanée;00930;2;7,70 g  pour 100 g de pâte pour application cutanée;zinc (peroxyde de)
60075064;1;pâte;pâte;Substances actives.;pour 100 g de pâte pour application cutanée;00929;1;28,30 g pour 100 g de pâte pour application cutanée;zinc (oxyde de)
60075192;1;gélule;gélule;Fractions thérapeutiques.;pour une gélule;26322;1;37,5 mg pour une gélule;venlafaxine
60075192;1;gélule;gélule;Substances actives.;pour une gélule;20256;1;;venlafaxine (chlorhydrate de)
60075370;1;comprimé;comprimé;Fractions thérapeutiques.;pour un comprimé;17477;1;600 microgrammes pour un comprimé;fentanyl
60075370;1;comprimé;comprimé;Substances actives.;pour un comprimé;01901;1;;fentanyl (citrate de)
60075452;1;gélule;gélule;Substances actives.;pour une gélule;39422;1;100 mg pour une gélule;prégabaline
60076860;1;gélule;gélule;Substances actives.;pour une gélule;64391;1;20 mg pour une gélule;lénalidomide
60077574;1;comprimé;comprimé;Substances actives.;pour un comprimé;07436;1;2,5 mg pour un comprimé;bisoprolol (fumarate de)
60078078;1;comprimé;comprimé;Substances actives.;pour un comprimé;00196;1;1,50 mg pour un comprimé;lévonorgestrel
60078765;1;comprimé;comprimé;Fractions thérapeutiques.;pour un comprimé;59691;1;400 mg pour un comprimé;quétiapine
60078765;1;comprimé;comprimé;Substances actives.;pour un comprimé;38607;1;;quétiapine (fumarate de)
60079721;1;gélule;gélule;Substances actives.;pour une gélule;24519;1;160 mg pour une gélule;palmier de Floride (extrait de)
60080218;1;suppositoire;suppositoire;Substances actives.;pour un suppositoire;02640;1;500 mg pour un suppositoire;mésalazine
60080232;1;solution;solution;Fractions thérapeutiques.;pour 1 ml de solution injectable;34855;3;20 mg;fer
60080232;1;solution;solution;Substances actives.;pour 1 ml de solution injectable;21962;3;540 mg pour 1 ml de solution injectable;ferrique (hydroxyde) - saccharose (complexe d')
60082023;1;comprimé;comprimé;Substances actives.;pour un comprimé;03193;2;4 mg pour un comprimé;chlorphénamine (maléate de)
60082023;1;comprimé;comprimé;Substances actives.;pour un comprimé;02202;1;500 mg pour un comprimé;paracétamol
60082062;1;solution;solution;Fractions thérapeutiques.;pour une seringue préremplie de 1 ml;51856;1;18 mg;glatiramère
60082062;1;solution;solution;Substances actives.;pour une seringue préremplie de 1 ml;17563;1;20 mg pour une seringue préremplie de 1 ml;glatiramère (acétate de)
60082450;1;solution;solution;Substances actives.;pour un stylo injecteur prérempli de 0,25 mL de solution;02345;1;12,5 mg pour un stylo injecteur prérempli de 0,25 mL de solution;méthotrexate
60083132;1;comprimé;comprimé;Substances actives.;pour un comprimé;17723;1;10 mg pour un comprimé;olanzapine
60084049;1;poudre;poudre;Fractions thérapeutiques.;pour un flacon;99868;1;1 mg pour un flacon;glucagon humain recombinant ((LEVURES/SACCHAROMYCES CEREVISIAE))
60084049;1;poudre;poudre;Substances actives.;pour un flacon;69518;1;;glucagon (chlorhydrate de) ((LEVURES/SACCHAROMYCES CEREVISIAE))
60085553;1;comprimé;comprimé;Substances actives.;pour un comprimé;95484;1;10 mg pour un comprimé;ambrisentan
60088834;1;solution;solution;Substances actives.;pour un récipient unidose de 1 mL;00893;4;250 mg (4 DH) pour un récipient unidose de 1 mL;plantago major pour préparations homéopathiques
60088834;1;solution;solution;Substances actives.;pour un récipient unidose de 1 mL;00332;3;250 mg (6 DH) pour un récipient unidose de 1 mL;podophyllum peltatum pour préparations homéopathiques
60088834;1;solution;solution;Substances actives.;pour un récipient unidose de 1 mL;96544;1;250 mg (8 DH) pour un récipient unidose de 1 mL;chamomilla vulgaris pour préparations homéopathiques
60088834;1;solution;solution;Substances actives.;pour un récipient unidose de 1 mL;96544;2;250 mg (20 DH) pour un récipient unidose de 1 mL;chamomilla vulgaris pour préparations homéopathiques
60089217;1;solution;solution;Substances actives.;pour 1 ml de solution;47903;1;25 mg pour 1 ml de solution;aflibercept ((MAMMIFERE/HAMSTER/CELLULES CHO))
60091086;1;gélule;gélule;Substances actives.;pour une gélule;02202;1;500 mg pour une gélule;paracétamol
60092590;1;comprimé;comprimé;Fractions thérapeutiques.;pour un comprimé;04090;3;25 mg;carbidopa anhydre
60092590;1;comprimé;comprimé;Substances actives.;pour un comprimé;11448;3;27 mg pour un comprimé;carbidopa
60092590;1;comprimé;comprimé;Substances actives.;pour un comprimé;03885;2;250 mg pour un comprimé;lévodopa
60092811;1;poudre;poudre;Fractions thérapeutiques.;pour une unité de prise;06197;1;11,25 mg;triptoréline
60092811;1;poudre;poudre;Substances actives.;pour une unité de prise;48674;1;15 mg pour une unité de prise;triptoréline (pamoate de)
60093639;1;comprimé;comprimé;Fractions thérapeutiques.;pour un comprimé;62155;1;8 mg;ropinirole
60093639;1;comprimé;comprimé;Substances actives.;pour un comprimé;35876;1;9,121 mg pour un comprimé;ropinirole (chlorhydrate de)
60094125;1;gélule;gélule;Substances actives.;pour une gélule;70833;1;0,5 mg pour une gélule;trandolapril
60095056;1;pâte;pâte;Substances actives.;pour 100 g de pâte;02045;1;0,100 g pour 100 g de pâte;hexétidine
60095095;1;capsule;capsule;Fractions thérapeutiques.;pour une capsule;76119;1;1,86 mg;lopéramide
60095095;1;capsule;capsule;Substances actives.;pour une capsule;00001;1;2 mg pour une capsule;lopéramide (chlorhydrate de)
60095526;1;comprimé;comprimé;Substances actives.;pour un comprimé;39196;1;10,0 mg pour un comprimé;fosinopril sodique
60095729;1;comprimé;comprimé;Substances actives.;pour un comprimé;38315;1;3000 U.CEIP pour un comprimé;alfa-amylase ((BACTERIE/BACILLUS SUBTILIS))
60097203;1;comprimé;comprimé;Substances actives.;pour un comprimé;73208;1;10 mg pour un comprimé;pravastatine sodique
60097833;1;gel;gel;Substances actives.;pour 100 g;00614;1;0,05 g pour 100 g;clobétasol (propionate de)
60099738;1;comprimé;comprimé;Fractions thérapeutiques.;pour un comprimé;93286;2;62,5 mg pour un comprimé;acide clavulanique
60099738;1;comprimé;comprimé;Fractions thérapeutiques.;pour un comprimé;05248;1;500 mg pour un comprimé;amoxicilline
60099738;1;comprimé;comprimé;Substances actives.;pour un comprimé;28165;1;;amoxicilline trihydratée
60099738;1;comprimé;comprimé;Substances actives.;pour un comprimé;29442;2;;potassium (clavulanate de)
60100877;1;collyre;collyre;Fractions thérapeutiques.;pour 100 ml;36349;2;0,50 g;bétaxolol base
60100877;1;collyre;collyre;Substances actives.;pour 100 ml;22466;2;0,56 g pour 100 ml;bétaxolol (chlorhydrate de)
60101406;1;comprimé;comprimé;Fractions thérapeutiques.;pour un comprimé;05248;1;1000 mg pour un comprimé;amoxicilline
