Code_CIS;Num_Element;Forme_Phar_Element;Nom_Element;Nom_Nature;Reference_dosage;Code_Substance;numOrdreEdit;Dosage
69899592;1;comprimé;comprimé;Fractions thérapeutiques.;pour un comprimé;04442;1;780 mg
69895658;1;gel;gel;Fractions thérapeutiques.;pour 100 g de gel;00037;1;1 g
69894054;1;comprimé;comprimé;Fractions thérapeutiques.;pour un comprimé;46704;1;4,5 mg
69893582;1;comprimé;comprimé;Fractions thérapeutiques.;pour un comprimé;44214;1;100 mg
69892263;1;comprimé;comprimé;Fractions thérapeutiques.;pour un comprimé;62155;1;0,5 mg
69886424;1;gélule;gélule;Fractions thérapeutiques.;pour une gélule;48296;2;300 mg pour une gélule
69886260;1;poudre;poudre;Fractions thérapeutiques.;pour un flacon;73366;1;750 mg
69880873;1;comprimé;comprimé;Fractions thérapeutiques.;pour un comprimé;39727;3;10 mg
69880873;1;comprimé;comprimé;Fractions thérapeutiques.;pour un comprimé;52431;1;3,395 mg
69879561;1;comprimé;comprimé;Fractions thérapeutiques.;pour un comprimé;04442;1;390 mg
69877717;1;comprimé;comprimé;Fractions thérapeutiques.;pour un comprimé;63130;1;200,000 mg pour un comprimé
69873754;1;comprimé;comprimé;Fractions thérapeutiques.;pour un comprimé;28847;1;400 mg pour un comprimé
69871575;1;comprimé;comprimé;Fractions thérapeutiques.;pour un comprimé;39704;1;2,50 mg
69870854;1;solution;solution;Fractions thérapeutiques.;pour une ampoule de 2 ml;44997;1;19,5 mg
69869122;1;poudre;poudre;Fractions thérapeutiques.;pour un flacon;44322;1;20 mg pour un flacon
69864424;1;comprimé;comprimé;Fractions thérapeutiques.;pour un comprimé;02169;1;20 mg pour un comprimé
69863646;1;comprimé;comprimé;Fractions thérapeutiques.;pour un comprimé;80102;1;10 mg
69862722;1;solution;solution;Fractions thérapeutiques.;pour 1 ml de solution;73952;1;17,33 mg
69860739;1;comprimé;comprimé;Fractions thérapeutiques.;pour un comprimé;46704;1;13,5 mg
69860739;1;comprimé;comprimé;Fractions thérapeutiques.;pour un comprimé;65807;2;6,75 mg
69858631;1;comprimé;comprimé;Fractions thérapeutiques.;pour un comprimé;61835;1;200 mg pour un comprimé
69858332;1;solution;solution;Fractions thérapeutiques.;pour 1 mL de solution;02438;1;50 microgrammes
69857586;1;poudre;poudre;Fractions thérapeutiques.;pour une cuillère-mesure de 5 ml de suspension reconstituée;05248;1;500,00 mg pour une cuillère-mesure de 5 ml de suspension reconstituée
69857248;1;comprimé;comprimé;Fractions thérapeutiques.;pour un comprimé;96013;6;5 mg
69855628;1;comprimé;comprimé;Fractions thérapeutiques.;pour un comprimé;04090;2;12,5 mg pour un comprimé
69855489;1;comprimé;comprimé;Fractions thérapeutiques.;pour un comprimé;31844;1;600 mg
69854234;1;solution;solution;Fractions thérapeutiques.;pour 1000 ml de solution prête à l'emploi;00529;4;22,73 g
69854234;1;solution;solution;Fractions thérapeutiques.;pour 1000 ml de solution prête à l'emploi;91695;5;3,925 g
69851117;1;gélule;gélule;Fractions thérapeutiques.;pour une gélule;81723;1;5 mg
69850613;1;gélule;gélule;Fractions thérapeutiques.;pour une gélule;37973;8;1,5 mg
69849244;1;solution;solution;Fractions thérapeutiques.;pour une seringue préremplie de 1 ml;51856;1;36 mg
69848594;1;comprimé;comprimé;Fractions thérapeutiques.;pour un comprimé;93951;1;3,1 mg
69847994;1;poudre;poudre;Fractions thérapeutiques.;pour un flacon de poudre;06197;1;11,25 mg pour un flacon de poudre
69841906;1;comprimé;comprimé;Fractions thérapeutiques.;pour un comprimé;29337;1;204 mg
69840149;1;comprimé;comprimé;Fractions thérapeutiques.;pour un comprimé;46704;1;13,5 mg
69836147;1;gélule;gélule;Fractions thérapeutiques.;pour une gélule;17407;1;40 mg pour un comprimé
69834687;1;gélule;gélule;Fractions thérapeutiques.;pour une gélule;85211;1;0,5 mg pour une gélule
69831050;1;comprimé;comprimé;Fractions thérapeutiques.;pour un comprimé;81461;1;30 mg pour un comprimé
69828759;1;solution;solution;Fractions thérapeutiques.;pour 1 ml;02709;1;670 mg pour 1 ml
69828061;1;solution;solution;Fractions thérapeutiques.;pour 100 ml de solution;00529;4;10 g
69825930;1;comprimé;comprimé;Fractions thérapeutiques.;pour un comprimé;37314;1;75 mg  équivalent à 69,6 mg d'acide risédronique pour un comprimé
69820901;1;poudre;poudre;Fractions thérapeutiques.;pour un flacon;01785;1;1000 mg pour un flacon
69819023;1;solution;solution;Fractions thérapeutiques.;pour 1 ml de solution injectable;34909;1;5 microgrammes pour 1 ml de solution injectable
69817200;1;collyre;collyre;Fractions thérapeutiques.;pour 1 ml de solution;51528;1;20 mg
69816582;1;comprimé;comprimé;Fractions thérapeutiques.;pour un comprimé;04442;1;780 mg
69814072;1;comprimé;comprimé;Fractions thérapeutiques.;pour un comprimé;01525;2;440 UI
69814072;1;comprimé;comprimé;Fractions thérapeutiques.;pour un comprimé;72723;1;500,00 mg
69806588;1;gélule;gélule;Fractions thérapeutiques.;pour une gélule;19809;1;20 mg
69806588;1;gélule;gélule;Fractions thérapeutiques.;pour une gélule;52431;7;6,79 mg
69801139;1;comprimé;comprimé;Fractions thérapeutiques.;pour un comprimé;96035;1;250 mg
69800927;1;solution;solution;Fractions thérapeutiques.;pour une seringue préremplie de 3 mL;23186;1;30 mg pour une seringue préremplie de 3 mL
69798127;1;solution;solution;Fractions thérapeutiques.;pour 100 ml de solution pour bain de bouche;03778;1;0,1200 g
69794641;1;poudre;poudre;Fractions thérapeutiques.;pour un flacon;98525;1;1 mg pour un flacon
69790109;1;comprimé;comprimé;Fractions thérapeutiques.;pour un comprimé;38524;1;20 mg
69786534;1;comprimé;comprimé;Fractions thérapeutiques.;pour un comprimé;39727;1;5 mg pour un comprimé
69785998;1;comprimé;comprimé;Fractions thérapeutiques.;pour un comprimé;72087;1;10 mg pour un comprimé
69784330;1;poudre;poudre;Fractions thérapeutiques.;pour un flacon;70453;1;120 mg pour un flacon
69784280;1;comprimé;comprimé;Fractions thérapeutiques.;pour un comprimé;35532;1;70,000 mg
69782233;1;lyophilisat;lyophilisat;Fractions thérapeutiques.;pour un lyophilisat;54459;1;8 mg pour un lyophilisat
69782087;1;solution;solution;Fractions thérapeutiques.;pour 1 mL de solution;98145;1;10 mg pour 1 mL de solution
69780531;1;comprimé;comprimé;Fractions thérapeutiques.;pour un comprimé;19809;1;80 mg pour un comprimé
69779664;1;comprimé;comprimé;Fractions thérapeutiques.;pour un comprimé;19809;1;20 mg
69779664;1;comprimé;comprimé;Fractions thérapeutiques.;pour un comprimé;39727;2;5 mg
69779664;1;comprimé;comprimé;Fractions thérapeutiques.;pour un comprimé;52431;3;3,40 mg
69778256;1;gélule;gélule;Fractions thérapeutiques.;pour une gélule;00195;1;500 mg pour une gélule
69777040;1;comprimé;comprimé;Fractions thérapeutiques.;pour un comprimé;87533;1;20 mg
69776892;1;poudre;poudre;Fractions thérapeutiques.;pour 1 ml de suspension reconstituée;05248;1;100 mg pour 1 ml de suspension reconstituée
69776892;1;poudre;poudre;Fractions thérapeutiques.;pour 1 ml de suspension reconstituée;93286;2;12,50 mg pour 1 ml de suspension reconstituée
69774343;1;lyophilisat;lyophilisat;Fractions thérapeutiques.;pour un flacon;02361;1;120,00 mg
69772221;1;solution;solution;Fractions thérapeutiques.;pour 1 mL de solution;56635;1;20,0 mg pour 1 mL de solution
69771920;1;comprimé;comprimé;Fractions thérapeutiques.;pour un comprimé;57088;1;20 mg pour un comprimé
69770448;1;comprimé;comprimé;Fractions thérapeutiques.;pour un comprimé;19809;1;10 mg
69770028;1;poudre;poudre;Fractions thérapeutiques.;pour un sachet de 4,2 g;72723;1;0,5 g
69766567;1;comprimé;comprimé;Fractions thérapeutiques.;pour un comprimé;81461;1;30 mg pour un comprimé
69764032;1;comprimé;comprimé;Fractions thérapeutiques.;pour un comprimé;02236;1;25,000 mg
69761926;1;comprimé;comprimé;Fractions thérapeutiques.;pour un comprimé;32308;1;20 mg pour un comprimé
69756861;1;poudre;poudre;Fractions thérapeutiques.;pour un flacon;98525;1;1 mg pour un flacon
69756142;1;vernis à ongles;vernis à ongles;Fractions thérapeutiques.;pour 100 ml;26590;1;5 g
69754337;1;solution;solution;Fractions thérapeutiques.;pour 1000 ml de solution prête à l'emploi;00529;4;22,73 g
69754337;1;solution;solution;Fractions thérapeutiques.;pour 1000 ml de solution prête à l'emploi;91695;5;3,925 g
69753527;1;solution;solution;Fractions thérapeutiques.;pour 1 ml de solution à diluer pour perfusion;38050;1;40 mg
69751818;1;suspension;suspension;Fractions thérapeutiques.;pour 10 ml de suspension buvable;02836;1;1 000 000 UI pour 10 ml de suspension buvable
69746358;1;gélule;gélule;Fractions thérapeutiques.;pour une gélule;46704;1;8,96 mg
69745669;1;crème;crème;Fractions thérapeutiques.;pour 100 g de crème;72481;1;0,88 g
69743305;1;poudre;poudre;Fractions thérapeutiques.;pour un flacon de poudre;85516;1;2 g
69742203;1;comprimé;comprimé;Fractions thérapeutiques.;pour un comprimé;89276;1;80 mg pour un comprimé
69742178;1;comprimé;comprimé;Fractions thérapeutiques.;pour un comprimé;48800;1;20 mg pour un comprimé
69741329;1;comprimé;comprimé;Fractions thérapeutiques.;pour un comprimé;56421;1;150 mg pour un comprimé
69740106;1;comprimé;comprimé;Fractions thérapeutiques.;pour un comprimé;54459;1;8 mg
69737836;1;comprimé;comprimé;Fractions thérapeutiques.;pour un comprimé;49632;1;300 mg
69735867;1;gélule;gélule;Fractions thérapeutiques.;pour une gélule;39727;1;5,00 mg pour une gélule
69734808;1;solution;solution;Fractions thérapeutiques.;pour 1000 ml;00529;5;15,000 g
69734808;1;solution;solution;Fractions thérapeutiques.;pour 1000 ml;45730;2;3,925 g
69734142;1;solution;solution;Fractions thérapeutiques.;pour 1 mL de solution;46704;1;45 mg
69733268;1;poudre;poudre;Fractions thérapeutiques.;pour 5 ml de suspension reconstituée;05248;1;125 mg pour 5 ml de suspension reconstituée
69733040;1;comprimé;comprimé;Fractions thérapeutiques.;pour un comprimé;00819;1;1,5 mg
69726341;1;comprimé;comprimé;Fractions thérapeutiques.;pour un comprimé;81461;1;60 mg
69725606;1;comprimé;comprimé;Fractions thérapeutiques.;pour un comprimé;64438;1;91,52 mg
69722250;1;comprimé;comprimé;Fractions thérapeutiques.;pour un comprimé;17477;1;800 microgrammes pour un comprimé
69720897;1;solution;solution;Fractions thérapeutiques.;pour un récipient unidose;80978;1;0,500 mg
69719585;1;comprimé;comprimé;Fractions thérapeutiques.;pour un comprimé;36874;1;450 mg pour un comprimé
69718946;1;solution;solution;Fractions thérapeutiques.;pour une ampoule de 10 ml;90673;1;25 mg
69718024;1;comprimé;comprimé;Fractions thérapeutiques.;pour un comprimé;38188;1;25,0 mg pour un comprimé
69717844;1;comprimé;comprimé;Fractions thérapeutiques.;pour un comprimé;46310;1;625 mg
69716824;1;comprimé;comprimé;Fractions thérapeutiques.;pour un comprimé;99915;9;27,80 mg
69716450;1;comprimé;comprimé;Fractions thérapeutiques.;pour un comprimé;47554;1;0,7 mg
69716272;1;granulés;granulés;Fractions thérapeutiques.;pour un sachet-dose de 5 g;72723;2;1,54 g
69715252;1;poudre;poudre;Fractions thérapeutiques.;pour 1 ml de suspension reconstituée;05248;1;100 mg pour 1 ml de suspension reconstituée
69715252;1;poudre;poudre;Fractions thérapeutiques.;pour 1 ml de suspension reconstituée;93286;2;12,5 mg pour 1 ml de suspension reconstituée
69713550;1;comprimé;comprimé;Fractions thérapeutiques.;pour un comprimé;00616;2;480 mg
69713550;1;comprimé;comprimé;Fractions thérapeutiques.;pour un comprimé;00620;11;13,20 mg
69713550;1;comprimé;comprimé;Fractions thérapeutiques.;pour un comprimé;00744;10;3,40 mg
69713550;1;comprimé;comprimé;Fractions thérapeutiques.;pour un comprimé;88597;9;3,40 mg
69710020;1;comprimé;comprimé;Fractions thérapeutiques.;pour un comprimé;67717;1;100 mg pour un comprimé
69701039;1;poudre;poudre;Fractions thérapeutiques.;pour un flacon;49595;1;2 g pour un flacon
69699257;1;comprimé;comprimé;Fractions thérapeutiques.;pour un comprimé;52431;1;1,669 mg
69696186;1;comprimé;comprimé;Fractions thérapeutiques.;pour un comprimé;59691;1;400 mg pour un comprimé
69690354;1;solution;solution;Fractions thérapeutiques.;pour 1 mL de solution;46704;1;9 mg
69687290;1;comprimé;comprimé;Fractions thérapeutiques.;pour un comprimé;66431;1;750 mg pour un comprimé
69686498;1;comprimé;comprimé;Fractions thérapeutiques.;pour un comprimé;72723;1;600 mg
69684369;1;capsule;capsule;Fractions thérapeutiques.;pour une capsule;40054;1;20 mg
69681469;1;comprimé;comprimé;Fractions thérapeutiques.;pour un comprimé;31750;2;6,14 mg pour un comprimé
69681070;1;poudre;poudre;Fractions thérapeutiques.;pour un flacon;23684;1;1000 mg
69678277;1;comprimé;comprimé;Fractions thérapeutiques.;pour un comprimé;65738;1;180 mg pour un comprimé
69673433;1;gélule;gélule;Fractions thérapeutiques.;pour une gélule;39727;2;5 mg pour une gélule
69668450;1;collyre;collyre;Fractions thérapeutiques.;pour 1 ml;47604;1;3000 UI pour 1 ml
69667989;1;solution;solution;Fractions thérapeutiques.;pour 1000 ml;00563;3;3,3 g
69666976;1;comprimé;comprimé;Fractions thérapeutiques.;pour un comprimé;02169;1;20 mg pour un comprimé
69663841;1;gélule;gélule;Fractions thérapeutiques.;pour une gélule;46403;1;43,55 mg
69663414;1;gélule;gélule;Fractions thérapeutiques.;pour une gélule;29404;1;2,3 mg
69661228;1;poudre;poudre;Fractions thérapeutiques.;pour 1 ml de suspension reconstituée;05248;1;100 mg pour 1 ml de suspension reconstituée
69661228;1;poudre;poudre;Fractions thérapeutiques.;pour 1 ml de suspension reconstituée;93286;2;12,5 mg pour 1 ml de suspension reconstituée
69661139;1;comprimé;comprimé;Fractions thérapeutiques.;pour un comprimé;72074;1;16,62 mg
69658214;1;comprimé;comprimé;Fractions thérapeutiques.;pour un comprimé;54459;1;2 mg pour un comprimé
69658214;1;comprimé;comprimé;Fractions thérapeutiques.;pour un comprimé;65807;2;0,5 mg pour un comprimé
69656722;1;poudre;poudre;Fractions thérapeutiques.;pour un flacon;00141;1;100 mg pour un flacon
69654116;1;comprimé;comprimé;Fractions thérapeutiques.;pour un comprimé;99915;1;69,6 mg
69651878;1;comprimé;comprimé;Fractions thérapeutiques.;pour un comprimé;73705;1;400,00 mg
69646945;1;solution;solution;Fractions thérapeutiques.;pour 100 ml de solution injectable;02236;1;2,500 g
69645626;1;comprimé;comprimé;Fractions thérapeutiques.;pour un comprimé;39704;1;2,5 mg
69644015;1;comprimé;comprimé;Fractions thérapeutiques.;pour un comprimé;76589;1;1 mg pour un comprimé
69643899;1;gel;gel;Fractions thérapeutiques.;pour 100 g;00889;1;10 g pour 100 g
69642982;1;suspension;suspension;Fractions thérapeutiques.;pour une seringue préremplie;19944;1;263 mg
69635009;1;pastille;pastille;Fractions thérapeutiques.;pour une pastille;03778;1;3,00 mg
69634836;1;comprimé;comprimé;Fractions thérapeutiques.;pour un comprimé;82384;1;250 mg pour un comprimé
69633093;1;comprimé;comprimé;Fractions thérapeutiques.;pour un comprimé;89971;1;5 mg pour un comprimé
69632034;1;comprimé;comprimé;Fractions thérapeutiques.;pour un comprimé;67717;1;20 mg pour un comprimé
69627877;1;comprimé;comprimé;Fractions thérapeutiques.;pour un comprimé;96035;1;500 mg pour un comprimé
69624258;1;comprimé;comprimé;Fractions thérapeutiques.;pour un comprimé;69862;1;250 mg
69622809;1;gélule;gélule;Fractions thérapeutiques.;pour une gélule;39727;1;10,00 mg pour une gélule
69620719;1;comprimé;comprimé;Fractions thérapeutiques.;pour un comprimé;72723;1;500, 00 mg
69620498;1;solution;solution;Fractions thérapeutiques.;pour 100 ml de solution pour perfusion;00529;1;50 g pour 100 ml de solution pour perfusion
69619243;1;comprimé;comprimé;Fractions thérapeutiques.;pour un comprimé;49632;1;300 mg pour un comprimé
69618515;1;lyophilisat;lyophilisat;Fractions thérapeutiques.;pour un flacon;02361;2;40,00 mg
69614207;1;comprimé;comprimé;Fractions thérapeutiques.;pour un comprimé;78915;1;0,1500 mg
69612658;1;comprimé;comprimé;Fractions thérapeutiques.;pour un comprimé;59691;1;400 mg pour un comprimé
69610664;1;comprimé;comprimé;Fractions thérapeutiques.;pour un comprimé;53422;1;600 mg pour un comprimé
69607764;1;poudre;poudre;Fractions thérapeutiques.;pour un flacon;82384;1;50 mg pour un flacon
69606865;1;comprimé;comprimé;Fractions thérapeutiques.;pour un comprimé;04090;3;10 mg
69602023;1;comprimé;comprimé;Fractions thérapeutiques.;pour un comprimé;81234;1;500 mg
69599253;1;comprimé;comprimé;Fractions thérapeutiques.;pour un comprimé;46704;1;53,8 mg
69596691;1;gélule;gélule;Fractions thérapeutiques.;pour une gélule;71030;1;50 mg pour une gélule
69591915;1;comprimé;comprimé;Fractions thérapeutiques.;pour un comprimé;35029;6;2,50 mg
69590806;1;comprimé;comprimé;Fractions thérapeutiques.;pour un comprimé;77086;1;1 mg
69588627;1;comprimé;comprimé;Fractions thérapeutiques.;pour un comprimé;20740;1;50 mg pour un comprimé
69588470;1;comprimé;comprimé;Fractions thérapeutiques.;pour un comprimé;81234;1;500 mg pour un comprimé
69586658;1;comprimé;comprimé;Fractions thérapeutiques.;pour un comprimé;60707;1;100 mg pour un comprimé
69586423;1;gélule;gélule;Fractions thérapeutiques.;pour une gélule;39727;1;5 mg pour une gélule
69586327;1;poudre;poudre;Fractions thérapeutiques.;pour un flacon;77405;1;1000,00 mg
69586252;1;comprimé;comprimé;Fractions thérapeutiques.;pour un comprimé;73534;1;250 mg pour un comprimé
69585360;1;comprimé;comprimé;Fractions thérapeutiques.;pour un comprimé;86070;1;27,30 mg
69578113;1;solution;solution;Fractions thérapeutiques.;pour 5 ml;50405;1;10 mg pour 5 ml
69577958;1;gélule;gélule;Fractions thérapeutiques.;pour une gélule;27570;1;300 mg pour une gélule
69576201;1;comprimé;comprimé;Fractions thérapeutiques.;pour un comprimé;30646;1;12,50 mg
69575804;1;solution;solution;Fractions thérapeutiques.;pour une ampoule;00059;1;20 mg pour une ampoule
69570312;1;poudre;poudre;Fractions thérapeutiques.;pour un flacon;28630;1;500 mg
69565411;1;poudre;poudre;Fractions thérapeutiques.;pour un flacon de poudre;00141;1;200 mg pour un flacon de poudre
69565055;1;gélule;gélule;Fractions thérapeutiques.;pour une gélule;81723;1;20 mg
69562970;1;comprimé;comprimé;Fractions thérapeutiques.;pour un comprimé;01525;3;400 UI
69562970;1;comprimé;comprimé;Fractions thérapeutiques.;pour un comprimé;72723;1;500 mg
69559554;1;comprimé;comprimé;Fractions thérapeutiques.;pour un comprimé;15304;1;20 mg pour un comprimé
69556818;1;comprimé;comprimé;Fractions thérapeutiques.;pour un comprimé;83912;1;9,4 mg
69556177;1;solution;solution;Fractions thérapeutiques.;pour une ampoule;01080;1;0,50 g
69554265;1;comprimé;comprimé;Fractions thérapeutiques.;pour un comprimé;20740;1;50 mg pour un comprimé
69553494;1;solution;solution;Fractions thérapeutiques.;pour 1 ml de solution;01080;1;1,00 mg
69552499;1;solution;solution;Fractions thérapeutiques.;pour une goutte;85033;2;0,0625 mg
69552232;1;poudre;poudre;Fractions thérapeutiques.;pour un flacon;49385;2;500 mg pour un flacon
69552232;1;poudre;poudre;Fractions thérapeutiques.;pour un flacon;59700;3;500 mg pour un flacon
69549631;1;solution;solution;Fractions thérapeutiques.;pour une dose 0,30 ml;01080;1;300 microgrammes pour une dose 0,30 ml
69548508;1;comprimé;comprimé;Fractions thérapeutiques.;pour un comprimé;86579;1;40 mg pour un comprimé
69545939;1;suspension;suspension;Fractions thérapeutiques.;pour un sachet de suspension buvable;04713;1;230 mg
69545056;1;comprimé;comprimé;Fractions thérapeutiques.;pour un comprimé;39357;1;62,5 mg pour un comprimé
69544246;1;solution;solution;Fractions thérapeutiques.;pour 100 mL de solution;03778;1;0,12 g pour 100 mL de solution
69543888;1;comprimé;comprimé;Fractions thérapeutiques.;pour un comprimé;29337;2;245 mg
69543863;1;comprimé;comprimé;Fractions thérapeutiques.;pour un comprimé;02092;1;400 mg
69541549;1;solution;solution;Fractions thérapeutiques.;pour une ampoule de 8,5 mL;42124;1;0,85 mg
69540251;1;solution;compartiment A;Fractions thérapeutiques.;pour 1000 ml de solution d'électrolytes;00529;1;30,3 g
