Code_Substance;Code_SMS;Lib_Pref_Fran
50326;100000076746;alcools de graisse de laine
17295;100000092013;aldesleukine 
86542;100000164226;alectinib
92808;100000162855;alectinib (chlorhydrate d')
34817;100000089882;alemtuzumab 
43912;100000134971;alendronate de sodium anhydre
24982;100000089619;alendronate de sodium trihydraté
17270;100000089599;alendronate monosodique monohydraté
38315;100000125936;alfa-amylase 
00988;100000091540;alfacalcidol
05922;100000085240;alfentanil
06166;100000090424;alfentanil (chlorhydrate d')
60310;100000091802;alfuzosine (chlorhydrate d')
05356;100000090123;alginate de sodium
99961;100000089564;alglucosidase alfa 
01090;100000088291;alimémazine
05762;100000085662;alimémazine (hémitartrate d')
74929;100000159811;alirocumab 
62086;100000089387;alitrétinoïne
32273;100000087435;alizapride
16458;100000088880;alizapride (chlorhydrate d')
04134;100000078014;allantoïne
01097;100000091907;allopurinol
20863;100000087441;alminoprofène
00731;100000078857;almitrine (mésilate d')
64860;100000087462;almotriptan
50149;100000090447;almotriptan (malate d')
34064;100000076670;aloès (extrait sec titré d')
00113;NA;ALOES (HOMEOPATHIE)
54696;100000166553;alpélisib
05229;100000085628;alpha-terpinéol
13112;100000091908;alprazolam
01591;100000092306;alprostadil
56894;100000089921;altéplase 
01106;100000092140;altizide
00868;100000087660;altrétamine
00204;NA;aluminium (hydroxyde d') et magnésium (carbonate de) codesséchés, gel d'
04713;100000077698;aluminium (oxyde d')
02940;100000092225;aluminium (oxyde d') hydraté
72288;100000078776;aluminium (phosphate d')
04661;100000077699;aluminium (phosphate d'), gel de
03377;NA;alun de chrome
04028;100000092379;alvérine (citrate d')
00042;100000092270;amantadine (chlorhydrate d')
01110;100000087666;ambénonium (chlorure d')
01206;NA;AMBRE GRIS (HOMEOPATHIE)
95484;100000089441;ambrisentan
86070;100000087650;ambroxol
24245;100000090754;ambroxol (chlorhydrate d')
93297;NA;amidon hydroxyéthylé 130 000
03146;100000091437;amidotrizoate de méglumine
01123;100000091989;amidotrizoate de sodium
72087;100000092991;amifampridine
52114;100000115908;amifampridine (phosphate d')
73916;100000077704;amifostine
22273;100000092483;amikacine
00280;100000085153;amikacine (sulfate d')
96013;100000091619;amiloride (chlorhydrate d') anhydre
03149;100000088483;amiloride (chlorhydrate d') dihydraté
01130;100000092236;aminophylline
03484;100000088683;aminosalicylate de sodium dihydraté
05386;100000092847;amiodarone (chlorhydrate d')
09231;100000087234;amisulpride
01140;100000092029;amitriptyline
00788;100000090311;amitriptyline (chlorhydrate d')
97615;100000177630;amivantamab 
39727;100000085259;amlodipine
93748;100000090079;amlodipine (bésilate d')
26590;100000087409;amorolfine
53732;100000088482;amorolfine (chlorhydrate d')
00877;100000087430;amoxapine
05248;100000091596;amoxicilline
00872;100000090113;amoxicilline sodique
28165;100000092629;amoxicilline trihydratée
01150;100000092100;amphotéricine B
84525;100000076695;ampicilline
03158;100000089974;ampicilline sodique
16948;100000091914;amsacrine
04689;100000089668;amylase fongique
03151;100000086938;amylmétacrésol
69478;100000085241;anagrélide
45102;100000137355;anagrélide (chlorhydrate d') monohydraté
65595;100000085260;anakinra 
42215;100000092332;anastrozole
05715;100000089739;anatoxine diphtérique 
05717;100000089740;anatoxine tétanique 
00050;100000086923;androstanolone
03748;100000077420;anétholtrithione
65940;100000089572;anidulafungine
67668;NA;anifrolumab 
09692;100000090180;antigène  de surface de l'hépatite B recombinant  
37596;100000090071;antigène coquelucheux : pertactine  
27665;100000089546;antigène de surface de l'hépatite B 
95887;100000089721;antigène pertussique : anatoxine pertussique 
62411;100000089680;antigène pertussique : hémagglutinine filamenteuse 
53161;NA;antigènes pertussiques : fimbriae type 2 et 3 
98428;100000077405;antimoine
28664;100000153304;antithrombine III humaine 
71667;100000174821;apalutamide
61321;100000091294;apixaban
00052;100000092009;apomorphine (chlorhydrate d') hémihydraté
36528;100000087180;apraclonidine
05988;100000077408;apraclonidine (chlorhydrate d')
41238;100000156798;aprémilast
84452;100000089541;aprépitant
00712;100000124486;aprotinine 
61676;100000132863;argatroban monohydraté
08477;100000078458;argent
04697;100000141453;argent (gluconate d')
00053;100000078614;argent (nitrate d')
01178;100000086598;arginine
04148;100000085170;arginine (chlorhydrate d')
04149;100000090425;arginine (glutamate d')
35068;100000086618;argipressine
69045;300000013121;argipressine (acétate d')
96835;100000089957;aripiprazole
02161;100000077434;arnica (teinture d')
39567;100000092762;artéméther
84578;100000115442;arténimol
76288;100000086625;articaïne
23926;NA;artichaut (extrait sec d')
03641;100000091071;ascorbate de calcium
01182;100000091447;ascorbate de sodium
01023;100000086036;ascorbique (acide)
83313;100000158330;asfotase alfa 
00057;100000092010;asparaginase
69781;100000156567;asparaginase 
03752;100000088484;aspartate d'arginine
00006;100000091847;aspartique (acide)
26023;100000140052;ataluren
27570;100000089517;atazanavir
87658;100000089598;atazanavir (sulfate d')
00762;100000091183;aténolol
72639;100000163921;atézolizumab 
84495;300000000100;atidarsagène autotemcel 
19809;100000092373;atorvastatine
50091;100000090303;atorvastatine calcique
92464;100000091257;atorvastatine calcique trihydratée
47834;100000085242;atosiban
80301;100000089389;atosiban (acétate d')
03009;100000086636;atovaquone
06492;100000085206;atracurium (bésilate d')
10321;100000085031;atropine
04150;100000143430;atropine (sulfate d')
60284;100000087348;attapulgite
67402;NA;aubépine (feuille et fleur d'), extrait sec de
04589;NA;aubépine (teinture d')
70766;100000083525;aurotiosulfate de sodium
96771;NA;avalglucosidase alfa 
92375;100000128159;avanafil
54300;100000177408;avapritinib
65853;100000166075;avélumab 
44580;100000135830;avibactam
18224;100000166051;avibactam sodique
28231;NA;avizafone (chlorhydrate d')
55952;100000174423;axicabtagène ciloleucel 
46333;100000089442;axitinib
88044;100000086905;azacitidine
01200;100000091475;azathioprine
44571;100000091937;azélaïque (acide)
75817;100000086100;azélastine
25329;100000090426;azélastine (chlorhydrate d')
96035;100000092355;azithromycine
48539;100000089047;azithromycine dihydratée
43303;100000139341;azithromycine monohydratée
48940;100000089308;azote (monoxyde d')
79481;100000091595;aztréonam
65045;NA;aztréonam de lysine
01205;100000092135;bacitracine
00812;100000090335;baclofène
50858;100000092785;bambutérol (chlorhydrate de)
27201;100000166701;baricitinib
00063;100000089788;baryum (sulfate de)
48651;100000092055;basiliximab 
00919;NA;baume de tolu (teinture de)
00127;100000079605;baume du Pérou
21658;NA;BCG atténué - souche Connaught 
59885;100000085261;béclométasone
04179;100000091556;béclométasone (dipropionate de)
42794;100000089858;béclométasone (dipropionate de) monohydraté
66638;100000126166;bédaquiline
33387;100000141480;bédaquiline (fumarate de)
44487;100000181695;bélantamab mafodotine 
92394;100000092978;bélatacept 
38434;100000090056;bélimumab 
14049;100000089958;bénazépril (chlorhydrate de)
94401;100000085013;bendamustine (chlorhydrate de)
36836;100000162913;bendamustine (chlorhydrate de) monohydraté
01215;100000092763;bendrofluméthiazide
00129;NA;benjoin du Laos
04594;NA;benjoin du Laos (teinture de)
80958;100000167493;benralizumab 
95926;100000086357;bensérazide
05093;100000091558;bensérazide (chlorhydrate de)
04766;100000092233;benzalkonium (bromure de)
04771;100000092079;benzalkonium (chlorure de)
24735;100000076913;benzalkonium (chlorure de), solution de
05033;100000090509;benzathine benzylpénicilline
01810;100000089829;benzocaïne
04361;100000085001;benzododécinium (bromure de)
35812;NA;benzododécinium (bromure de) anhydre
71938;NA;benzododécinium (bromure de) hydraté
00889;100000085061;benzoyle (peroxyde de)
90720;100000086414;benzydamine
04734;100000091695;benzydamine (chlorhydrate de)
05371;100000091327;benzyle (benzoate de)
00033;100000086395;benzylique (alcool)
05331;100000091609;benzylpénicilline sodique
04167;100000077166;benzylthiouracile
24942;300000005926;bérotralstat
58961;300000005362;bérotralstat (dichlorhydrate de)
88366;100000092685;besilésomab 
54247;NA;bêta-aescine
03661;100000091819;bétacarotène
01257;100000089998;bétahistine (dichlorhydrate de)
00968;100000092124;bétahistine (mésilate de)
00069;100000089335;bétaïne
29205;100000158520;bétaïne (citrate de) anhydre
04752;100000158519;bétaïne (citrate de) monohydraté
01261;100000091947;bétaméthasone
00445;100000084907;bétaméthasone (acétate de)
04730;100000091514;bétaméthasone (dipropionate de)
04509;100000090082;bétaméthasone (phosphate sodique de)
04184;100000092622;bétaméthasone (valérate de)
22466;100000092485;bétaxolol (chlorhydrate de)
80429;100000085872;bétiatide
70202;100000089535;bévacizumab 
48410;100000089393;bexarotène
10803;100000085894;bézafibrate
81266;100000153736;bezlotoxumab 
17637;100000085878;bicalutamide
04468;100000079863;bicarbonate de potassium
00899;100000079337;bicarbonate de sodium
01270;100000085880;biclotymol
97242;100000169072;bictégravir
99145;100000174345;bictégravir sodique
28021;100000091948;bifonazole
51827;100000129239;bilastine
57000;300000027771;bilastine monohydratée
81904;100000089302;bimatoprost
78306;100000169021;bimékizumab 
62178;100000165993;binimétinib
00072;100000092789;biotine
01274;100000090297;bipéridène (chlorhydrate de)
00073;100000091949;bisacodyl
04171;100000076866;bismuth (oxyde de)
00414;100000076851;bismuth (sous-succinate de)
78337;100000128031;bismuth potassique (sous-citrate de)
97658;100000092277;bisoprolol
07436;100000092741;bisoprolol (fumarate de)
35143;100000085243;bivalirudine
55004;100000087359;bléomycine
02952;100000085140;bléomycine (sulfate de)
04768;100000089079;bleu patenté V sodique
24567;100000128395;blinatumomab 
04180;100000076875;boldine
00132;100000128467;boldo (feuille de)
03131;100000142147;boldo (teinture de)
00900;100000078542;borax
00008;100000092271;borique (acide)
98525;100000091450;bortézomib
39357;100000085262;bosentan
74217;100000091512;bosentan monohydraté
36680;100000090716;bosutinib
87288;100000144021;bosutinib monohydraté
76742;100000153831;bouleau
00134;100000078654;bourdaine (écorce de)
94576;100000124524;brentuximab védotine 
74372;100000170772;brigatinib
38467;100000088662;brimonidine
60394;100000091796;brimonidine (tartrate de)
59860;100000085244;brinzolamide
66079;100000089410;brivaracétam
27023;100000166073;brodalumab 
00907;100000092554;bromazépam
01295;100000088272;bromélaïnes
87921;100000088693;bromfénac
73790;100000085124;bromfénac sodique sesquihydraté
04729;100000091917;bromhexine (chlorhydrate de)
92297;100000088678;bromocriptine
00328;100000090410;bromocriptine (mésilate de)
04187;100000076562;bromolactobionate de calcium
03178;100000088205;bromphéniramine (maléate de)
12351;100000088698;bronopol
05791;NA;bryone (teinture de)
24381;100000091309;budésonide
49006;100000181745;bulévirtide
91322;300000007260;bulévirtide (acétate de)
00569;100000088443;bumétanide
00034;100000088212;bupivacaïne (chlorhydrate de) monohydraté
54459;100000085263;buprénorphine
21888;100000092032;buprénorphine (chlorhydrate de)
17194;100000090431;bupropione (chlorhydrate de)
77470;100000170826;burosumab 
01354;100000091051;buspirone (chlorhydrate de)
01317;100000085245;busulfan
01318;100000088471;butacaïne
44892;NA;butédronate tétrasodique
97952;100000115694;cabazitaxel
81299;100000183720;cabazitaxel (acétate d'éthyle de)
32131;100000092143;cabergoline
96285;100000165751;cabotégravir
63092;NA;cabotégravir sodique
97435;100000141570;cabozantinib
98546;100000162458;cabozantinib ((S)-malate de)
04196;100000091411;caféine (citrate de)
03093;100000076557;caféine monohydratée
04603;100000076577;calamine
01121;NA;calcarea acetica pour préparations homéopathiques
54648;100000081591;calcifédiol anhydre
00421;300000038170;calcifédiol monohydraté
13013;100000085642;calcipotriol
21973;100000090521;calcipotriol monohydraté
00359;100000090302;calcitonine de saumon
08112;100000092790;calcitriol
04186;100000092034;calcium (acétate de)
00430;100000090106;calcium (chlorure de) dihydraté
09706;100000092620;calcium (chlorure de) hexahydraté
00432;100000088912;calcium (gluconate de)
04788;100000090512;calcium (gluconolactate de)
05392;100000076567;calcium (glycérophosphate de)
00459;100000083546;calcium édétate de sodium
00436;100000090737;camphre racémique
36098;100000093070;canakinumab 
73594;100000091533;candésartan cilexétil
54502;100000092769;cangrélor
26772;100000168765;cangrélor tétrasodique
03102;100000091863;canrénoate de potassium
00908;NA;cantharis pour préparations homéopathiques
91877;100000089303;capécitabine
39145;100000166854;caplacizumab 
21053;100000092557;captopril
05378;100000081628;carbachol
01351;100000092127;carbamazépine
99686;100000081320;carbétocine
04090;NA;carbidopa anhydre
11448;100000090314;carbidopa monohydratée
03044;100000092161;carbocistéine
52310;100000091177;carbomère 974P
49729;100000085416;carbomère 980
00428;100000091518;carbonate de calcium
05865;100000092564;carboplatine
92790;100000126282;carfilzomib
85578;100000089544;carglumique (acide)
00440;100000087080;carmellose sodique
08011;100000090209;carmustine
21178;100000092066;carraghénanes
18380;100000092053;cartéolol (chlorhydrate de)
27222;100000092577;carvédilol
49212;NA;cascara (extrait sec de)
47372;100000089518;caspofungine
78279;100000089286;caspofungine (acétate de) 
70544;100000089286;caspofungine (acétate de) 
65875;NA;céfaclor anhydre
73957;100000092290;céfadroxil monohydraté
00312;100000092402;céfalexine monohydratée
63303;100000081576;céfalotine
00503;100000090184;céfalotine sodique
00837;100000090429;céfamandole (nafate de)
19757;100000081793;céfazoline
04726;100000090010;céfazoline sodique
49595;100000081818;céfépime
77311;100000091599;céfépime (dichlorhydrate de) monohydraté
42402;100000175826;céfidérocol
83705;100000175867;céfidérocol (sulfate de) (tosilate de)
33617;100000135337;céfixime anhydre
85516;100000092662;céfotaxime
00982;100000092174;céfotaxime sodique
91811;100000081806;céfotiam
30227;100000084681;céfotiam hexétil (chlorhydrate de)
69050;100000081807;céfoxitine
00772;NA;céfoxitine sodique
17061;100000081829;cefpodoxime
99303;100000091579;cefpodoxime proxétil
56345;100000124156;ceftaroline fosamil
37583;NA;ceftaroline fosamil (acétate de) monohydraté
49416;NA;ceftazidime anhydre
28630;100000091899;ceftobiprole
57457;100000156073;ceftobiprole médocaril sodique
66112;100000158130;ceftolozane
19039;100000158129;ceftolozane (sulfate de)
35232;100000093034;ceftriaxone
30925;100000093053;ceftriaxone sodique
19091;NA;ceftriaxone sodique anhydre
82384;100000092667;céfuroxime
79600;100000093039;céfuroxime axétil
00911;100000091436;céfuroxime sodique
63854;100000089391;célécoxib
78429;100000082044;céliprolol
07958;100000093037;céliprolol (chlorhydrate de)
26138;100000184268;cellules autologues CD3+ transduites anti-CD19 
23318;100000078231;cellulose microcristalline
50049;100000175258;cémiplimab 
72513;100000174917;cénobamate
01095;NA;CEPA VULGARIS (HOMEOPATHIE)
58842;100000156788;céritinib
44935;100000138242;cérium (nitrate de) hexahydraté
77804;100000089458;certolizumab pégol 
22114;100000082068;cétalkonium (chlorure de)
01379;100000089021;céthexonium (bromure de)
60929;100000091468;cétirizine (dichlorhydrate de)
64364;NA;cétoleucine calcique
06018;100000092640;cétrimide
80353;100000089304;cétrorélix (acétate de)
49585;100000091438;cétuximab 
00628;100000089624;cétylpyridinium (chlorure de)
04204;100000090961;charbon activé
60861;NA;chardon Marie (extrait sec de)
00345;100000092597;chénodésoxycholique (acide) 
01393;100000081577;chlorambucil
01400;100000081580;chlordiazépoxide
00708;100000092204;chlorhexidine (diacétate de)
03778;100000091036;chlorhexidine (digluconate de)
33959;100000091053;chlorhexidine (digluconate de), solution de
42227;NA;chlorhydrate de bupivacaïne anhydre
02245;100000090550;chlormadinone (acétate de)
80991;100000089953;chlorméthine
05290;100000090553;chlorméthine (chlorhydrate de)
37281;100000115542;chloroallylhexaminium (chlorure de)
27368;100000092147;chlorobutanol hémihydraté
01411;100000081847;chlorocrésol
41028;100000084733;chloroprocaïne (chlorhydrate de)
21497;100000088282;chloroquine
03779;100000092628;chloroquine (phosphate de)
04133;100000090551;chloroquine (sulfate de)
03193;100000090211;chlorphénamine (maléate de)
01430;100000081894;chlorpromazine
00489;100000091060;chlorpromazine (chlorhydrate de)
01433;100000092132;chlorquinaldol
01434;100000092578;chlortalidone
03188;100000084806;chlortétracycline (chlorhydrate de)
85054;100000129222;cholécalciférol (concentrat de), forme pulvérulente
03777;100000080080;cholestérol (benzoate de)
00767;NA;cholique (acide)
90495;100000156766;chondroïtine (sulfate de) 
91838;100000091473;choriogonadotropine alfa 
93509;100000078087;chromate (51Cr) de sodium
08190;NA;chrome (chlorure de) hexahydraté
15911;100000092561;cibenzoline
27705;100000084909;cibenzoline (succinate de)
74522;100000081904;ciclésonide
07289;100000084826;ciclétanine (chlorhydrate de)
95914;100000081889;ciclopirox
30911;100000084827;ciclopirox olamine
26649;100000092121;ciclosporine
59700;100000081292;cilastatine
09129;100000090185;cilastatine sodique
53855;NA;cilgavimab 
87503;NA;ciltacabtagène autoleucel 
00587;100000092793;cimétidine
81461;100000089455;cinacalcet
97362;100000092005;cinacalcet (chlorhydrate de)
04805;100000092133;cinchocaïne (chlorhydrate de)
88597;100000080110;cinchonine
25985;100000091316;cinchonine (chlorhydrate de) dihydraté
03666;100000092061;cinéole
03119;100000129171;cinnamaldéhyde
74175;100000134073;cinnamylique (alcool)
11650;100000081540;ciprofibrate
66431;100000092110;ciprofloxacine
79482;100000091536;ciprofloxacine (chlorhydrate de)
65381;NA;ciprofloxacine (sulfate de)
62835;100000090476;cisatracurium (bésilate de)
00873;100000088223;cisplatine
57088;100000091311;citalopram
29250;100000090554;citalopram (bromhydrate de)
54506;100000091251;citalopram (chlorhydrate de)
04827;100000080113;citral
00855;100000091779;citrate de potassium
27812;100000078764;citrate de sodium anhydre
50340;NA;citrate disodique
50993;100000163006;citrate monopotassique anhydre
00633;NA;citrate monosodique
00011;100000093142;citrique (acide)
02523;100000137641;citrique (acide) monohydraté
00533;100000080115;citrulline (malate de)
97330;100000085410;cladribine
24563;100000092364;clarithromycine
93286;100000089842;clavulanique (acide)
39398;100000080215;clévidipine
00912;100000084293;clidinium (bromure de)
48296;100000084276;clindamycine
02963;100000090552;clindamycine (chlorhydrate de)
97838;100000124213;clindamycine (chlorhydrate de) hydraté
00917;100000090555;clindamycine (phosphate de)
04818;100000092134;clioquinol
00461;100000084299;clobazam
00614;100000091516;clobétasol (propionate de)
81716;100000156397;clodronate disodique tetrahydraté
94880;100000089587;clofarabine
77579;100000092385;clofazimine
05334;100000090573;clomifène (citrate de)
01493;100000090503;clomipramine (chlorhydrate de)
00463;100000084528;clonazépam
00464;100000090325;clonidine (chlorhydrate de)
54693;100000091166;clopidogrel
41909;100000115443;clopidogrel (bésilate de)
22203;100000115888;clopidogrel (chlorhydrate de)
52920;100000092025;clopidogrel (hydrogénosulfate de)
01507;100000090126;clorazépate dipotassique
20441;100000092585;clotiazépam
00706;100000092074;clotrimazole
00158;100000080119;clou de girofle (huile essentielle de)
13835;100000084036;cloxacilline
74798;100000092795;clozapine
49484;100000128492;cobalt (chlorure de) hexahydraté
04813;100000076293;cobalt (gluconate de)
43058;NA;cobalt (gluconate de) dihydraté
56996;100000127699;cobicistat
39792;100000144958;cobimétinib
87000;300000044481;cobimétinib (fumarate de)
30788;NA;cocarboxylase tétrahydraté
00467;100000079790;codéine
03782;NA;codéine (camsilate de)
04815;NA;codéine (chlorhydrate de)
25936;100000079791;codéine (phosphate de) anhydre
74765;100000079791;codéine (phosphate de) hémihydraté
00469;100000090556;colchicine
00910;NA;COLCHICUM (HOMEOPATHIE)
01525;100000092724;colécalciférol
01526;100000087979;colestyramine
04822;100000092338;colistiméthate sodique
00756;100000079819;colophane
16541;NA;complexe sodique sacubitril valsartan hémipentahydraté
29922;NA;concentré de protéines coagulables 
54009;100000115936;conestat alfa 
74919;100000089392;corifollitropine alfa 
85948;100000090514;corticoréline (humaine)
97382;100000079809;corticoréline (humaine) synthétique (trifluoroacétate de)
00471;100000084250;cortivazol
31969;100000127662;crisantaspase 
49579;100000174637;crizanlizumab 
46435;100000124345;crizotinib
00473;100000092054;cromoglicate de sodium
30158;100000076083;crospovidone
01533;100000083722;crotamiton
31523;NA;cuivre (chlorure de) dihydraté
03192;100000092221;cuivre (gluconate de)
18516;NA;cuivre (gluconate de) dihydraté
97454;100000076078;cuivre (sulfate de) anhydre
00474;100000092181;cuivre (sulfate de) pentahydraté
00764;NA;CUPRI ACETAS (HOMEOPATHIE)
00763;NA;cuprum (homéopathie)
08846;100000083726;cyamémazine
05760;100000088201;cyamémazine (tartrate de)
01539;100000091035;cyanocobalamine
05777;100000092411;cyclopentolate (chlorhydrate de)
77405;100000090277;cyclophosphamide anhydre
32109;100000083988;cyproheptadine
03197;100000084677;cyproheptadine (chlorhydrate de)
00987;100000090321;cyprotérone (acétate de)
00477;100000083990;cystéine
01520;100000078726;cystéine (chlorhydrate de)
04326;100000091082;cystine
01574;100000089874;cytarabine
82447;100000089553;dabigatran étexilate
83321;NA;dabigatran étexilate (mésilate de)
44109;100000131505;dabrafénib
95704;100000154410;dabrafénib (mésilate de)
00141;100000088395;dacarbazine
35048;100000092145;dacarbazine (citrate de)
77015;100000137370;daclatasvir
35345;100000156586;daclatasvir (dichlorhydrate de)
43031;100000085032;dactinomycine
95952;NA;dactyle aggloméré (Extrait allergénique de pollen de)
56262;100000089658;dalbavancine
72352;100000156628;dalbavancine (chlorhydrate de)
62595;100000091301;daltéparine sodique 
70130;100000084901;danaparoïde sodique 
00945;100000083436;danazol
00836;100000091559;dantrolène sodique
50433;100000124178;dapagliflozine
41338;NA;dapagliflozine propanediol monohydraté
27287;100000083441;dapoxétine
83503;100000093369;dapoxétine (chlorhydrate de)
05525;100000083461;dapsone
46167;100000085430;daptomycine
50681;100000162382;daratumumab 
24625;100000171715;darolutamide
28847;100000089367;darunavir
39005;100000091852;darunavir (éthanolate de)
34781;100000170431;darunavir propylèneglycol
51263;100000175938;darvadstrocel 
44781;100000156931;dasabuvir
47615;100000164692;dasabuvir sodique monohydraté
71041;100000088015;dasatinib
19755;100000090154;dasatinib monohydraté
54643;100000086006;daunorubicine
01578;100000092148;daunorubicine (chlorhydrate de)
54962;100000083471;décitabine
87487;100000089570;déférasirox
95296;100000085431;défériprone
01584;100000090084;déféroxamine (mésilate de)
68391;100000092339;défibrotide 
70453;100000091843;dégarélix
93978;NA;dégarélix (acétate de)
29299;100000176638;délafloxacine
91629;100000176639;délafloxacine méglumine
43009;100000127700;délamanid
70512;100000083710;déméclocycline
01593;100000088394;déméclocycline (chlorhydrate de)
51765;100000090712;dénosumab 
05284;100000091069;déqualinium (chlorure de)
90481;100000136489;dérisomaltose ferrique
72602;100000083168;desflurane
65948;100000089395;desloratadine
45293;100000092796;desmopressine
13582;NA;desmopressine (acétate de) trihydraté
27380;100000083191;désogestrel
03540;100000083192;désonide
05291;100000135033;désoxyribonucléase
01608;100000092605;dexaméthasone
03673;100000092167;dexaméthasone (acétate de)
04429;100000087760;dexaméthasone (métasulfobenzoate sodique de)
73377;100000092581;dexaméthasone (phosphate de)
03675;100000090542;dexaméthasone (phosphate sodique de)
03218;100000092786;dexchlorphéniramine (maléate de)
30646;100000083407;dexkétoprofène
93236;100000093008;dexkétoprofène trométamol
76710;100000083428;dexmédétomidine
02201;100000079739;dexpanthénol
31269;100000085432;dexrazoxane
44152;100000090557;dexrazoxane (chlorhydrate de)
03229;100000090194;dextrométhorphane (bromhydrate de)
77060;100000090475;diacéréine
03671;NA;diastase de l'orge germée
01637;100000092362;diazépam
01639;100000092606;diazoxide
94208;100000134275;dibenzothiazole (disulfure de)
43730;100000093031;dibotermine alfa 
03152;100000092427;dichlorobenzylique (alcool)
94194;100000128015;dichromate de potassium
36592;100000092798;diclofénac
99970;100000085789;diclofénac (épolamine de)
22364;100000091074;diclofénac de diéthylamine
00037;100000092272;diclofénac sodique
10627;100000087146;didanosine
49665;100000092815;diénogest
67572;100000125927;diéthylamine
38299;100000083129;diéthylcarbamazine
01662;100000087926;diéthylcarbamazine (citrate de)
65684;100000134267;diéthyldithiocarbamate de zinc
01663;100000085041;diéthylstilbestrol
00817;100000092797;diflucortolone (valérate de)
00114;100000082623;difluprednate
01672;100000091378;digoxine
94174;100000078029;dihydralazine (mésilate de)
99154;100000092218;dihydrocodéine
06987;100000078009;dihydrocodéine (hydrogénotartrate de)
03790;100000090575;dihydroergotamine (mésilate de)
00915;100000089850;diltiazem (chlorhydrate de)
01691;100000091918;diménhydrinate
01695;100000082658;dimercaprol
02969;100000090171;diméticone
26834;100000092220;dinoprostone
54035;100000161142;dinutuximab bêta 
09414;100000078034;diosmectite
00769;100000092048;diosmine
37135;100000134277;dipentaméthylènethiurame (disulfure de)
02678;100000090453;diphénhydramine (chlorhydrate de)
41143;100000134266;diphénylguanidine
22444;NA;diphénylparaphénylènediamine
01743;100000091735;dipyridamole
86897;100000174626;diroximel (fumarate de)
01745;100000082359;disopyramide
00604;100000079258;disopyramide (phosphate de)
01747;100000081855;disulfirame
03008;300000033275;DL-lysine (monochlorhydrate de)
60271;100000089062;DL-méthionine
11506;300000033067;DL-tryptophane
02449;100000091580;dobésilate de calcium
00738;100000087521;dobutamine (chlorhydrate de)
38643;100000090616;docétaxel
05376;100000089469;docétaxel trihydraté
41561;100000088244;docosanol
03063;100000092012;docusate sodique
05126;100000080775;dodéclonium (bromure de)
68669;100000128282;dolutégravir
41060;100000156669;dolutégravir sodique
00866;100000080778;domiphène (bromure de)
00984;100000092257;dompéridone
70320;100000080761;donépézil
33803;100000091200;donépézil (chlorhydrate de)
67154;100000128835;donépézil (chlorhydrate de) monohydraté
05249;100000092011;dopamine (chlorhydrate de)
45193;100000163528;doravirine
51528;100000080767;dorzolamide
83176;100000090313;dorzolamide (chlorhydrate de)
39432;100000181573;dostarlimab 
00087;100000091934;dosulépine (chlorhydrate de)
01754;100000087544;doxapram (chlorhydrate de)
