Code_ CIS;Nom_Specialite;Statut_AMM;Code_Statut;Date_AMM;Date_Auto;Date_fin_statut_actif_AMM;Procedure;Code_Procedure;Lib_ATC;Code_ATC
60010967;TERLOMEXIN 200 mg, capsule molle vaginale;Actif;1;12/10/1994;;;Procédure nationale;1;Fenticonazole;G01AF12
60014894;FAMENPAX, comprimé orodispersible;Actif;1;20/09/2012;29/05/1969;;Procédure nationale;1;AUTRES PRODUITS THÉRAPEUTIQUES;V03AX
60016308;CARVEDILOL VIATRIS 25 mg, comprimé pelliculé sécable;Actif;1;13/02/2006;;;Procédure nationale;1;Carvédilol;C07AG02
60016589;LEVOCARNIL 1 g/5 ml, solution injectable en ampoule;Actif;1;11/01/1988;;;Procédure nationale;1;Lévocarnitine;A16AA01
60018088;LYRICA 300 mg, gélule;Actif;1;06/07/2004;;;Procédure centralisée;20;Prégabaline;N02BF02
60018444;ENTECAVIR TEVA 1 mg, comprimé pelliculé;Actif;1;15/12/2017;;;Procédure décentralisée;32;Entécavir;J05AF10
60018896;PERINDOPRIL TOSILATE TEVA 10 mg, comprimé pelliculé;Actif;1;13/08/2014;;;Procédure décentralisée;32;Périndopril;C09AA04
60019101;OPTICRON 2 POUR CENT, collyre;Actif;1;06/10/1983;17/08/1976;;Procédure nationale;1;Acide cromoglicique;S01GX01
60019329;DOXYLAMINE CRISTERS 15 mg, comprimé pelliculé sécable;Actif;1;22/12/2016;;;Procédure nationale;1;AUTRES HYPNOTIQUES ET SEDATIFS;N05CM
60019350;ARNIGEL, gel;Actif;1;18/01/2002;;;Procédure nationale;1;AUTRES PRODUITS THÉRAPEUTIQUES;V03AX
60019813;LENALIDOMIDE ARROW 2,5 mg, gélule;Actif;1;29/09/2021;;;Procédure décentralisée;32;Lénalidomide;L04AX04
60019927;SOLIAN 100 mg, comprimé sécable;Actif;1;25/11/1998;;;Procédure nationale;1;Amisulpride;N05AL05
60021127;SPIRONOLACTONE VIATRIS 75 mg, comprimé pelliculé;Actif;1;28/03/1997;;;Procédure nationale;1;Spironolactone;C03DA01
60021216;PERSANTINE 75 mg, comprimé enrobé;Actif;1;25/04/1988;27/03/1974;;Procédure nationale;1;Dipyridamole;B01AC07
60021312;CLARELUX 500 microgrammes/g, mousse pour application cutanée en flacon pressurisé;Actif;1;17/04/2012;;;Procédure de reconnaissance mutuelle;21;Clobétasol;D07AD01
60021771;FIBROVEIN 3 %, solution injectable;Actif;1;13/12/2013;;;Procédure décentralisée;32;Tétradécyl sulfate de sodium;C05BB04
60021928;SILODOSINE VIATRIS 8 mg, gélule;Actif;1;26/02/2019;;;Procédure décentralisée;32;Silodosine;G04CA04
60022275;EPINITRIL 5 mg/24 heures, dispositif transdermique;Actif;1;21/05/2002;;;Procédure de reconnaissance mutuelle;21;Trinitrine;C01DA02
60023270;DORZOLAMIDE CRISTERS 20 mg/ml, collyre en solution;Actif;1;17/01/2019;;;Procédure nationale;1;Dorzolamide;S01EC03
60025054;ADEMPAS 1,5 mg, comprimé pelliculé;Actif;1;27/03/2014;;;Procédure centralisée;20;Riociguat;C02KX05
60025314;MACROGOL 3350 MAYOLY SPINDLER 8,5 g, poudre pour solution buvable en sachet;Actif;1;19/06/2017;;;Procédure décentralisée;32;Macrogol;A06AD15
60025403;EFFERALGAN 1000 mg, comprimé pelliculé;Actif;1;12/08/2004;;;Procédure nationale;1;Paracétamol;N02BE01
60026957;GLIBENCLAMIDE TEVA 5 mg, comprimé sécable;Actif;1;26/08/2005;;;Procédure nationale;1;Glibenclamide;A10BB01
60027685;ELMIRON 100 mg, gélule;Actif;1;02/06/2017;;;Procédure centralisée;20;Polysulfate de pentosane sodique;G04BX15
60028050;GABAPENTINE RANBAXY 400 mg, gélule;Archivé;3;21/11/2007;;20/09/2022;Procédure nationale;1;Gabapentine;N02BF01
60028495;DOLIRHUMEPRO PARACETAMOL, PSEUDOEPHEDRINE ET DOXYLAMINE, comprimé;Actif;1;15/12/2005;;;Procédure nationale;1;Pseudoéphédrine en association;R01BA52
60028552;TRACRIUM 25 mg/2,5 ml (1 POUR CENT), solution injectable en ampoule;Actif;1;21/05/1986;;;Procédure nationale;1;Atracurium;M03AC04
60029394;TADALAFIL EG 10 mg, comprimé pelliculé;Actif;1;04/07/2017;;;Procédure décentralisée;32;Tadalafil;G04BE08
60030699;THERASOLV 100 000 UI, poudre pour solution injectable/pour perfusion;Actif;1;02/07/2019;;;Procédure de reconnaissance mutuelle;21;Urokinase;B01AD04
60030980;MEDIFLOR N°7 CONTRE LA CONSTIPATION PASSAGERE, mélange de plantes pour tisane en sachet-dose;Actif;1;30/09/1992;19/04/1977;;Procédure nationale;1;Glycosides de séné;A06AB06
60031071;ARIPIPRAZOLE SANDOZ 10 mg, comprimé orodispersible;Actif;1;03/03/2016;;;Procédure décentralisée;32;Aripiprazole;N05AX12
60033510;VANCOMYCINE VIATRIS 125 mg, poudre pour solution à diluer pour perfusion;Actif;1;31/07/1996;;;Procédure nationale;1;Vancomycine;J01XA01
60034085;BUCCOLAM 10 mg, solution buccale;Actif;1;05/09/2011;;;Procédure centralisée;20;DERIVES DE LA BENZODIAZEPINE;N03AE
60034644;SYNACTHENE RETARD 1 mg/1 ml, suspension injectable I.M.;Actif;1;04/08/1998;26/12/1974;;Procédure nationale;1;Tétracosactide;H01AA02
60034936;KETOCONAZOLE BIOGARAN 2 %, gel en sachet-dose;Actif;1;14/02/2008;;;Procédure nationale;1;Kétoconazole;D01AC08
60035461;LYSOPAÏNE MAUX DE GORGE AMBROXOL CITRON 20 mg SANS SUCRE, pastille édulcorée au sorbitol et au sucralose;Actif;1;21/06/2013;;;Procédure décentralisée;32;ANESTHÉSIQUES LOCAUX;R02AD
60035714;SIMPONI 50 mg, solution injectable en seringue préremplie;Actif;1;01/10/2009;;;Procédure centralisée;20;Golimumab;L04AB06
60035924;OXOMEMAZINE VIATRIS 0,33 mg/ml SANS SUCRE, solution buvable édulcorée à l'acésulfame potassique;Actif;1;22/07/2010;;;Procédure nationale;1;Oxomémazine;R06AD08
60037327;PROTAMINE CHOAY 1000 U.A.H./ml, solution injectable;Actif;1;03/02/1998;17/09/1970;;Procédure nationale;1;Protamine;V03AB14
60037380;AMLODIPINE/VALSARTAN KRKA 5 mg/160 mg, comprimé pelliculé;Actif;1;27/11/2018;;;Procédure décentralisée;32;Valsartan et amlodipine;C09DB01
60038468;LAMOTRIGINE ARROW LAB 200 mg, comprimé dispersible ou à croquer;Actif;1;09/02/2012;;;Procédure de reconnaissance mutuelle;21;Lamotrigine;N03AX09
60040145;SENOPHILE, pommade;Actif;1;13/02/1996;12/08/1948;;Procédure nationale;1;PRODUITS A BASE DE ZINC;D02AB
60040469;MONOSEPT 0,25 POUR MILLE (0,1 mg/0,4 ml), collyre en solution en récipient unidose;Actif;1;24/07/1996;;;Procédure nationale;1;AUTRES ANTI-INFECTIEUX;S01AX
60040572;VIALEBEX 200 mg/mL NOUVEAUX-NES ET NOURRISSONS, solution pour perfusion;Actif;1;22/10/1996;;;Procédure nationale;1;Albumine;B05AA01
60041560;TRAMADOL CRISTERS LP 150 mg, comprimé pelliculé à libération prolongée;Actif;1;16/08/2010;;;Procédure nationale;1;Tramadol;N02AX02
60043038;ACTYNOX 50 %/50 % v/v, gaz médicinal comprimé;Actif;1;17/05/2017;;;Procédure de reconnaissance mutuelle;21;Protoxyde d’azote en association;N01AX63
60043077;OXCARBAZEPINE VIATRIS 300 mg, comprimé pelliculé;Actif;1;23/04/2007;;;Procédure décentralisée;32;Oxcarbazépine;N03AF02
60043248;ROUVAX, poudre et solvant pour suspension injectable. Vaccin rougeoleux vivant;Actif;1;05/02/1986;;;Procédure nationale;1;Rougeole, virus vivant atténué;J07BD01
60044492;DONEPEZIL CRISTERS 5 mg, comprimé pelliculé;Actif;1;20/07/2012;;;Procédure nationale;1;Donépézil;N06DA02
60044784;LEVETIRACETAM VIATRIS 250 mg, comprimé pelliculé;Actif;1;27/05/2011;;;Procédure nationale;1;Lévétiracétam;N03AX14
60044841;TILLHEPO 250 mg, gélule;Actif;1;28/05/2019;;;Procédure décentralisée;32;Acide ursodésoxycholique;A05AA02
60044987;CAPECITABINE VIATRIS 500 mg, comprimé pelliculé;Actif;1;06/09/2013;;;Procédure décentralisée;32;Capécitabine;L01BC06
60045217;ZIMINO 2,5 mg/ml, solution à diluer pour perfusion;Actif;1;20/10/2015;;;Procédure décentralisée;32;Lévosimendan;C01CX08
60046529;PHOLCODINE BIOGARAN 6,55 mg/5 mL, sirop;Suspension;10;23/04/2020;;08/09/2022;Procédure nationale;1;Pholcodine;R05DA08
60047143;VECTARION INJECTABLE, lyophilisat et solution pour préparation injectable;Actif;1;25/07/1977;;;Procédure nationale;1;Almitrine;R07AB07
60047182;CONCERTA LP 54 mg, comprimé à libération prolongée;Actif;1;28/03/2003;;;Procédure de reconnaissance mutuelle;21;Méthylphénidate;N06BA04
60047225;DARZALEX 1800 mg, solution injectable;Actif;1;03/06/2020;;;Procédure centralisée;20;Daratumumab;L01FC01
60047271;XALATAN 50 microgrammes/ml, collyre en solution;Actif;1;24/07/1997;;;Procédure de reconnaissance mutuelle;21;Latanoprost;S01EE01
60048672;BETAHISTINE TEVA 24 mg, comprimé;Actif;1;14/01/2008;;;Procédure nationale;1;Bétahistine;N07CA01
60049895;RAMIPRIL ALMUS 10 mg, comprimé sécable;Actif;1;08/02/2006;;;Procédure nationale;1;Ramipril;C09AA05
60051234;AVODART 0,5 mg, capsule molle;Actif;1;27/03/2003;;;Procédure de reconnaissance mutuelle;21;Dutastéride;G04CB02
60052254;AMMONAPS 940 mg/g, granulés;Actif;1;08/12/1999;;;Procédure centralisée;20;Phénylbutyrate de sodium;A16AX03
60053064;OLIGOSTIM COBALT, comprimé sublingual;Actif;1;13/08/1991;;;Procédure nationale;1;AUTRES PRODUITS THÉRAPEUTIQUES;V03AX
60054312;SILODOSINE SANDOZ 4 mg, gélule;Actif;1;28/05/2019;;;Procédure décentralisée;32;Silodosine;G04CA04
60054376;DACARBAZINE LIPOMED 1000 mg, poudre pour solution pour perfusion;Actif;1;20/03/2018;;;Procédure décentralisée;32;Dacarbazine;L01AX04
60056815;DIOSMINE SUN 600 mg, comprimé pelliculé;Actif;1;16/02/2001;;;Procédure nationale;1;Diosmine;C05CA03
60058008;EXFORGE 10 mg/160 mg, comprimé pelliculé;Actif;1;17/01/2007;;;Procédure centralisée;20;Valsartan et amlodipine;C09DB01
60058378;SPIRONOLACTONE ZENTIVA 75 mg, comprimé sécable;Actif;1;16/01/1996;;;Procédure nationale;1;Spironolactone;C03DA01
60058517;GABITRIL 10 mg, comprimé pelliculé;Actif;1;14/06/1996;;;Procédure de reconnaissance mutuelle;21;Tiagabine;N03AG06
60058620;LYNPARZA 150 mg, comprimé pelliculé;Actif;1;08/05/2018;;;Procédure centralisée;20;Olaparib;L01XK01
60059081;RITALINE 10 mg, comprimé sécable;Actif;1;31/07/1995;;;Procédure nationale;1;Méthylphénidate;N06BA04
60061171;TETRALYSAL 150 mg, gélule;Actif;1;17/07/1992;;;Procédure nationale;1;Lymécycline;J01AA04
60061449;OXYGENE MEDICINAL LIQUIDE AIR LIQUIDE ANTILLES GUYANE, gaz pour inhalation, pour évaporateur fixe;Actif;1;14/11/2006;;;Procédure nationale;1;Oxygène;V03AN01
60061602;PREGABALINE TEVA SANTE 200 mg, gélule;Actif;1;14/09/2015;;;Procédure décentralisée;32;Prégabaline;N02BF02
60061709;INEGY 10 mg/20 mg, comprimé;Actif;1;30/04/2019;;;Autorisation d'importation parallèle;31;Simvastatine et ézétimibe;C10BA02
60064527;DAFLON 500 mg, comprimé pelliculé;Actif;1;13/08/2015;;;Autorisation d'importation parallèle;31;Diosmine en association;C05CA53
60064872;GALANTAMINE ARROW LP 8 mg, gélule à libération prolongée;Actif;1;13/01/2012;;;Procédure nationale;1;Galantamine;N06DA04
60065198;CELIPROLOL ZENTIVA 200 mg, comprimé pelliculé;Actif;1;22/12/2008;;;Procédure nationale;1;Céliprolol;C07AB08
60065294;PANTOPRAZOLE ZF 20 mg, comprimé gastro-résistant;Actif;1;30/11/2012;;;Procédure nationale;1;Pantoprazole;A02BC02
60065390;FESOTERODINE ARROW LP 8 mg, comprimé à libération prolongée;Actif;1;10/06/2022;;;Procédure décentralisée;32;Fésotérodine;G04BD11
60067562;ZADITEN 1 mg/5 ml, solution buvable;Actif;1;06/04/1981;;;Procédure nationale;1;Kétotifène;R06AX17
60068002;ESCITALOPRAM VIATRIS 10 mg, comprimé pelliculé sécable;Actif;1;22/11/2016;;;Procédure décentralisée;32;Escitalopram;N06AB10
60068034;MILNACIPRAN EG 25 mg, gélule;Actif;1;16/08/2018;;;Procédure décentralisée;32;Milnacipran;N06AX17
60068251;COVERAM 10 mg/10 mg, comprimé;Archivé;3;04/04/2017;;01/01/2021;Autorisation d'importation parallèle;31;Périndopril et amlodipine;C09BB04
60068333;COVERAM 5 mg/5 mg, comprimé;Archivé;3;09/01/2017;;01/01/2021;Autorisation d'importation parallèle;31;Périndopril et amlodipine;C09BB04
60069307;NITISINONE DIPHARMA 20 mg, gélule;Actif;1;04/06/2020;;;Procédure décentralisée;32;Nitisinone;A16AX04
60069339;MONTELUKAST TEVA 4 mg, granulés;Actif;1;11/01/2012;;;Procédure décentralisée;32;Montélukast;R03DC03
60070359;MYCOHYDRALIN 500 mg, capsule vaginale;Actif;1;31/05/2018;;;Procédure nationale;1;Clotrimazole;G01AF02
60070665;MIRCERA 200 microgrammes/0,3 ml, solution injectable en seringue préremplie;Actif;1;20/07/2007;;;Procédure centralisée;20;Méthoxy polyéthylène glycol-époétine bêta;B03XA03
60071190;SIMVASTATINE SANDOZ 10 mg, comprimé pelliculé sécable;Actif;1;07/03/2007;;;Procédure de reconnaissance mutuelle;21;Simvastatine;C10AA01
60071233;DARUNAVIR REDDY PHARMA 600 mg, comprimé pelliculé;Archivé;3;22/08/2018;;19/08/2022;Procédure décentralisée;32;Darunavir;J05AE10
60071379;OROMONE 2 mg, comprimé pelliculé;Actif;1;09/09/1992;;;Procédure nationale;1;Estradiol;G03CA03
60071952;EUPANTOL 40 mg, comprimé gastro-résistant;Actif;1;08/02/1995;;;Procédure de reconnaissance mutuelle;21;Pantoprazole;A02BC02
60072506;MITOXANTRONE TEVA 25 mg/12,5 ml, solution à diluer pour perfusion;Archivé;3;30/04/1998;;31/03/2019;Procédure nationale;1;Mitoxantrone;L01DB07
60073451;ETIOVEN 30 mg, comprimé;Actif;1;14/11/1996;;;Procédure nationale;1;Naftazone;C05CX02
60073608;LEVOCETIRIZINE KRKA 5 mg, comprimé pelliculé;Actif;1;04/04/2012;;;Procédure décentralisée;32;Lévocétirizine;R06AE09
60073907;DONEPEZIL MYLAN 10 mg, comprimé orodispersible;Archivé;3;07/09/2010;;02/12/2021;Procédure décentralisée;32;Donépézil;N06DA02
60073914;IBUPROFENE BIOGARAN CONSEIL 400 mg, comprimé pelliculé;Actif;1;10/07/2006;;;Procédure nationale;1;AUTRES ANALGESIQUES ET ANTIPYRETIQUES;N02BG
60073960;INTRAROSA 6,5 mg, ovule;Actif;1;08/01/2018;;;Procédure centralisée;20;ANDROGENES;G03B
60074432;PERMIXON 160 mg, gélule;Actif;1;07/09/2015;;;Autorisation d'importation parallèle;31;Fruit de palmier de Floride;G04CX02
60074795;OCTAPLASLG, solution pour perfusion;Actif;1;02/02/2016;;;Procédure de reconnaissance mutuelle;21;SUBSTITUTS DU SANG ET FRACTIONS PROTÉIQUES PLASMATIQUES;B05AA
60074934;MYAMBUTOL 1000 mg/10 ml, solution injectable (I.M.-I.V.) en ampoule;Actif;1;30/09/1994;;;Procédure nationale;1;Ethambutol;J04AK02
60075064;BIOXYOL, pâte pour application cutanée;Actif;1;08/12/1997;07/01/1971;;Procédure nationale;1;PRODUITS A BASE DE ZINC;D02AB
60075192;VENLAFAXINE ARROW LP 37,5 mg, gélule à libération prolongée;Actif;1;08/10/2008;;;Procédure nationale;1;Venlafaxine;N06AX16
60075370;FENTANYL ARROW 600 microgrammes, comprimé buccogingival;Actif;1;05/09/2019;;;Procédure décentralisée;32;Fentanyl;N02AB03
60075452;PREGABALINE BIOGARAN 100 mg, gélule;Actif;1;02/12/2015;;;Procédure nationale;1;Prégabaline;N02BF02
60076860;LENALIDOMIDE STRAGEN 20 mg, gélule;Actif;1;11/05/2020;;;Procédure décentralisée;32;Lénalidomide;L04AX04
60077574;CARDENSIEL 2,5 mg, comprimé pelliculé sécable;Actif;1;04/01/2000;;;Procédure de reconnaissance mutuelle;21;Bisoprolol;C07AB07
60078078;LEVONORGESTREL EG 1,5 mg, comprimé;Actif;1;07/03/2014;;;Procédure nationale;1;Lévonorgestrel;G03AD01
60078765;QUETIAPINE ACCORD HEALTHCARE LP 400 mg, comprimé à libération prolongée;Actif;1;04/08/2016;;;Procédure nationale;1;Quétiapine;N05AH04
60079721;PERMIXON 160 mg, gélule;Actif;1;12/04/2016;;;Autorisation d'importation parallèle;31;Fruit de palmier de Floride;G04CX02
60080218;FIVASA 500 mg, suppositoire;Actif;1;06/08/2001;;;Procédure nationale;1;Mésalazine;A07EC02
60080232;VENOFER 20 mg/mL, solution injectable (IV);Actif;1;10/12/1998;;;Procédure nationale;1;FER, PRÉPARATIONS PARENTÉRALES;B03AC
60082023;FERVEXRHUME, comprimé pelliculé;Actif;1;25/04/2018;;;Procédure de reconnaissance mutuelle;21;Paracétamol en association sauf aux psycholeptiques;N02BE51
60082062;COPAXONE 20 mg/ml, solution injectable en seringue préremplie;Actif;1;03/07/2017;;;Procédure de reconnaissance mutuelle;21;Acétate de glatiramère;L03AX13
60082450;IZIXATE 12,5 mg/0,25 mL, solution injectable en stylo injecteur prérempli;Actif;1;28/12/2021;;;Procédure de reconnaissance mutuelle;21;Méthotrexate;L04AX03
60083132;OLANZAPINE ARROW GENERIQUES 10 mg, comprimé orodispersible;Archivé;3;05/06/2009;;12/04/2022;Procédure nationale;1;Olanzapine;N05AH03
60084049;GLUCAGEN 1 mg/ml, poudre et solvant pour solution injectable;Actif;1;04/10/1993;;;Procédure de reconnaissance mutuelle;21;Glucagon;H04AA01
60085553;AMBRISENTAN STRAGEN 10 mg, comprimé pelliculé;Actif;1;04/03/2020;;;Procédure nationale;1;Ambrisentan;C02KX02
60088834;DENTINEA, solution buvable en récipient unidose;Actif;1;23/12/2019;;;Procédure nationale;1;AUTRES PRODUITS THÉRAPEUTIQUES;V03AX
60089217;ZALTRAP 25 mg/ml, solution à diluer pour perfusion;Actif;1;01/02/2013;;;Procédure centralisée;20;Aflibercept;L01XX44
60091086;PARACETAMOL TEVA 500 mg, gélule;Actif;1;03/01/2012;;;Procédure nationale;1;Paracétamol;N02BE01
60092590;SINEMET 250 mg/25 mg, comprimé sécable;Actif;1;26/04/1989;22/05/1974;;Procédure nationale;1;Lévodopa et inhibiteur de la décarboxylase;N04BA02
60092811;DECAPEPTYL L.P. 11,25 mg, poudre et solvant pour suspension injectable (IM ou SC) forme à libération prolongée sur 3 mois;Actif;1;10/02/2020;;;Autorisation d'importation parallèle;31;Triptoréline;L02AE04
60093639;ROPINIROLE BIOGARAN LP 8 mg, comprimé pelliculé à libération prolongée;Actif;1;26/07/2013;;;Procédure nationale;1;Ropinirole;N04BC04
60094125;TRANDOLAPRIL MYLAN 0,5 mg, gélule;Actif;1;28/03/2008;;;Procédure décentralisée;32;Trandolapril;C09AA10
60095056;HEXTRIL 0,1 POUR CENT, pâte dentifrice;Actif;1;22/04/1996;15/10/1974;;Procédure nationale;1;Hexétidine;A01AB12
60095095;IMODIUMLIQUICAPS 2 mg, capsule molle;Actif;1;15/11/2011;;;Procédure nationale;1;Lopéramide;A07DA03
60095526;FOSINOPRIL ZENTIVA 10 mg, comprimé sécable;Actif;1;12/09/2008;;;Procédure nationale;1;Fosinopril;C09AA09
60095729;MAXILASE MAUX DE GORGE ALPHA-AMYLASE 3000 U. CEIP, comprimé enrobé;Actif;1;27/12/1996;27/04/1973;;Procédure nationale;1;AUTRES PRÉPARATIONS POUR LA GORGE;R02AX
60097203;PRAVASTATINE ARROW 10 mg, comprimé sécable;Actif;1;18/12/2012;;;Procédure décentralisée;32;Pravastatine;C10AA03
60097833;DERMOVAL, gel;Actif;1;10/11/1982;;;Procédure nationale;1;Clobétasol;D07AD01
60099738;AMOXICILLINE/ACIDE CLAVULANIQUE ALMUS 500 mg/62,5 mg ADULTES, comprimé pelliculé (rapport amoxicilline/acide clavulanique : 8/1);Actif;1;07/11/2002;;;Procédure nationale;1;Amoxicilline et inhibiteur de bêtalactamases;J01CR02
60100877;BETOPTIC 0,5 POUR CENT, collyre;Actif;1;28/07/1986;;;Procédure nationale;1;Bétaxolol;S01ED02
60101406;AMOXICILLINE KRKA 1 g, comprimé dispersible sécable;Actif;1;22/07/2021;;;Procédure décentralisée;32;Amoxicilline;J01CA04
60105162;GABAPENTINE ZENTIVA 600 mg, comprimé pelliculé;Actif;1;12/12/2006;;;Procédure de reconnaissance mutuelle;21;Gabapentine;N02BF01
60105568;ROPIVACAINE ALTAN 10 mg/mL, solution injectable;Actif;1;16/01/2019;;;Procédure de reconnaissance mutuelle;21;Ropivacaïne;N01BB09
60106606;REFACTO AF 250 UI, poudre et solvant pour solution injectable en seringue préremplie;Actif;1;24/10/2012;;;Procédure centralisée;20;Facteur VIII de coagulation;B02BD02
60106848;DROSPIBEL 0,02 mg/3 mg, comprimé pelliculé;Actif;1;16/12/2011;;;Procédure décentralisée;32;Drospirénone et éthinylestradiol;G03AA12
60106862;APREXEVO 300 mg/5 mg, comprimé pelliculé;Actif;1;14/05/2020;;;Procédure décentralisée;32;Irbésartan et amlodipine;C09DB05
60107747;VERRUFILM, solution pour application locale en flacon;Actif;1;23/06/1995;;;Procédure nationale;1;VERRUCIDES ET CORICIDES;D11AF
60107932;ARKOGELULES CHARBON VEGETAL, gélule;Actif;1;24/07/1997;;;Procédure nationale;1;Charbon médicinal;A07BA01
60108518;OXYCODONE SANDOZ 20 mg, gélule;Actif;1;15/11/2016;;;Procédure nationale;1;Oxycodone;N02AA05
60108678;TERBINAFINE BIOGARAN 250 mg, comprimé sécable;Actif;1;05/04/2006;;;Procédure nationale;1;Terbinafine;D01BA02
60108870;CAPTOPRIL SANDOZ 50 mg, comprimé quadrisécable;Archivé;3;29/07/1999;;18/11/2020;Procédure nationale;1;Captopril;C09AA01
60109303;MUPIROCINE PIERRE FABRE 2%, pommade;Archivé;3;07/12/2016;;25/01/2022;Procédure nationale;1;Mupirocine;D06AX09
60110031;EAU POUR PREPARATIONS INJECTABLES FRESENIUS, solution pour préparation injectable;Actif;1;10/12/1996;24/03/1975;;Procédure nationale;1;SOLVANTS ET DILUANTS, SOLUTIONS D'IRRIGATION INCLUSES;V07AB
60110896;ENTECAVIR ACCORD 0,5 mg, comprimé pelliculé;Actif;1;26/09/2017;;;Procédure centralisée;20;Entécavir;J05AF10
60111101;MAGNESIUM/VITAMINE B6 VIATRIS CONSEIL 48 mg/5 mg, comprimé pelliculé;Actif;1;16/07/2008;;;Procédure nationale;1;MAGNÉSIUM;A12CC
60111197;ACICLOVIR ARROW 800 mg, comprimé;Actif;1;09/07/2002;;;Procédure nationale;1;Aciclovir;J05AB01
60111471;TIORFAN 4 mg/mL NOURRISSONS ET ENFANTS, suspension buvable;Actif;1;09/12/2019;;;Procédure nationale;1;Racécadotril;A07XA04
60111813;ENALAPRIL ZENTIVA 20 mg, comprimé sécable;Actif;1;31/07/2000;;;Procédure de reconnaissance mutuelle;21;Enalapril;C09AA02
60113814;ATORVASTATINE ZYDUS 80 mg, comprimé pelliculé;Actif;1;22/05/2018;;;Procédure nationale;1;Atorvastatine;C10AA05
60116447;GLIMEPIRIDE EG 1 mg, comprimé;Actif;1;06/04/2006;;;Procédure de reconnaissance mutuelle;21;Glimépiride;A10BB12
60116810;PERINDOPRIL ARGININE/INDAPAMIDE BIOGARAN 2,5 mg/0,625 mg, comprimé pelliculé;Actif;1;11/01/2013;;;Procédure nationale;1;Perindopril et diurétiques;C09BA04
60118715;CORTANCYL 1 mg, comprimé;Actif;1;13/11/1991;;;Procédure nationale;1;Prednisone;H02AB07
60120709;ALLOPURINOL SUN 200 mg, comprimé;Actif;1;25/11/1997;;;Procédure nationale;1;Allopurinol;M04AA01
60120812;CAMPTO 20 mg/mL, solution à diluer pour perfusion (IV);Actif;1;05/05/1995;;;Procédure de reconnaissance mutuelle;21;Irinotécan;L01CE02
60122628;CANDESARTAN CRISTERS 8 mg, comprimé sécable;Actif;1;18/05/2012;;;Procédure nationale;1;Candésartan;C09CA06
60122699;DEFERASIROX ZENTIVA 90 mg, comprimé pelliculé;Actif;1;27/05/2020;;;Procédure décentralisée;32;Déférasirox;V03AC03
60122717;SEVELAMER CARBONATE SANDOZ 2,4 g, poudre pour suspension buvable;Actif;1;06/12/2017;;;Procédure décentralisée;32;Sévélamer;V03AE02
