Code_CIS;Code_CIP13;Code_CIP7;Nom_Presentation
69941194;3400930186435;;plaquette(s) PVC polychlortrifluoroéthylène aluminium de 14 gélule(s)
69941194;3400927458040;2745804;plaquette(s) PVC polychlortrifluoroéthylène aluminium de 21 gélule(s)
69940078;3400937806886;3780688;plaquette(s) PVC-Aluminium de 7 gélule(s)
69940007;3400936819054;3681905;plaquette(s) thermoformée(s) PVC-Aluminium de 30 comprimé(s)
69939535;3400930217832;;10 ampoule(s) en verre de 2 ml
69939179;3400930005521;;plaquette(s) polyamide aluminium PVC-Aluminium de 90 comprimé(s)
69939179;3400930005460;;plaquette(s) polyamide aluminium PVC-Aluminium de 30 comprimé(s)
69938682;3400930213988;;10 sachet(s) polytéréphtalate (PET) aluminium polyéthylène de 10 mL
69937648;3400930063453;3006345;2 plaquette(s) thermoformée(s) PVC aluminium de 12  comprimé(s)
69937299;3400936367210;3636721;10 flacon(s) en verre de 20 ml
69937274;3400937809498;3780949;1 cartouche(s) en verre de 60 dose(s) dans stylo jetable
69935992;3400934715563;3471556;plaquette(s) thermoformée(s) aluminium PVC PVDC de 100 * 1 comprimé(s)
69935871;3400937294058;3729405;plaquette(s) PVC-Aluminium de 90 gélule(s)
69935871;3400936818972;3681897;plaquette(s) PVC-Aluminium de 30 gélule(s)
69935063;3400930117408;;1 flacon(s) brun en verre de 30 mg - 1 seringue(s) préremplie(s) en verre de 2 ml avec adaptateur(s) pour flacon avec aiguille(s) sécurisée(s)
69934919;3400939478814;3947881;plaquette(s) thermoformée(s) PVC opaque aluminium de 30 comprimé(s)
69931595;3400933104399;3310439;plaquette(s) PVC-Aluminium de 90 comprimé(s)
69931595;3400933104160;3310416;plaquette(s) PVC-Aluminium de 30 comprimé(s)
69931588;3400932857012;3285701;1 tube(s) aluminium verni de 186 g
69931588;3400931922827;3192282;1 tube(s) aluminium verni de 93 g
69931556;3400955038115;;10 flacon(s) en verre de 20 ml
69930924;3400930253007;;plaquette(s) PVC PVDC aluminium de 90 comprimé(s)
69930924;3400930252994;;plaquette(s) PVC PVDC aluminium de 30 comprimé(s)
69928332;3400935562937;3556293;plaquette(s) thermoformée(s) PVC-aluminium PVDC de 15 comprimé(s)
69925400;3400922096261;2209626;plaquette(s) thermoformée(s) PVC papier polytéréphtalate (PET) aluminium de 20 comprimé(s)
69924355;3400922097381;2209738;plaquette(s) polychlortrifluoroéthylène PVC aluminium de 30 comprimé(s)
69924355;3400922097152;2209715;plaquette(s) polychlortrifluoroéthylène PVC aluminium de 15 comprimé(s)
69923545;3400930024317;;plaquette(s) PVC-Aluminium de 30 comprimé(s)
69923050;3400938339994;3833999;plaquette(s) thermoformée(s) PVC PVDC aluminium de 60 comprimé(s)
69923011;3400938150797;3815079;plaquette(s) thermoformée(s) PVC-Aluminium de 90 gélule(s)
69923011;3400937944953;3794495;plaquette(s) thermoformée(s) PVC-Aluminium de 30 gélule(s)
69922952;3400930060650;;plaquette(s) polyamide aluminium PVC de 84 comprimé(s)
69922952;3400930060629;;plaquette(s) polyamide aluminium PVC de 28 comprimé(s)
69922895;3400939749907;3974990;plaquette(s) thermoformée(s) polyamide aluminium PVC de 30 comprimé(s)
69922564;3400934794407;3479440;plaquette(s) aluminium PVC PVDC de 12 lyophilisat(s) suremballée(s)/surpochée(s)
69922564;3400934794346;3479434;plaquette(s) aluminium PVC PVDC de 6 lyophilisat(s) suremballée(s)/surpochée(s)
69921291;3400958386244;5838624;1 flacon(s) en verre de 45 ml
69919835;3400930084489;;1 flacon(s) en verre de 50 mg
69919810;3400936097018;3609701;1 flacon(s) en verre brun avec compte-gouttes polyéthylène basse densité (PEBD) avec fermeture à témoin d'effraction polyéthylène haute densité (PEHD) de 30 ml
69919792;3400956451449;5645144;Poudre en flacon(s) en verre + 20 ml de solvant flacon(s) en verre avec aiguille(s), une seringue à usage unique (polypropylène) et un nécessaire d'injection + un dispositif de transfert BAXJECT II HI-Flow
69918249;3400926619121;2661912;20 récipient(s) unidose(s) polyéthylène basse densité (PEBD) de 0,5 ml
69918085;3400933851309;3385130;1 flacon(s) compte-gouttes polyéthylène haute densité (PEHD) de 5  ml
69918085;3400930166093;;1 flacon(s) compte-gouttes polyéthylène basse densité (PEBD) de 5 ml
69916757;3400938233865;3823386;plaquette(s) PVC PVDC aluminium de 20 comprimé(s)
69916198;3400939717449;3971744;plaquette(s) PVC-Aluminium de 90 comprimé(s)
69916198;3400939717210;3971721;plaquette(s) PVC-Aluminium de 30 comprimé(s)
69916198;3400930118788;;flacon(s) polyéthylène haute densité (PEHD) de 30 comprimé(s)
69915160;3400934228599;3422859;1 flacon(s) en verre de 1,063  g - 1 ampoule(s) en verre de 5  ml
69913825;3400935133786;3513378;1 flacon(s) polyéthylène de 20 g
69913330;3400956197736;5619773;1 ampoule(s) en verre de 4 ml
69913202;3400941686474;4168647;10 ampoule(s) en verre brun de 10 ml
69912584;3400949004027;;plaquette(s) PVC-Aluminium de 7 gélule(s)
69912100;3400949912001;4991200;plaquette(s) thermoformée(s) aluminium de 90 comprimé(s)
69912100;3400938951158;3895115;plaquette(s) thermoformée(s) aluminium de 30 comprimé(s)
69911774;3400927831997;2783199;plaquette(s) PVC PVDC aluminium de 28 comprimé(s)
69911176;3400930106099;;4 poches en polypropylène SEBS : styrène-éthylène-butylène-styrène copolyester-éther suremballée (s)/surpochée(s) à 3 compartiments (BIOFINE) de 1518 ml
69910715;3400930039106;;flacon(s) polyéthylène haute densité (PEHD) de 100 comprimé(s)
69908842;3400949501168;;1 seringue(s) préremplie(s) en verre de 0,5 ml (Distributeur parallèle : Pharmalab)
69908842;3400949413959;4941395;5 seringue(s) préremplie(s) en verre de 0,5 ml
69908842;3400949413898;4941389;1 seringue(s) préremplie(s) en verre de 0,5 ml
69907338;3400939423692;3942369;1 sachet(s) papier polyéthylène aluminium de 8 g
69905807;3400933105860;3310586;plaquette(s) PVC-Aluminium de 90 comprimé(s)
69905807;3400933105570;3310557;plaquette(s) PVC-Aluminium de 30 comprimé(s)
69905668;3400939853154;3985315;plaquette(s) thermoformée(s) aluminium PVC polyéthylène PVDC de 90 comprimé(s)
69905668;3400939852782;3985278;plaquette(s) thermoformée(s) aluminium PVC polyéthylène PVDC de 30 comprimé(s)
69903585;3400958576331;5857633;1 flacon(s) de poudre en verre - 1 flacon(s) de solvant en polyéthylène basse densité (PEBD) de 100 ml
69903578;3400936698734;3669873;plaquette(s) aluminium de 7 gélule(s)
69902540;3400949004553;;1 ampoule(s) en verre de 1 ml
69902323;3400956030453;5603045;plaquette(s) polyamide aluminium PVC-Aluminium de 50 comprimé(s)
69902323;3400937199384;3719938;plaquette(s) polyamide aluminium PVC-Aluminium de 90 comprimé(s)
69902323;3400934306815;3430681;plaquette(s) polyamide aluminium PVC-Aluminium de 28 comprimé(s)
69901965;3400956155804;5615580;10 ampoule(s) en verre de 0,5 ml
69899592;3400930219232;;plaquette(s) PVC polyéthylène polychlortrifluoroéthylène aluminium de 60 comprimé(s)
69899261;3400930085493;;90 sachet(s) polytéréphtalate (PET) polyéthylène basse densité (PEBD) aluminium
69899083;3400930213674;;plaquette(s) PVC PVDC aluminium de 56 comprimé(s)
69898864;3400930656617;3065661;tube(s) polypropylène de 30 comprimé(s)
69898857;3400921687491;2168749;plaquette(s) PVC PVDC aluminium de 30 comprimé(s)
69896678;3400949394296;4939429;18 sachet(s)-dose(s) papier aluminium polyéthylène
69896201;3400936462403;3646240;12 plaquette(s) PVC-Aluminium de 10 gélule(s)
69896201;3400930626160;3062616;6 plaquette(s) PVC-Aluminium de 10 gélule(s)
69895658;3400934691867;3469186;1 tube(s) aluminium verni de 50 g
69894392;3400956502929;5650292;plaquette(s) thermoformée(s) PVC PVDC aluminium de 50  comprimé(s)
69894392;3400936267114;3626711;plaquette(s) thermoformée(s) PVC PVDC aluminium de 10  comprimé(s)
69894104;3400930088777;;1 flacon(s) en verre de 40 mL
69894054;3400927783760;2778376;28 plaquette(s) PVC PVDC aluminium avec fermeture de sécurité enfant de 1 comprimé(s)
69893582;3400958486111;5848611;plaquette(s) PVC-Aluminium prédécoupées de 30 comprimé(s)
69893582;3400933984281;3398428;plaquette(s) PVC-Aluminium de 30 comprimé(s)
69892263;3400939286945;3928694;plaquette(s) formée(s) à froid aluminium de 21 comprimé(s)
69892263;3400930226711;;plaquette(s) PVC (ACLAR RX) polytrifluorochloroéthylène aluminium de 21 comprimé(s)
69890458;3400955054627;;1 flacon(s) en verre de 15 ml
69890344;3400949003150;4900315;plaquette(s) thermoformée(s) PVC-Aluminium de 28 comprimé(s)
69890052;3400956451210;5645121;1 flacon(s) en verre - 1 ampoule(s) en verre
69888457;3400932179060;3217906;plaquette(s) thermoformée(s) PVC PVDC aluminium de 20 comprimé(s)
69888044;3400937856225;3785622;plaquette(s) aluminium de 90 comprimé(s)
69888044;3400937403702;3740370;plaquette(s) aluminium de 30 comprimé(s)
69886424;3400930147566;;16 plaquette(s) PVC-Aluminium de 1 gélule(s)
69886260;3400935571113;3557111;10 flacon(s) en verre de 750 mg
69884932;3400949974092;4997409;2 tube(s) polypropylène de 10 comprimé(s)
69884544;3400933562175;3356217;1 tube(s) aluminium verni de 30 g
69883296;3400934887819;3488781;1 flacon(s) en verre brun de 180 ml
69882956;3400930227909;;1 flacon(s) polyéthylène haute densité (PEHD) avec fermeture de sécurité enfant de 28 gélule(s)
69880873;3400927815850;2781585;1 pilulier(s) polypropylène de 30 comprimé(s)
69880154;3400930131589;;1 tube aluminium verni de 30 g avec canule polyéthylène basse densité (PEBD) amovible
69880154;3400930088876;3008887;1 tube(s) aluminium de 30 g ( abrogée le 24/04/2018)
69879561;3400930248898;;plaquette(s) PVC aluminium de 90 comprimé(s)
69879561;3400930248836;;plaquette(s) PVC aluminium de 30 comprimé(s)
69878363;3400930246900;;1 flacon en verre de 5 mL
69877717;3400937850889;3785088;plaquette(s) PVC-Aluminium de 90 comprimé(s)
69877717;3400937850711;3785071;plaquette(s) PVC-Aluminium de 30 comprimé(s)
69875082;3400938501995;3850199;1 flacon(s) polyéthylène haute densité (PEHD) de 100 ml avec seringue(s) pour administration orale
69874361;3400934185564;3418556;1 flacon(s) en verre brun de 150 ml avec cuillère-mesure polystyrène
69873754;3400930157558;;1 flacon(s) polyéthylène haute densité (PEHD) avec fermeture de sécurité enfant de 60 comprimé(s)
69872677;3400938109986;3810998;plaquette(s) aluminium de 28 gélule(s)
69872677;3400938109757;3810975;plaquette(s) aluminium de 14 gélule(s)
69872677;3400938109696;3810969;plaquette(s) aluminium de 7 gélule(s)
69871995;3400949005086;;tube(s) polypropylène de 30  comprimé(s)
69871956;3400930188873;;30 plaquette(s) OPA : polyamide orienté aluminium PVC-Aluminium de 1 comprimé(s)
69871657;3400935478511;3547851;3 flacon(s) en verre avec applicateur de 60 ml
69871575;3400949393527;4939352;plaquette(s) formée(s) à froid aluminium de 12 comprimé(s)
69871575;3400949393237;4939323;plaquette(s) formée(s) à froid aluminium de 6 comprimé(s)
69870854;3400939438771;3943877;30 ampoule(s) en verre brun de 2 ml
69869147;3400938128628;3812862;2 poche(s) polyoléfine de 5000 ml bicompartimenté(e)(s)/à 2 compartiments suremballée(s)/surpochée(s)
69869122;3400936510869;3651086;1 flacon(s) en verre - 1 seringue(s) préremplie(s) en verre de 2,5 ml avec 2 aiguille(s)
69869122;3400930021484;;1 flacon(s) en verre - 1 seringue(s) préremplie(s) en verre de 2 ml avec adaptateur(s) pour flacon avec aiguille(s) d'injection sécurisée(s)
69869001;3400930149225;;plaquettes PVC PVDC aluminium de 90 gélules
69868248;3400937856164;3785616;plaquette(s) aluminium de 90 comprimé(s)
69868248;3400937402989;3740298;plaquette(s) aluminium de 30 comprimé(s)
69867865;3400939628110;3962811;3 plaquette(s) thermoformée(s) aluminium polyamide PVC de 10 comprimé(s)
69867826;3400938598520;3859852;plaquette(s) PVC-Aluminium de 90 comprimé(s)
69867826;3400938598179;3859817;plaquette(s) PVC-Aluminium de 30 comprimé(s)
69867452;3400939069593;3906959;12 sachet(s)-dose(s) papier aluminium polyéthylène
69865070;3400932592999;3259299;1 tube(s) aluminium verni de 80 g
69865070;3400930067826;3006782;1 tube(s) aluminium verni de 40 g
69865024;3400930545805;3054580;plaquette(s) thermoformée(s) PVC PVDC aluminium de 75 comprimé(s)
69864424;3400936806795;3680679;1 flacon(s) en verre brun de 20 comprimé(s)
69864367;3400930910849;3091084;1 flacon(s) polyéthylène basse densité (PEBD) de 24 ml
69863646;3400956116652;5611665;plaquette(s) polyamide PVC-Aluminium de 50 comprimé(s) (sans indication des jours - avec ou sans prédécoupage)
69863646;3400934614118;3461411;plaquette(s) polyamide PVC-Aluminium de 28 comprimé(s) (avec ou sans indication des jours)
69862722;3400957679828;5767982;1 flacon(s) en verre brun de 25 ml
69862722;3400957679767;5767976;1 flacon(s) en verre brun de 15 ml
69862722;3400957515096;5751509;1 flacon(s) en verre brun de 5 ml
69862722;3400957514907;5751490;1 flacon(s) en verre brun de 2 ml
69862028;3400930180235;;plaquette(s) PVC polyéthylène PVDC aluminium de 30 gélule(s)
69861990;3400930693117;3069311;1 flacon(s) polyéthylène de 50  comprimé(s)
69860739;3400930132173;;plaquette(s) PVC aluminium avec fermeture de sécurité enfant de 28 comprimé(s)
69859092;3400932851218;3285121;plaquette(s) thermoformée(s) PVC-Aluminium de 30  comprimé(s)
69858631;3400930215227;;1 flacon(s) polyéthylène haute densité (PEHD) avec fermeture de sécurité enfant de 30 comprimé(s)
69858332;3400930001042;;10 seringue(s) préremplie(s) polypropylène de 10 mL
69857586;3400936665736;3666573;1 flacon(s) en verre brun de 36 g avec cuillère-mesure polypropylène
69857522;3400955075622;;1 flacon(s) en verre de 100 mg
69857248;3400931492405;3149240;plaquette(s) thermoformée(s) PVC-Aluminium de 30  comprimé(s)
69856153;3400926776985;2677698;plaquette(s) thermoformée(s) PVC-Aluminium de 28 comprimé(s)
69855628;3400930102596;;1 flacon(s) polyéthylène haute densité (PEHD) avec fermeture de sécurité enfant de 100 comprimé(s)
69855489;3400936572843;3657284;plaquette(s) thermoformée(s) PVC PVDC aluminium de 30 comprimé(s)
69855425;3400941529597;4152959;plaquette(s) thermoformée(s) PVC PVDC aluminium de 28 comprimé(s)
69855350;3400930188330;;1 flacon(s) en verre de 40 mg
69854597;3400958682520;5868252;1 flacon(s) en verre
69854405;3400930191521;;1 flacon(s) polyéthylène haute densité (PEHD) avec fermeture de sécurité enfant de 180 comprimé(s)
69854234;3400938574685;3857468;2 poche(s) polyoléfine de 5000 ml bicompartimenté(e)(s)/à 2 compartiments suremballée(s)/surpochée(s) - Système Sleep Safe
69854234;3400936008878;3600887;4 poche(s) polyoléfine de 3000 ml bicompartimenté(e)(s)/à 2 compartiments suremballée(s)/surpochée(s) - Système Sleep Safe
69854234;3400936008649;3600864;4 poche(s) polyoléfine de 2500 ml bicompartimenté(e)(s)/à 2 compartiments avec connecteur(s) suremballée(s)/surpochée(s) - Système Stay Safe
69854234;3400936008588;3600858;4 poche(s) polyoléfine de 2000 ml bicompartimenté(e)(s)/à 2 compartiments avec connecteur(s) suremballée(s)/surpochée(s) - Système Stay Safe
69851117;3400927625992;2762599;flacon(s) polyéthylène haute densité (PEHD) de 28 gélule(s)
69850613;3400934746901;3474690;4 plaquette(s) PVC de 14 gélule(s)
69849486;3400939118314;3911831;plaquette(s) polyamide aluminium PVC-Aluminium de 30 comprimé(s)
69849244;3400930126929;;12 seringue(s) préremplie(s) en verre de 1 ml
69848594;3400930255131;;plaquette(s) aluminium de 30 comprimé(s)
69847994;3400938081459;3808145;1 flacon(s) en verre - 1 ampoule(s) en verre de 2 ml avec 1 seringue(s) polypropylène avec 2 aiguille(s)
69847791;3400955421832;5542183;plaquette(s) PVC-Aluminium de 100 comprimé(s)
69847791;3400932644490;3264449;plaquette(s) PVC-Aluminium de 30 comprimé(s)
69847599;3400949926367;4992636;plaquette(s) thermoformée(s) PVC-Aluminium de 30 comprimé(s)
69847599;3400949926138;4992613;plaquette(s) thermoformée(s) PVC-Aluminium de 20 comprimé(s)
69847581;3400933167035;3316703;1 tube(s) aluminium verni de 50 g
69847318;3400930042489;;2 seringue(s) préremplie(s) en verre de 0,4 ml avec 2 tampon(s) alcoolisé(s) avec aiguille(s)
69847275;3400941902109;4190210;flacon(s) polyéthylène de 30 gélule(s)
69847275;3400934410642;3441064;plaquette(s) aluminium de 30 gélule(s)
69847275;3400934410413;3441041;plaquette(s) aluminium de 15 gélule(s)
69847122;3400935783141;3578314;10 flacon(s) en verre de 2 ml
69846255;3400930203736;;plaquette(s) PVC-Aluminium de 60 comprimé(s)
69846180;3400939240350;3924035;plaquette(s) thermoformée(s) PVC PVDC aluminium de 60 capsule(s)
69846180;3400939240299;3924029;plaquette(s) thermoformée(s) PVC PVDC aluminium de 30 capsule(s)
69846102;3400927653629;2765362;plaquette(s) polyamide aluminium PVC-Aluminium de 90 comprimé(s)
69846102;3400927653568;2765356;plaquette(s) polyamide aluminium PVC-Aluminium de 30 comprimé(s)
69841984;3400930039663;;plaquette(s) PVC PVDC aluminium de 24 pastille(s)
69841906;3400926789015;2678901;flacon(s) polyéthylène haute densité (PEHD) avec fermeture de sécurité enfant de 30 comprimé(s)
69840487;3400941656958;4165695;plaquette(s) PVC-Aluminium de 60 comprimé(s)
