CodeUCD;CodeCIP;LibelleUCD;LibelleCIP;Laboratoire;Qte;CodeUCD13;CodeCIP13;Type autorisation 1;Type autorisation 2;Date de commercialisation;Date de suppression;Quantité conditionnement Primaire;Unité conditionnement primaire
9000072;3019084;FEBUXOSTAT ZYD 80MG CPR;FEBUXOSTAT ZYD 80MG CPR BT28;ZYDUS FRANCE;28;3400890000727;3400930190845;AMM;AMM de générique;30/04/2020;13/07/2021;;
9000073;3019079;IBUPROFENE EVP 400MG CPR;IBUPROFENE EVP 400MG CPR BT20;EVOLUPHARM;20;3400890000734;3400930190791;AMM;AMM de générique;21/02/2022;;;
9000073;3019080;IBUPROFENE EVP 400MG CPR;IBUPROFENE EVP 400MG CPR BT30;EVOLUPHARM;30;3400890000734;3400930190807;AMM;AMM de générique;25/01/2023;;;
9000074;3015119;MOMETASONE VIA 50µG NAS 140D;MOMETASONE VIA 50µG NAS 140D 1;VIATRIS SANTE;1;3400890000741;3400930151198;AMM;AMM de générique;29/10/2021;;18;g
9000075;3016785;ZORYON 10MG GELU;ZORYON 10MG GELU BT7;BOUCHARA-RECORD;7;3400890000758;3400930167854;AMM;;27/08/2020;;;
9000076;3016790;ZORYON 10MG/7,5ML SIR FL;ZORYON 10MG/7,5ML SIR FL 1;BOUCHARA-RECORD;1;3400890000765;3400930167908;AMM;;27/08/2020;;;
9000077;3016791;ZORYON 20MG GELU;ZORYON 20MG GELU BT7;BOUCHARA-RECORD;7;3400890000772;3400930167915;AMM;;27/08/2020;;;
9000078;3016796;ZORYON 20MG/15ML SIR FL;ZORYON 20MG/15ML SIR FL 1;BOUCHARA-RECORD;1;3400890000789;3400930167960;AMM;;27/08/2020;;;
9000079;3016797;ZORYON 40MG GELU;ZORYON 40MG GELU BT7;BOUCHARA-RECORD;7;3400890000796;3400930167977;AMM;;27/08/2020;;;
9000080;3016802;ZORYON 40MG/15ML SIR FL;ZORYON 40MG/15ML SIR FL 1;BOUCHARA-RECORD;1;3400890000802;3400930168028;AMM;AMM de générique;27/08/2020;;;
9000081;3016780;ZORYON 5MG GELU;ZORYON 5MG GELU BT7;BOUCHARA-RECORD;7;3400890000819;3400930167809;AMM;;27/08/2020;;;
9000082;3016784;ZORYON 5MG/3,75ML SIR FL;ZORYON 5MG/3,75ML SIR FL 1;BOUCHARA-RECORD;1;3400890000826;3400930167847;AMM;;27/08/2020;;;
9000084;4946317;LIPPIZA 1MG CPR;LIPPIZA 1MG CPR BT30;BOUCHARA-RECORD;30;3400890000840;3400949463176;AMM;;01/04/2020;;;
9000085;4946352;LIPPIZA 2MG CPR;LIPPIZA 2MG CPR BT30;BOUCHARA-RECORD;30;3400890000857;3400949463527;AMM;;01/04/2020;;;
9000086;4946398;LIPPIZA 4MG CPR;LIPPIZA 4MG CPR BT30;BOUCHARA-RECORD;30;3400890000864;3400949463985;AMM;;01/04/2020;;;
9000087;4946205;TROLISE 1MG CPR;TROLISE 1MG CPR BT30;BOUCHARA-RECORD;30;3400890000871;3400949462056;AMM;;01/04/2020;;;
9000089;4946234;TROLISE 2MG CPR;TROLISE 2MG CPR BT30;BOUCHARA-RECORD;30;3400890000895;3400949462346;AMM;;01/04/2020;;;
9000090;4946286;TROLISE 4MG CPR;TROLISE 4MG CPR BT30;BOUCHARA-RECORD;30;3400890000901;3400949462865;AMM;;01/04/2020;;;
9000091;3018253;DEFERIPRONE LIP 500MG CPR;DEFERIPRONE LIP 500MG CPR B100;LIPOMED;100;3400890000918;3400930182536;AMM européenne;AMM de générique;24/03/2023;;;
9000093;5507252;IRINOTECAN ACC 20MG/ML FL50ML;IRINOTECAN ACC 20MG/ML FL50ML1;ACCORD HEAL.FRA;1;3400890000932;3400955072522;AMM;AMM de générique;05/10/2021;;50;mL
9000095;3020481;CINACALCET ACP 30MG CPR;CINACALCET ACP 30MG CPR BT28;ACCORD HEAL.FRA;28;3400890000956;3400930204818;AMM européenne;AMM de générique;20/10/2020;;;
9000096;3020482;CINACALCET ACP 60MG CPR;CINACALCET ACP 60MG CPR BT28;ACCORD HEAL.FRA;28;3400890000963;3400930204825;AMM européenne;AMM de générique;20/10/2020;;;
9000097;3020483;CINACALCET ACP 90MG CPR;CINACALCET ACP 90MG CPR BT28;ACCORD HEAL.FRA;28;3400890000970;3400930204832;AMM européenne;AMM de générique;20/10/2020;;;
9000098;3020499;AZACITIDINE MYL 25MG/ML INJ F;AZACITIDINE MYL 25MG/ML INJ F1;VIATRIS SANTE;1;3400890000987;3400930204993;AMM européenne;AMM de générique;09/09/2020;;;
9000099;5506620;MVASI 25MG/ML PERF FL16ML;MVASI 25MG/ML PERF FL16ML 1;AMGEN SAS;1;3400890000994;3400955066200;AMM européenne;Bio similaire;25/06/2020;;16;mL
9000100;5506619;MVASI 25MG/ML PERF FL4ML;MVASI 25MG/ML PERF FL4ML 1;AMGEN SAS;1;3400890001007;3400955066194;AMM européenne;Bio similaire;25/06/2020;;4;mL
9000101;3018195;PRONTADOL AD.500MG/50MG CPR;PRONTADOL AD.500MG/50MG CPR 16;IPSEN CONS.HEAL;16;3400890001014;3400930181959;AMM;;15/04/2020;;;
9000103;3020396;LYUMJEV 100U/ML INJ CART.3ML;LYUMJEV 100U/ML INJ CART.3ML 5;LILLY FRANCE;5;3400890001038;3400930203965;AMM européenne;;30/11/2020;;3;mL
9000104;3020392;LYUMJEV 100U/ML INJ FL10ML;LYUMJEV 100U/ML INJ FL10ML 1;LILLY FRANCE;1;3400890001045;3400930203927;AMM européenne;;30/11/2020;;10;mL
9000105;3020400;LYUMJEV 100U/ML JUN. KWIKPEN;LYUMJEV 100U/ML JUN. KWIKPEN 5;LILLY FRANCE;5;3400890001052;3400930204009;AMM européenne;;30/11/2020;;3;mL
9000107;3020402;LYUMJEV 200U/ML KWIKPEN STYLO;LYUMJEV 200U/ML KWIKPEN STYLO5;LILLY FRANCE;5;3400890001076;3400930204023;AMM européenne;;30/11/2020;;3;mL
9000108;4902461;OMACOR CAPS AIP PLA ES;OMACOR CAPS AIP PLA ES FL28;PHARMA LAB;28;3400890001083;3400949024612;Autorisation d’importation parallèle;;10/04/2020;;;
9000109;3018758;ACICLOVIR AGA 3% POM OPHT 4,5G;ACICLOVIR AGA 3% POM OPHT 4,5G;MEDIPHA SANTE;1;3400890001090;3400930187586;AMM;AMM de générique;26/12/2020;;4.5;g
9000110;4969910;BENZYDAMINE ACR 3MG EUC PAST;BENZYDAMINE ACR 3MG EUC PAST20;ACRAF;20;3400890001106;3400949699100;AMM;;09/03/2023;10/03/2023;;
9000111;4969695;BENZYDAMINE ACR 3MG ORA PAST;BENZYDAMINE ACR 3MG ORA PAST20;ACRAF;20;3400890001113;3400949696956;AMM;;09/03/2023;10/03/2023;;
9000113;3627751;OXYGENE MED ALR BOUT 2L;OXYGENE MED ALR BOUT 2L;AIR LIQ.REUNION;1;3400890001137;3400936277519;AMM;;01/03/2023;;2;L
9000114;5501256;OXYGENE MED ALR BOUT5L+M.TIPI;OXYGENE MED ALR BOUT5L+M.TIPI;AIR LIQ.REUNION;1;3400890001144;3400955012566;AMM;;07/03/2023;;5;L
9000115;3757726;OXYGENE MED ALR BOUT ALU3L+MAN;OXYGENE MED ALR BOUT ALU3L+MAN;AIR LIQ.REUNION;1;3400890001151;3400937577267;AMM;;07/03/2023;;3;L
9000116;3994432;OXYGENE MED BTG BOUT 15L+MAN.;OXYGENE MED BTG BOUT 15L+MAN.;B.T.G.;1;3400890001168;3400939944326;AMM;;07/03/2023;;15;L
9000117;3757778;OXYGENE MED SOGA BOUT 3L+MAN.;OXYGENE MED SOGA BOUT 3L+MAN.;AIR LIQ.SAN INT;1;3400890001175;3400937577786;AMM;;07/03/2023;;3;L
9000118;3677944;OXYGENE MED SOGA BOUT 3,5L;OXYGENE MED SOGA BOUT 3,5L;AIR LIQ.SAN INT;1;3400890001182;3400936779440;AMM;;07/03/2023;;3.5;L
9000120;3677950;OXYGENE MED SOGA BOUT 4L;OXYGENE MED SOGA BOUT 4L;AIR LIQ.SAN INT;1;3400890001205;3400936779501;AMM;;07/03/2023;;4;L
9000121;3677619;OXYGENE MED AAG BOUT 2L+MAN.;OXYGENE MED AAG BOUT 2L+MAN.;AIR LIQ ANT GUY;1;3400890001212;3400936776197;AMM;;07/03/2023;;2;L
9000122;3887943;SOLUPRICK CONTROLE- TEST FL2ML;SOLUPRICK CONTROLE- TEST FL2ML;ALK ABELLO;1;3400890001229;3400938879438;AMM;;20/10/2020;;2;mL
9000123;3887937;SOLUPRICK CONTROLE+ TEST FL2ML;SOLUPRICK CONTROLE+ TEST FL2ML;ALK ABELLO;1;3400890001236;3400938879377;AMM;;16/10/2020;;2;mL
9000124;3890247;SOLUPRICK SQ 10HEP TEST FL2ML;SOLUPRICK SQ 10HEP TEST FL2ML;ALK ABELLO;1;3400890001243;3400938902471;AMM;;16/10/2020;;2;mL
9000125;3016225;VISTABEL 4U ALLERGAN INJ 100UI;VISTABEL 4U ALLERGAN INJ 100UI;ABBVIE;1;3400890001250;3400930162255;AMM;;10/09/2020;;100;[iU]
9000126;3888925;AVENA SATIVA TM BOIR ORAL 60ML;AVENA SATIVA TM BOIR ORAL 60ML;BOIRON;1;3400890001267;3400938889253;AMM;;18/01/2021;;60;mL
9000128;2214366;DOLENIO 393MG CPR;DOLENIO 393MG CPR BT90;BIOCODEX;90;3400890001281;3400922143668;AMM;AMM de générique;13/04/2023;14/04/2023;;
9000129;4971605;HINARTUM CR TB100G;HINARTUM CR TB100G;CHAUVIN;1;3400890001298;3400949716050;AMM;;31/03/2023;01/04/2023;100;g
9000130;4971692;HINARTUM CR TB50G;HINARTUM CR TB50G;CHAUVIN;1;3400890001304;3400949716920;AMM;;31/03/2023;01/04/2023;50;g
9000132;3009077;HIPPOVENO CPR;HIPPOVENO CPR BT40;MEDIPHA SANTE;40;3400890001328;3400930090770;AMM;;21/02/2023;;;
9000133;3005557;PASSIFLORA INCARN. TM BOIR60ML;PASSIFLORA INCARN. TM BOIR60ML;BOIRON;1;3400890001335;3400930055571;AMM;;18/01/2021;;60;mL
9000134;3441118;CALCIGAUROL 500MG CPR;CALCIGAUROL 500MG CPR TB20X3;ELERTE;60;3400890001342;3400934411182;AMM;;29/11/2021;;;
9000135;3488025;CALCIGAUROL D3 500MG CPR;CALCIGAUROL D3 500MG CPR 60X1;ELERTE;60;3400890001359;3400934880254;AMM;;29/11/2021;;;
9000136;3671551;DEXTROMET.ELR SIR FV125ML;DEXTROMET.ELR SIR FV125ML;ELERTE;1;3400890001366;3400936715516;AMM;;13/04/2023;;125;mL
9000137;5502430;ESTROTEP 500MBQ/ML INJ FL10ML;ESTROTEP 500MBQ/ML INJ FL10ML1;ZIONEXA;1;3400890001373;3400955024309;AMM;;07/02/2023;;10;mL
9000138;4969519;GELISTROL 50µG/G VAG 30G+30CAN;GELISTROL 50µG/G VAG 30G+30CAN;EFFIK;1;3400890001380;3400949695195;AMM;;12/04/2023;21/06/2022;30;g
9000139;3006083;HEDETUS SIR FL200ML;HEDETUS SIR FL200ML 1;CONFORMA;1;3400890001397;3400930060834;AMM;AMM de générique;21/02/2023;;200;mL
9000140;3008160;LAEVOLAC PRUN 10G/15ML BUV S;LAEVOLAC PRUN 10G/15ML BUV S10;FRESENIUS K.AUS;10;3400890001403;3400930081600;AMM;AMM de générique;21/02/2023;;15;mL
9000141;2765480;ORABLOC ADR.1/100 C.1,8ML;ORABLOC ADR.1/100 C.1,8ML 50;MEDIPHA SANTE;50;3400890001410;3400927654800;AMM;AMM de générique;23/03/2023;;1.8;mL
9000141;2765497;ORABLOC ADR.1/100 C.1,8ML;ORABLOC ADR.1/100 C.1,8ML 100;MEDIPHA SANTE;100;3400890001410;3400927654978;AMM;AMM de générique;23/03/2023;;1.8;mL
9000142;2765505;ORABLOC ADR.1/200 C.1,8ML;ORABLOC ADR.1/200 C.1,8ML 50;MEDIPHA SANTE;50;3400890001427;3400927655050;AMM;AMM de générique;23/03/2023;;1.8;mL
9000142;2765511;ORABLOC ADR.1/200 C.1,8ML;ORABLOC ADR.1/200 C.1,8ML 100;MEDIPHA SANTE;100;3400890001427;3400927655111;AMM;AMM de générique;23/03/2023;;1.8;mL
9000143;3010023;TADALAFIL EVO 10MG CPR;TADALAFIL EVO 10MG CPR BT4;EVOLUPHARM;4;3400890001434;3400930100233;AMM;AMM de générique;01/07/2022;;;
9000144;3010026;TADALAFIL EVO 20MG CPR;TADALAFIL EVO 20MG CPR BT4;EVOLUPHARM;4;3400890001441;3400930100264;AMM;AMM de générique;01/07/2022;;;
9000144;3010027;TADALAFIL EVO 20MG CPR;TADALAFIL EVO 20MG CPR BT8;EVOLUPHARM;8;3400890001441;3400930100271;AMM;AMM de générique;01/07/2022;;;
9000145;3010020;TADALAFIL EVO 5MG CPR;TADALAFIL EVO 5MG CPR BT28;EVOLUPHARM;28;3400890001458;3400930100202;AMM;AMM de générique;01/07/2022;;;
9000147;3600829;DPCA3 DIA.PER. STS3000ML;DPCA3 DIA.PER. STS3000ML 4;FRESENIUS M.CAF;4;3400890001472;3400936008298;AMM;;16/03/2023;;3000;mL
9000149;2790176;PONAXEM 500MG PERF FL;PONAXEM 500MG PERF FL 10;SUBSTIPHARM;10;3400890001496;3400927901768;AMM;AMM de générique;30/03/2023;11/01/2021;;
9000150;3019114;SERTACONAZOLE SSP 300MG OV;SERTACONAZOLE SSP 300MG OV BT1;SUBSTIPHARM;1;3400890001502;3400930191149;AMM;AMM de générique;30/03/2023;;;
9000150;3019115;SERTACONAZOLE SSP 300MG OV;SERTACONAZOLE SSP 300MG OV BT2;SUBSTIPHARM;2;3400890001502;3400930191156;AMM;AMM de générique;30/03/2023;;;
9000151;3003700;ALVERINE/SIM.MYS 60/300 CAPS;ALVERINE/SIM.MYS 60/300 CAPS20;MAYOLY-SPINDLER;20;3400890001519;3400930037003;AMM;AMM de générique;;09/03/2023;;
9000152;3003959;CADELIUS 600MG/1000UI C.DISP;CADELIUS 600MG/1000UI C.DISP30;ITALFARMACO;30;3400890001526;3400930039595;AMM;AMM de générique;17/02/2023;;;
9000153;3941200;CHLORHEX/CHLOROBUT.LTY 200ML;CHLORHEX/CHLOROBUT.LTY 200ML 1;H2 PHARMA;1;3400890001533;3400939412009;AMM;AMM de générique;15/03/2023;;200;mL
9000155;3003992;DEMILOS 600MG/1000UI C.DISP;DEMILOS 600MG/1000UI C.DISP 30;ITALFARMACO;30;3400890001557;3400930039922;AMM;AMM de générique;20/02/2023;;;
9000157;3540091;QUININE REN 245MG INJ A.2ML;QUININE REN 245MG INJ A.2ML 10;RENAUDIN;10;3400890001571;3400935400918;AMM;;03/04/2023;;2;mL
9000158;5640879;CLOXACILLINE PAN 500MG INJ F;CLOXACILLINE PAN 500MG INJ F25;PANPHARMA;25;3400890001588;3400956408795;AMM;;04/04/2023;05/04/2023;;
9000159;3502653;GLUCOVANCE 1000MG/5MG CPR;GLUCOVANCE 1000MG/5MG CPR 30;MERCK SERONO;30;3400890001595;3400935026538;AMM;;30/11/2021;;;
9000162;2195835;ORAVERSE 400µG INJ C.1,7ML;ORAVERSE 400µG INJ C.1,7ML 10;NOVALAR LIMITED;10;3400890001625;3400921958355;AMM;AMM de générique;17/02/2023;;1.7;mL
9000164;3440573;ALYOSTAL PRICK CONTROLE- FL3ML;ALYOSTAL PRICK CONTROLE- FL3ML;STALLERGENES;1;3400890001649;3400934405730;AMM;;07/03/2023;;3;mL
