Code_Substance;Code_SMS;Lib_Pref_Fran;Lib_Pref_Anglais;Date_Crea_Substance;Date_Modif_Substance
00568;100000092317;lévomenthol;;08/07/1997;08/06/2009
00569;100000088443;bumétanide;;08/07/1997;02/07/2008
00582;100000080898;mitomycine;;08/07/1997;06/09/2011
00585;100000090494;morphine (chlorhydrate de);;08/07/1997;19/09/2011
00587;100000092793;cimétidine;;08/07/1997;29/09/2008
00588;100000081126;promestriène;;08/07/1997;16/12/2010
00589;100000084424;myrtécaïne;;08/07/1997;13/07/2011
00594;100000092659;flurbiprofène;;08/07/1997;17/04/2009
00597;NA;riboflavine (phosphate sodique de) dihydraté;;08/07/1997;
00602;100000090114;miansérine (chlorhydrate de);;08/07/1997;04/10/2011
00604;100000079258;disopyramide (phosphate de);;08/07/1997;03/03/2023
00608;100000091344;phénol;;08/07/1997;10/01/2011
00609;NA;tuberculine (dérivé protéinique purifié de);;08/07/1997;
00610;100000092416;phénylalanine;;08/07/1997;20/11/1998
00614;100000091516;clobétasol (propionate de);;08/07/1997;23/10/2008
00616;100000078599;quinine;;08/07/1997;26/04/2013
00617;100000088916;sulfadiazine argentique;;08/07/1997;03/11/2010
00618;100000090455;quinine (chlorhydrate de);;08/07/1997;13/12/2010
00620;100000092616;quinidine;;08/07/1997;24/04/2013
00622;100000076424;rétinol;;08/07/1997;20/11/1998
00626;100000091629;salbutamol;;08/07/1997;02/07/2013
00628;100000089624;cétylpyridinium (chlorure de);;08/07/1997;24/09/2008
00629;100000084137;sérine;;08/07/1997;20/11/1998
00630;100000088389;piribédil (mésilate de);;08/07/1997;27/12/2010
00631;100000089838;acétate de sodium trihydraté;;08/07/1997;29/11/2011
00633;NA;citrate monosodique;;08/07/1997;29/11/2010
00637;100000088054;sodium (benzoate de);;08/07/1997;29/11/2010
00640;100000086759;sorbitol;;08/07/1997;12/11/2010
00641;100000091288;tixocortol (pivalate de);;08/07/1997;11/10/2010
00651;100000079907;terpine;;08/07/1997;18/11/2009
00655;100000076988;théophylline monohydratée;;08/07/1997;18/10/2010
00658;100000092365;thréonine;;08/07/1997;20/11/1998
00659;100000091776;thymol;;08/07/1997;18/10/2010
00663;100000092217;titane (dioxyde de);;08/07/1997;11/10/2010
00670;100000076939;trimébutine;;08/07/1997;04/10/2010
00674;100000088246;L-tryptophane;;08/07/1997;20/11/1998
00675;100000092422;valine;;08/07/1997;20/11/1998
00676;100000089664;vaseline;;08/07/1997;17/09/2012
00678;100000092049;warfarine sodique;;08/07/1997;20/09/2010
00682;100000092488;mesna;;08/07/1997;10/10/2011
00688;100000087110;lactique (acide);;08/07/1997;16/11/2011
00690;100000090038;salicylique (acide);;08/07/1997;01/12/2010
00702;100000077812;stanneux (fluorure);;08/07/1997;05/07/2013
00706;100000092074;clotrimazole;;08/07/1997;03/09/2015
00708;100000092204;chlorhexidine (diacétate de);;08/07/1997;22/09/2008
00712;100000124486;aprotinine ;;08/07/1997;20/11/1998
00713;100000082091;étoposide;;08/07/1997;06/04/2009
00726;100000089920;métoclopramide (chlorhydrate de);;08/07/1997;18/04/2013
00731;100000078857;almitrine (mésilate d');;08/07/1997;09/06/2008
00738;100000087521;dobutamine (chlorhydrate de);;08/07/1997;17/02/2023
00744;100000080090;cinchonidine;;08/07/1997;03/04/2013
00746;NA;N,S-diacétylcystéinate de méthyle;;08/07/1997;16/02/2023
00751;100000089805;virus de la fièvre jaune, souche 17D-204 (vivant, atténué) ;;08/07/1997;11/05/2009
00756;100000079819;colophane;;08/07/1997;
00760;NA;créosote officinale;;08/07/1997;16/02/2023
00762;100000091183;aténolol;;08/07/1997;19/06/2008
00767;NA;cholique (acide);;08/07/1997;12/06/2014
00769;100000092048;diosmine;;08/07/1997;
00772;NA;céfoxitine sodique;;08/07/1997;13/08/2008
00773;100000085172;hydrocortisone (butyrate d');;08/07/1997;12/12/2011
00783;100000091045;ticlopidine (chlorhydrate de);;08/07/1997;08/10/2010
00788;100000090311;amitriptyline (chlorhydrate d');;08/07/1997;13/06/2008
00812;100000090335;baclofène;;08/07/1997;20/06/2008
00817;100000092797;diflucortolone (valérate de);;08/07/1997;17/02/2009
00819;100000092651;indapamide;;08/07/1997;06/12/2011
00823;100000091768;kétoprofène;;08/07/1997;01/12/2011
00829;100000091839;loxapine (succinate de);;08/07/1997;09/11/2011
00831;100000080143;manganèse (sulfate de) monohydraté;;08/07/1997;03/03/2023
00832;100000090187;isoconazole (nitrate d');;08/07/1997;17/01/2012
00836;100000091559;dantrolène sodique;;08/07/1997;
00837;100000090429;céfamandole (nafate de);;08/07/1997;12/08/2008
00842;100000090371;nifédipine;;08/07/1997;05/07/2011
00855;100000091779;citrate de potassium;;08/07/1997;30/12/2010
00857;100000076691;vératrole;;08/07/1997;27/09/2010
00859;100000091039;prazosine (chlorhydrate de);;08/07/1997;14/12/2010
00861;NA;naloxone (chlorhydrate de) anhydre;;08/07/1997;04/02/2016
00862;100000127603;Lactobacillus casei;;08/07/1997;
00866;100000080778;domiphène (bromure de);;08/07/1997;01/07/2008
00872;100000090113;amoxicilline sodique;;08/07/1997;17/06/2008
00873;100000088223;cisplatine;;08/07/1997;02/10/2008
00876;100000088217;fosfomycine sodique;;08/07/1997;22/04/2009
00877;100000087430;amoxapine;;08/07/1997;17/06/2008
00882;100000087883;vindésine (sulfate de);;08/07/1997;17/09/2010
00889;100000085061;benzoyle (peroxyde de);;08/07/1997;07/01/2011
00899;100000079337;bicarbonate de sodium;;08/07/1997;29/11/2010
00900;100000078542;borax;;08/07/1997;08/04/2015
00901;100000092115;sodium (chlorure de);;08/07/1997;29/11/2010
00905;100000078144;sodium (sulfate de) anhydre;;08/07/1997;09/11/2010
00907;100000092554;bromazépam;;08/07/1997;01/07/2008
00911;100000091436;céfuroxime sodique;;08/07/1997;25/08/2008
00912;100000084293;clidinium (bromure de);;08/07/1997;01/07/2008
00915;100000089850;diltiazem (chlorhydrate de);;08/07/1997;24/03/2009
00917;100000090555;clindamycine (phosphate de);;08/07/1997;22/10/2008
00919;NA;baume de tolu (teinture de);;08/07/1997;09/03/2023
00923;100000077035;tout-rac-alpha-tocophérol;;08/07/1997;07/09/2011
00924;100000092433;mexilétine (chlorhydrate de);;08/07/1997;05/02/2019
00928;100000090232;zinc (chlorure de);;08/07/1997;20/09/2010
00929;100000089333;zinc (oxyde de);;08/07/1997;22/09/2010
00930;100000076757;zinc (peroxyde de);;08/07/1997;22/09/2010
00931;100000087990;zinc (sulfate de) heptahydraté;;08/07/1997;25/03/2015
00933;100000090389;métoprolol (tartrate de);;08/07/1997;04/10/2011
00934;100000085197;étifoxine (chlorhydrate d');;08/07/1997;03/04/2009
00935;100000084908;josamycine (propionate de);;08/07/1997;30/11/2011
00941;100000079852;josamycine;;08/07/1997;30/11/2011
00942;100000090310;rutoside;;08/07/1997;18/12/2009
00943;100000092639;picloxydine (dichlorhydrate de);;08/07/1997;03/01/2011
00945;100000083436;danazol;;08/07/1997;27/11/2008
00946;100000089827;labétalol (chlorhydrate de);;08/07/1997;01/12/2011
00947;100000091572;sulfasalazine;;08/07/1997;03/11/2010
00949;100000091950;salicylamide;;08/07/1997;01/12/2010
00951;100000079433;salol;;08/07/1997;02/12/2010
00952;100000092186;kétotifène (hydrogénofumarate de);;08/07/1997;17/02/2012
00959;100000135042;estramustine (phosphate disodique d') monohydraté;;08/07/1997;31/03/2009
00960;100000089188;somatropine ;;08/07/1997;21/03/2023
00968;100000092124;bétahistine (mésilate de);;08/07/1997;27/06/2008
00970;100000091374;sotalol (chlorhydrate de);;08/07/1997;12/11/2010
00971;100000092022;somatostatine;;08/07/1997;17/04/2013
00974;100000092163;ornidazole;;08/07/1997;21/02/2011
00975;100000091325;spiramycine;;08/07/1997;18/11/2010
00977;100000092408;spironolactone;;08/07/1997;25/10/2010
00979;100000089869;céfaclor monohydraté;;08/07/1997;16/02/2023
00981;100000092107;ursodéoxycholique (acide);;08/07/1997;23/09/2010
00982;100000092174;céfotaxime sodique;;08/07/1997;13/08/2008
00984;100000092257;dompéridone;;08/07/1997;04/03/2009
00987;100000090321;cyprotérone (acétate de);;08/07/1997;26/11/2008
00988;100000091540;alfacalcidol;;08/07/1997;06/06/2008
00991;100000092259;flubendazole;;08/07/1997;10/04/2009
00998;100000091427;acénocoumarol;;08/07/1997;14/10/2008
01006;100000092652;acétazolamide;;08/07/1997;07/12/2010
01014;100000092261;acétylcystéine;;08/07/1997;20/02/2012
01021;100000091968;glycine;;08/07/1997;26/12/2011
01023;100000086036;ascorbique (acide);;08/07/1997;21/12/2022
01040;100000085634;folique (acide);;08/07/1997;20/04/2009
01041;100000090254;loflazépate d'éthyle;;08/07/1997;08/11/2011
01044;100000092069;glutamique (acide);;08/07/1997;13/01/2012
01062;100000083867;niflumique (acide);;08/07/1997;05/07/2011
01068;100000091040;tranexamique (acide);;08/07/1997;19/12/2012
01080;100000092380;épinéphrine;;08/07/1997;21/12/2022
01083;100000092393;hydrogénophosphate de calcium dihydraté;;08/07/1997;22/04/2011
01090;100000088291;alimémazine;;08/07/1997;09/06/2008
01097;100000091907;allopurinol;;08/07/1997;09/06/2008
01099;100000076239;morphine (sulfate de);;08/07/1997;19/09/2011
01106;100000092140;altizide;;08/07/1997;09/06/2008
01110;100000087666;ambénonium (chlorure d');;08/07/1997;24/09/2008
01119;100000087994;zinc (sulfate de) monohydraté;;08/07/1997;22/09/2010
01123;100000091989;amidotrizoate de sodium;;08/07/1997;08/01/2009
01140;100000092029;amitriptyline;;08/07/1997;13/06/2008
01150;100000092100;amphotéricine B;;08/07/1997;17/06/2008
01178;100000086598;arginine;;08/07/1997;13/01/2012
01182;100000091447;ascorbate de sodium;;08/07/1997;19/06/2008
01188;100000084889;métronidazole (benzoate de);;08/07/1997;04/10/2011
01200;100000091475;azathioprine;;08/07/1997;20/06/2008
01205;100000092135;bacitracine;;08/07/1997;20/06/2008
01215;100000092763;bendrofluméthiazide;;08/07/1997;23/06/2008
01257;100000089998;bétahistine (dichlorhydrate de);;08/07/1997;27/06/2008
01261;100000091947;bétaméthasone;;08/07/1997;27/06/2008
01270;100000085880;biclotymol;;08/07/1997;30/06/2008
01274;100000090297;bipéridène (chlorhydrate de);;08/07/1997;30/06/2008
01281;100000080890;méthylthioninium (chlorure de);;08/07/1997;25/09/2008
01295;100000088272;bromélaïnes;;08/07/1997;01/07/2008
01316;100000084683;ceftazidime pentahydratée;;08/07/1997;22/06/2018
01317;100000085245;busulfan;;08/07/1997;03/07/2008
01318;100000088471;butacaïne;;08/07/1997;16/03/2011
01328;100000091923;molsidomine;;08/07/1997;08/09/2011
01339;100000090229;ergocalciférol;;08/07/1997;19/03/2009
01343;100000090430;méglumine (benzoate de);;08/07/1997;13/10/2011
01351;100000092127;carbamazépine;;08/07/1997;20/02/2013
01354;100000091051;buspirone (chlorhydrate de);;08/07/1997;03/07/2008
01356;100000128630;abeille (venin d');;08/07/1997;11/07/2019
01358;100000092278;carbimazole;;08/07/1997;29/07/2008
01362;100000091711;cloxacilline sodique monohydratée;;08/07/1997;27/10/2008
01378;100000091152;D-phénothrine;;08/07/1997;16/02/2023
01379;100000089021;céthexonium (bromure de);;08/07/1997;08/01/2009
01393;100000081577;chlorambucil;;08/07/1997;19/09/2008
01400;100000081580;chlordiazépoxide;;08/07/1997;22/09/2008
01411;100000081847;chlorocrésol;;08/07/1997;22/09/2008
01430;100000081894;chlorpromazine;;08/07/1997;
01433;100000092132;chlorquinaldol;;08/07/1997;23/09/2008
01434;100000092578;chlortalidone;;08/07/1997;23/09/2008
01473;100000092027;zinc;;08/07/1997;17/01/2011
01493;100000090503;clomipramine (chlorhydrate de);;08/07/1997;23/10/2008
01507;100000090126;clorazépate dipotassique;;08/07/1997;21/03/2012
01522;NA;éthylmorphine;;08/07/1997;
01525;100000092724;colécalciférol;;08/07/1997;04/02/2015
01526;100000087979;colestyramine;;08/07/1997;29/10/2008
01533;100000083722;crotamiton;;08/07/1997;17/11/2008
01539;100000091035;cyanocobalamine;;08/07/1997;24/11/2008
01556;100000078558;cyclophosphamide monohydraté;;08/07/1997;16/02/2023
01574;100000089874;cytarabine;;08/07/1997;27/11/2008
01578;100000092148;daunorubicine (chlorhydrate de);;08/07/1997;15/04/2013
01584;100000090084;déféroxamine (mésilate de);;08/07/1997;02/12/2008
01591;100000092306;alprostadil;;08/07/1997;09/06/2008
01593;100000088394;déméclocycline (chlorhydrate de);;08/07/1997;03/03/2023
01603;100000082407;taurine;;08/07/1997;
01608;100000092605;dexaméthasone;;08/07/1997;05/12/2008
01615;100000091097;podophyllotoxine;;08/07/1997;27/12/2010
01623;NA;kreosotum;;08/07/1997;
01637;100000092362;diazépam;;08/07/1997;15/12/2008
01639;100000092606;diazoxide;;08/07/1997;15/12/2008
01662;100000087926;diéthylcarbamazine (citrate de);;08/07/1997;17/12/2008
01663;100000085041;diéthylstilbestrol;;08/07/1997;18/04/2023
01672;100000091378;digoxine;;08/07/1997;17/12/2008
01691;100000091918;diménhydrinate;;08/07/1997;24/03/2009
01695;100000082658;dimercaprol;;08/07/1997;25/03/2009
01728;100000081439;méfénidramium (métilsulfate de);;08/07/1997;12/10/2011
01740;100000077890;hélicidine;;08/07/1997;16/02/2023
01743;100000091735;dipyridamole;;08/07/1997;27/02/2009
01745;100000082359;disopyramide;;08/07/1997;27/02/2009
01747;100000081855;disulfirame;;08/07/1997;26/02/2009
01754;100000087544;doxapram (chlorhydrate de);;08/07/1997;06/03/2009
01755;100000092229;doxépine (chlorhydrate de);;08/07/1997;06/03/2009
01758;100000081007;dropéridol;;08/07/1997;10/03/2009
01765;100000080500;dydrogestérone;;08/07/1997;11/03/2009
01778;100000092668;estriol;;08/07/1997;01/04/2009
01785;100000092382;érythromycine;;08/07/1997;27/03/2009
01786;100000091739;estradiol;;08/07/1997;19/10/2016
01796;100000076119;étamsylate;;08/07/1997;01/04/2009
01802;NA;éthambutol (chlorhydrate d');;08/07/1997;01/04/2009
01807;100000091721;éthinylestradiol;;08/07/1997;04/05/2012
01810;100000089829;benzocaïne;;08/07/1997;24/06/2008
01813;100000092816;éthosuximide;;08/07/1997;03/04/2009
01821;100000082416;thiamazol;;08/07/1997;
01823;100000091092;thiamine (chlorhydrate de);;08/07/1997;18/10/2010
01824;100000082417;thiamphénicol;;08/07/1997;18/10/2010
01830;100000091997;thiocolchicoside;;08/07/1997;18/10/2010
01835;100000088809;tétracaïne;;08/07/1997;26/02/2013
01836;100000085201;tétracosactide;;08/07/1997;14/10/2010
01837;100000082736;tétracycline;;08/07/1997;14/10/2010
01853;100000087496;étiléfrine (chlorhydrate d');;08/07/1997;06/04/2009
01890;100000088526;fenfluramine (chlorhydrate de);;08/07/1997;12/02/2021
01901;100000092142;fentanyl (citrate de);;08/07/1997;08/04/2009
01927;100000090159;fluocinolone (acétonide de);;08/07/1997;16/04/2009
01931;100000091592;fluorouracil;;08/07/1997;16/04/2009
01958;100000090317;furosémide;;08/07/1997;23/04/2009
01976;100000080403;glibenclamide;;08/07/1997;29/04/2009
01981;100000088567;molybdate d'ammonium tétrahydraté;;08/07/1997;21/11/2018
01983;100000088153;imipénem monohydraté;;08/07/1997;02/12/2011
01990;100000092398;maprotiline (chlorhydrate de);;08/07/1997;16/02/2012
02006;100000092791;griséofulvine;;08/07/1997;05/05/2009
02019;100000092645;halopéridol;;08/07/1997;06/05/2009
02024;100000090150;héparine sodique;;08/07/1997;03/07/2001
02045;100000092531;hexétidine;;08/07/1997;07/05/2009
02064;100000091737;hydrochlorothiazide;;08/07/1997;11/05/2009
02067;100000092635;hydrocortisone;;08/07/1997;11/05/2009
02074;100000091430;hydroxocobalamine;;08/07/1997;14/12/2011
02076;100000085457;hydroxycarbamide;;08/07/1997;14/12/2011
02077;100000090560;hydroxychloroquine (sulfate d');;08/07/1997;14/12/2011
02087;100000090236;hydroxyzine (chlorhydrate d');;08/07/1997;15/12/2011
02088;100000092576;hymécromone;;08/07/1997;15/12/2011
02092;100000090365;ibuprofène;;08/07/1997;15/12/2011
02093;100000091250;esculoside;;08/07/1997;30/03/2009
02096;100000153316;interféron alfa-2b ;;08/07/1997;21/03/2023
02099;100000092758;indométacine;;08/07/1997;06/12/2011
02107;100000092104;phénytoïne;;08/07/1997;31/12/2010
02109;100000092419;pholcodine;;08/07/1997;28/04/2011
02113;100000091922;phytoménadione;;08/07/1997;03/01/2011
02114;100000084965;céfixime trihydratée;;08/07/1997;16/02/2023
02123;100000091905;sodium (propionate de);;08/07/1997;08/11/2010
02126;100000081975;pimozide;;08/07/1997;04/01/2011
02130;100000085607;pipampérone (dichlorhydrate de);;08/07/1997;17/02/2023
02132;100000083883;nilutamide;;08/07/1997;07/06/2011
02154;300000036859;poligeenane;;08/07/1997;27/12/2010
02160;100000164624;fusidique (acide);;08/07/1997;27/03/2023
02161;100000077434;arnica (teinture d');;08/07/1997;09/09/2019
02163;100000078849;pramocaïne (chlorhydrate de);;08/07/1997;14/12/2010
02165;100000092249;prazépam;;08/07/1997;14/12/2010
02169;100000091520;prednisolone;;08/07/1997;14/12/2010
02171;100000091943;prednisone;;08/07/1997;15/12/2010
02197;100000092397;oxytocine;;08/07/1997;12/01/2011
02201;100000079739;dexpanthénol;;08/07/1997;08/12/2008
02202;100000090270;paracétamol;;08/07/1997;18/01/2011
02215;100000088055;pristinamycine;;08/07/1997;16/12/2010
02218;100000081091;probénécide;;08/07/1997;16/12/2010
02229;100000090354;progestérone;;08/07/1997;16/12/2010
02236;100000081146;prométhazine;;08/07/1997;17/12/2010
02245;100000090550;chlormadinone (acétate de);;08/07/1997;24/06/2010
02247;100000082753;propériciazine;;08/07/1997;16/02/2023
02258;100000091292;propranolol (chlorhydrate de);;08/07/1997;09/12/2010
02261;100000081364;propylthiouracile;;08/07/1997;10/12/2010
02278;100000092030;pseudoéphédrine (chlorhydrate de);;08/07/1997;10/12/2010
02283;100000091854;pyridostigmine (bromure de);;08/07/1997;01/07/2008
02284;100000080848;pyridoxine;;08/07/1997;
